gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
TNS1,NSC-87877,All,ovary,0.203478,0.340261,24
TNS1,BRD-K19103580,All,ovary,0.335631,0.0393947,38
TNS1,Ulixertinib,All,ovary,0.228571,0.233019,29
TNS1,PHA-793887,All,ovary,0.251702,0.107836,42
TNS1,procarbazine,All,ovary,0.371635,0.0215987,38
TNS1,SZ4TA2,All,ovary,0.378571,0.164091,15
TNS1,dexamethasone,All,ovary,0.203559,0.185067,44
TNS1,BRD-K55116708,All,ovary,0.267915,0.108892,37
TNS1,Zibotentan,All,ovary,0.525999,0.00404098,28
TNS1,Mitomycin-C,All,ovary,0.24087,0.256872,24
TNS1,tacedinaline,All,ovary,0.231527,0.235835,28
TNS1,myricetin,All,ovary,0.206499,0.207211,39
TNS1,PBD-288,All,ovary,0.413043,0.0448492,24
TNS1,PFI-1,All,ovary,0.417734,0.0241436,29
TNS1,BRD8097,All,ovary,0.336969,0.146272,20
TNS1,965-D2,All,ovary,0.315556,0.116341,26
TNS1,Carboplatin,All,ovary,0.370179,0.0203605,39
TNS1,IAP_7638,All,ovary,-0.302198,0.125513,27
TNS1,BRD-K52037352,All,ovary,0.260943,0.13001,35
TNS1,BRD-K34222889,All,ovary,0.636299,1.3377e-05,39
TNS1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.404679,0.0158947,35
TNS1,BDP-00009066,All,ovary,0.376522,0.0697534,24
TNS1,BRD-K27986637,All,ovary,0.684848,0.0288828,10
TNS1,150412,All,ovary,0.601299,0.00393657,21
TNS1,BCL-LZH-4,All,ovary,0.211765,0.431083,16
TNS1,GDC0810,All,ovary,0.262069,0.169644,29
TNS1,Motesanib,All,ovary,0.333005,0.0775337,29
TNS1,BPTES,All,ovary,0.386973,0.0419165,28
TNS1,SB-525334,All,ovary,0.309039,0.0590375,38
TNS1,GSK690693,All,ovary,0.561029,0.00189744,28
TNS1,CHEMBL1222381,All,ovary,-0.207076,0.182738,43
TNS1,CCT-018159,All,ovary,0.325616,0.084763,29
TNS1,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.548479,0.000363586,38
TNS1,CD-437,All,ovary,0.33327,0.0289726,43
TNS1,niclosamide,All,ovary,0.226733,0.171033,38
TNS1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.272379,0.0980429,38
TNS1,JAK1_3715,All,ovary,0.358364,0.0664307,27
TNS1,Luminespib,All,ovary,0.249261,0.192246,29
TNS1,BRD-K55473186,All,ovary,0.209662,0.284258,28
TNS1,Savolitinib,All,ovary,0.263547,0.167162,29
TNS1,BRD-K50799972,All,ovary,0.234639,0.150489,39
TNS1,NVP-231,All,ovary,0.238587,0.143545,39
TNS1,KIN001-244,All,ovary,0.310892,0.107337,28
TNS1,Tubastatin A,All,ovary,-0.255444,0.090346,45
TNS1,3-Cl-AHPC,All,ovary,0.574147,0.000132484,39
TNS1,776928,All,ovary,-0.24026,0.294152,21
TNS1,JW-74,All,ovary,0.608458,0.000591677,28
TNS1,necrosulfonamide,All,ovary,0.702684,6.26591e-05,26
TNS1,barasertib,All,ovary,-0.235828,0.154048,38
TNS1,FTI-277,All,ovary,0.215652,0.311514,24
TNS1,BRD-K70511574,All,ovary,0.432331,0.0059849,39
TNS1,MK-591,All,ovary,-0.239398,0.238843,26
TNS1,GSK-LSD1,All,ovary,0.341558,0.129678,21
TNS1,P22077,All,ovary,0.39064,0.0361534,29
TNS1,STF-62247,All,ovary,0.235043,0.237941,27
TNS1,GSK1070916,All,ovary,0.252326,0.195185,28
TNS1,Pelitinib,All,ovary,0.465244,0.0126052,28
TNS1,Tozasertib,All,ovary,-0.562278,0.00184417,28
TNS1,BRD-M00053801,All,ovary,0.345855,0.0661003,29
TNS1,Daporinad,All,ovary,0.342699,0.0197313,46
TNS1,BRD-K49290616,All,ovary,0.345455,0.328227,10
TNS1,AZD8835,All,ovary,0.229885,0.239267,28
TNS1,WT-161,All,ovary,-0.405267,0.0399843,26
