gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
TP53I13,NSC-87877,All,ovary,-0.205217,0.336061,24
TP53I13,SZ4TA2,All,ovary,-0.216265,0.438839,15
TP53I13,Zibotentan,All,ovary,-0.275862,0.155341,28
TP53I13,tacedinaline,All,ovary,-0.305734,0.113606,28
TP53I13,PFI-1,All,ovary,0.415271,0.0250786,29
TP53I13,965-D2,All,ovary,-0.235556,0.246692,26
TP53I13,Carboplatin,All,ovary,-0.232907,0.153613,39
TP53I13,"2,4-dideoxy-DC-45-A2",All,ovary,0.219867,0.28048,26
TP53I13,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.201275,0.246283,35
TP53I13,BRD-K14844214,All,ovary,0.236051,0.165747,36
TP53I13,150412,All,ovary,-0.38961,0.0808379,21
TP53I13,BCL-LZH-4,All,ovary,-0.434143,0.0929131,16
TP53I13,Motesanib,All,ovary,-0.327094,0.0832775,29
TP53I13,GSK690693,All,ovary,-0.215107,0.271648,28
TP53I13,skepinone-L,All,ovary,-0.259014,0.332704,16
TP53I13,CD-1530,All,ovary,-0.213161,0.169928,43
TP53I13,GSK343,All,ovary,0.257635,0.177244,29
TP53I13,JAK1_3715,All,ovary,-0.278388,0.159702,27
TP53I13,VAF-347,All,ovary,0.200038,0.337698,25
TP53I13,XMD11-85h,All,ovary,0.252451,0.328294,17
TP53I13,AZD1480,All,ovary,0.212813,0.242239,32
TP53I13,TGX-115,All,ovary,-0.26637,0.188395,26
TP53I13,Remodelin,All,ovary,-0.440559,0.151735,12
TP53I13,N-oxalyl-D-phenylalanine,All,ovary,0.238673,0.24031,26
TP53I13,776928,All,ovary,0.285714,0.209295,21
TP53I13,pyrvinium pamoate,All,ovary,0.242105,0.303755,20
TP53I13,FTI-277,All,ovary,-0.273913,0.195252,24
TP53I13,Cyclophosphamide,All,ovary,-0.341941,0.0356184,38
TP53I13,abiraterone,All,ovary,-0.397802,0.158951,14
TP53I13,Pelitinib,All,ovary,-0.390805,0.0397584,28
TP53I13,quinoclamine,All,ovary,0.226705,0.265407,26
TP53I13,CHIR-99021,All,ovary,0.348356,0.0204862,44
TP53I13,ML150,All,ovary,-0.315217,0.142899,23
TP53I13,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.256592,0.114839,39
TP53I13,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.25558,0.116328,39
TP53I13,AZD8835,All,ovary,-0.328407,0.0879651,28
TP53I13,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.235032,0.149787,39
TP53I13,XL765,All,ovary,-0.209828,0.199817,39
TP53I13,narciclasine,All,ovary,0.311066,0.0609315,37
TP53I13,BRD-K79669418,All,ovary,0.36087,0.0831946,24
TP53I13,AGI-5198,All,ovary,-0.26798,0.159873,29
TP53I13,UNC1215,All,ovary,-0.221675,0.256925,28
TP53I13,AZD6094,All,ovary,-0.34127,0.0814881,27
TP53I13,"eEF2K Inhibitor, A-484954",All,ovary,-0.331527,0.0789403,29
TP53I13,pandacostat,All,ovary,0.218432,0.181574,39
TP53I13,AZ6102,All,ovary,0.266502,0.162277,29
TP53I13,Navitoclax,All,ovary,-0.330692,0.0247872,46
TP53I13,NSC319726,All,ovary,0.259113,0.174685,29
TP53I13,OF-1,All,ovary,0.211304,0.321605,24
TP53I13,GANT-58,All,ovary,-0.271429,0.327789,15
TP53I13,"1S,3R-RSL-3",All,ovary,0.268043,0.0901896,41
TP53I13,Bexarotene,All,ovary,-0.236943,0.130831,42
TP53I13,minoxidil,All,ovary,-0.214286,0.443141,15
TP53I13,BRD-K88742110,All,ovary,-0.339552,0.0370116,38
TP53I13,BRD-K07442505,All,ovary,-0.378258,0.0175805,39
TP53I13,StemRegenin 1,All,ovary,0.40579,0.0103762,39
TP53I13,QS11,All,ovary,-0.274002,0.0914221,39
TP53I13,m-3M3-FBS,All,ovary,0.230809,0.256619,26
TP53I13,Capivasertib,All,ovary,-0.280241,0.148622,28
TP53I13,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.277507,0.0916347,38
TP53I13,CIL56,All,ovary,0.300535,0.0841612,34
TP53I13,NU7441,All,ovary,0.26798,0.159873,29
TP53I13,FY026,All,ovary,-0.233211,0.241724,27
TP53I13,dalcetrapib,All,ovary,0.236622,0.244497,26
TP53I13,Flutamide,All,ovary,0.428854,0.0411623,23
TP53I13,GSK2636771,All,ovary,-0.350782,0.0620821,29
TP53I13,neratinib,All,ovary,0.303675,0.0450737,44
TP53I13,Cisplatin,All,ovary,-0.244116,0.210609,28
TP53I13,simvastatin,All,ovary,0.20923,0.183579,42
TP53I13,BRD7137,All,ovary,0.217131,0.286658,26
TP53I13,Parthenolide,All,ovary,-0.262589,0.0850631,44
TP53I13,BRD-K02492147,All,ovary,-0.206443,0.234107,35
TP53I13,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.243147,0.1413,38
TP53I13,Erlotinib,All,ovary,0.210679,0.164786,45
TP53I13,AZD4877,All,ovary,-0.285714,0.140521,28
TP53I13,SB505124,All,ovary,0.214778,0.2632,29
TP53I13,Sinularin,All,ovary,-0.362338,0.106491,21
TP53I13,AEW541,All,ovary,0.291538,0.157362,25
TP53I13,4-methylfasudil,All,ovary,0.240725,0.236171,26
TP53I13,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,-0.211369,0.20918,37
TP53I13,AGI-6780,All,ovary,0.295566,0.119548,29
TP53I13,KU-60019,All,ovary,0.244648,0.113849,43
TP53I13,BRD-K71935468,All,ovary,0.363079,0.0250599,38
TP53I13,Ispinesib Mesylate,All,ovary,-0.295019,0.12749,28
TP53I13,PLX-4032,All,ovary,-0.247962,0.133347,38
TP53I13,PF-04217903,All,ovary,0.252964,0.244188,23
TP53I13,PD173074,All,ovary,-0.29803,0.116353,29
TP53I13,Ara-G,All,ovary,-0.384236,0.0395982,29
TP53I13,VTP-A,All,ovary,-0.246087,0.246395,24
TP53I13,AZD8931,All,ovary,-0.285714,0.140521,28
TP53I13,navitoclax:sorafenib (1:1 mol-mol),All,ovary,-0.233189,0.158845,38
TP53I13,968,All,ovary,0.321212,0.365468,10
TP53I13,CDK9_5038,All,ovary,-0.3,0.186411,21
TP53I13,4-IPP,All,ovary,0.246196,0.225364,26
TP53I13,CHEMBL374350,All,ovary,0.267028,0.0797312,44
TP53I13,NSC23766,All,ovary,0.392614,0.00838604,44
TP53I13,FS106,All,ovary,0.232622,0.233565,28
TP53I13,zileuton,All,ovary,0.209267,0.304895,26
TP53I13,BRD2296,All,ovary,0.239286,0.390379,15
TP53I13,azacitidine,All,ovary,0.27707,0.0921687,38
TP53I13,BRD6430,All,ovary,-0.221064,0.176238,39
TP53I13,TTK_3146,All,ovary,-0.288998,0.135817,28
TP53I13,IWP-2,All,ovary,-0.444103,0.0230367,26
TP53I13,MN-64,All,ovary,0.27913,0.186538,24
TP53I13,THR-102,All,ovary,-0.27668,0.201236,23
TP53I13,MPS-1-IN-1,All,ovary,0.291188,0.132744,28
TP53I13,993-D2,All,ovary,-0.264273,0.192029,26
TP53I13,AZD1208,All,ovary,0.241379,0.21593,28
TP53I13,Selumetinib,All,ovary,0.246508,0.0986404,46
TP53I13,gossypol,All,ovary,-0.292893,0.0536753,44
TP53I13,WIKI4,All,ovary,0.207882,0.279203,29
TP53I13,QL-XII-61,All,ovary,-0.791667,0.000152775,17
TP53I13,WZ3105,All,ovary,-0.248495,0.202283,28
TP53I13,Alda-1,All,ovary,0.364165,0.0674084,26
TP53I13,Eg5_9814,All,ovary,-0.379221,0.0899996,21
TP53I13,CDK9_5576,All,ovary,-0.416883,0.0601007,21
TP53I13,BRD-K42260513,All,ovary,0.286976,0.281185,16
TP53I13,7-nitroindazole,All,ovary,0.438366,0.0250873,26
TP53I13,ifosfamide,All,ovary,0.212451,0.33044,23
TP53I13,BRD4372,All,ovary,-0.593985,0.00575425,20
TP53I13,ETP-46464,All,ovary,0.34758,0.0646716,29
TP53I13,BRD9571,All,ovary,-0.225,0.420105,15
TP53I13,VER-155008,All,ovary,0.206773,0.178078,44
TP53I13,CI-1040,All,ovary,-0.200876,0.305378,28
TP53I13,BRD-K27224038,All,ovary,-0.418182,0.229113,10
TP53I13,MI-2,All,ovary,-0.403238,0.121446,16
TP53I13,selumetinib:PLX-4032 (8:1 mol-mol),All,ovary,0.222987,0.172411,39
TP53I13,CIL41,All,ovary,0.329211,0.061375,33
TP53I13,RS-23597-190,All,ovary,0.396245,0.0612333,23
TP53I13,Ruxolitinib,All,ovary,0.216786,0.162613,43
TP53I13,PF-184,All,ovary,0.311554,0.0535187,39
TP53I13,Methotrexate,All,ovary,0.202423,0.198576,42
TP53I13,myriocin,All,ovary,0.207661,0.262301,31
TP53I13,cyanoquinoline 11,All,ovary,0.214477,0.195987,38
TP53I13,630600,All,ovary,-0.246753,0.280896,21
TP53I13,Sunitinib,All,ovary,0.205172,0.210208,39
TP53I13,CCT245232,All,ovary,-0.267652,0.168517,28
TP53I13,chaetocin,All,ovary,0.22332,0.305699,23
TP53I13,ursolic acid,All,ovary,-0.20751,0.342071,23
TP53I13,fluoropyruvate,All,ovary,0.21166,0.29927,26
TP53I13,GW441756,All,ovary,-0.351724,0.061336,29
TP53I13,Gallibiscoquinazole,All,ovary,-0.287013,0.207141,21
TP53I13,Taselisib,All,ovary,-0.262069,0.169644,29
TP53I13,palmostatin B,All,ovary,-0.381574,0.0411054,29
TP53I13,GSK-LSD1-2HCl ,All,ovary,-0.641739,0.00072438,24
TP53I13,rosiglitazone,All,ovary,0.275603,0.17296,26
TP53I13,N22899-6-C1,All,ovary,-0.213065,0.285953,27
TP53I13,Dasatinib,All,ovary,0.22192,0.152645,43
TP53I13,N29087-69-1,All,ovary,-0.304348,0.148188,24
TP53I13,erastin,All,ovary,0.306459,0.0513207,41
TP53I13,Mycophenolic acid,All,ovary,-0.366957,0.0777536,24
TP53I13,VNLG-124,All,ovary,-0.344933,0.0780612,27
TP53I13,Bicalutamide,All,ovary,-0.248768,0.193155,29
TP53I13,Niraparib,All,ovary,-0.546087,0.00576957,24
TP53I13,LGK974,All,ovary,-0.214778,0.2632,29
TP53I13,BRD-K86535717,All,ovary,0.406061,0.244282,10
