gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
TPM2,NSC-87877,All,ovary,0.262609,0.215073,24
TPM2,SZ4TA2,All,ovary,-0.246429,0.375951,15
TPM2,Mitomycin-C,All,ovary,-0.449565,0.0275219,24
TPM2,myricetin,All,ovary,-0.276113,0.0888528,39
TPM2,etomoxir,All,ovary,0.254757,0.0992183,43
TPM2,leucascandrolide A,All,ovary,-0.247863,0.222138,26
TPM2,Wnt-C59,All,ovary,0.222167,0.24673,29
TPM2,965-D2,All,ovary,-0.256752,0.205459,26
TPM2,IAP_7638,All,ovary,-0.261905,0.186943,27
TPM2,ML214,All,ovary,-0.285714,0.301936,15
TPM2,KU-55933,All,ovary,-0.245394,0.112717,43
TPM2,SNS-032,All,ovary,-0.388674,0.019145,36
TPM2,BDP-00009066,All,ovary,-0.391304,0.0586445,24
TPM2,BRD-K27986637,All,ovary,0.490909,0.149656,10
TPM2,HG6-64-1,All,ovary,-0.473913,0.0193116,24
TPM2,BRD-K09344309,All,ovary,-0.279121,0.333845,14
TPM2,OSW-1,All,ovary,-0.248547,0.220823,26
TPM2,Vinorelbine,All,ovary,-0.395566,0.033671,29
TPM2,CCT-018159,All,ovary,-0.522168,0.00366603,29
TPM2,CD-1530,All,ovary,-0.223044,0.150524,43
TPM2,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.209104,0.207696,38
TPM2,GSK626616AC,All,ovary,-0.479221,0.0279444,21
TPM2,PLK_6522,All,ovary,-0.446634,0.0171907,28
TPM2,JAK1_3715,All,ovary,-0.258852,0.192321,27
TPM2,FMK,All,ovary,0.253043,0.232864,24
TPM2,Savolitinib,All,ovary,-0.315764,0.0951881,29
TPM2,AZD1480,All,ovary,-0.21371,0.240213,32
TPM2,birinapant,All,ovary,-0.343725,0.032155,39
TPM2,KIN001-244,All,ovary,-0.253421,0.193189,28
TPM2,prochlorperazine,All,ovary,-0.283603,0.0801872,39
TPM2,776928,All,ovary,-0.335065,0.13761,21
TPM2,pyrvinium pamoate,All,ovary,-0.369925,0.10841,20
TPM2,FTI-277,All,ovary,-0.403478,0.0505659,24
TPM2,Gly-Gly-PALO,All,ovary,0.289573,0.151323,26
TPM2,Cyclophosphamide,All,ovary,0.241055,0.144862,38
TPM2,MK-591,All,ovary,-0.232821,0.252381,26
TPM2,abiraterone,All,ovary,-0.520879,0.0561539,14
TPM2,trifluoperazine,All,ovary,-0.256285,0.110426,40
TPM2,GSK1070916,All,ovary,-0.43514,0.0206549,28
TPM2,Tozasertib,All,ovary,-0.297209,0.124557,28
TPM2,BRD2762,All,ovary,-0.541353,0.0136975,20
TPM2,AT-406,All,ovary,-0.410867,0.0332592,27
TPM2,quinoclamine,All,ovary,-0.491966,0.010686,26
TPM2,Compound 12,All,ovary,0.238291,0.241088,26
TPM2,PIK-75,All,ovary,-0.260855,0.198056,26
TPM2,BRD-K49290616,All,ovary,0.333333,0.346593,10
TPM2,FGIN-1-27,All,ovary,-0.202346,0.266724,32
TPM2,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,0.202429,0.216502,39
TPM2,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.211943,0.195218,39
TPM2,JZL-184,All,ovary,0.352479,0.0773817,26
TPM2,AICA Ribonucleotide,All,ovary,-0.440066,0.0191061,28
TPM2,Fludarabine,All,ovary,-0.206494,0.369152,21
TPM2,PF-3758309,All,ovary,-0.532353,0.0337686,16
TPM2,alvocidib,All,ovary,-0.432353,0.094421,16
TPM2,narciclasine,All,ovary,-0.226411,0.177817,37
TPM2,BRD-K45681478,All,ovary,-0.385628,0.0153298,39
TPM2,LY-2157299,All,ovary,-0.636364,0.0479117,10
TPM2,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.207085,0.205895,39
TPM2,BRD2572,All,ovary,-0.209023,0.376472,20
TPM2,AGI-5198,All,ovary,0.384236,0.0395982,29
TPM2,KW-2449,All,ovary,-0.409514,0.00962974,39
TPM2,AZD6094,All,ovary,0.295482,0.134559,27
TPM2,cimetidine,All,ovary,-0.260606,0.467089,10
TPM2,pandacostat,All,ovary,0.238664,0.143412,39
TPM2,Navitoclax,All,ovary,0.213321,0.154609,46
TPM2,Picolinici-acid,All,ovary,0.24,0.258646,24
TPM2,Vinblastine,All,ovary,-0.350301,0.0676237,28
TPM2,methylstat,All,ovary,-0.245813,0.198672,29
TPM2,XMD13-2,All,ovary,-0.262726,0.176791,28
TPM2,GANT-58,All,ovary,0.432143,0.107693,15
TPM2,SCH772984,All,ovary,0.200985,0.295817,29
TPM2,"1S,3R-RSL-3",All,ovary,0.206272,0.195698,41
TPM2,AZD7762,All,ovary,-0.233011,0.132654,43
TPM2,Bexarotene,All,ovary,0.204927,0.192963,42
TPM2,KHS101,All,ovary,-0.216453,0.198177,37
TPM2,AR-42,All,ovary,-0.203297,0.309131,27
TPM2,Torin 2,All,ovary,-0.225123,0.240337,29
TPM2,Bax channel blocker,All,ovary,-0.260352,0.0958712,42
TPM2,5-Fluorouracil,All,ovary,-0.307389,0.104787,29
TPM2,StemRegenin 1,All,ovary,-0.233401,0.152717,39
TPM2,SGC-CBP30,All,ovary,0.281818,0.215846,21
TPM2,Capivasertib,All,ovary,-0.359606,0.0601722,28
TPM2,XMD15-27,All,ovary,-0.375479,0.048955,28
TPM2,FY026,All,ovary,-0.211233,0.290212,27
TPM2,Platin,All,ovary,-0.221862,0.174642,39
TPM2,IGFR_3801,All,ovary,-0.267652,0.168517,28
TPM2,WYE-125132,All,ovary,-0.203941,0.288622,29
TPM2,SID 26681509,All,ovary,-0.234823,0.129583,43
TPM2,Cisplatin,All,ovary,-0.279693,0.14945,28
TPM2,GSK650394,All,ovary,-0.44,0.0314277,24
TPM2,simvastatin,All,ovary,-0.206709,0.189035,42
TPM2,GSK269962A,All,ovary,-0.224138,0.242455,29
TPM2,IC-87114,All,ovary,0.291151,0.0581972,43
TPM2,ML160,All,ovary,0.295455,0.171087,23
TPM2,PK-11195,All,ovary,-0.424901,0.0432748,23
TPM2,Epirubicin,All,ovary,-0.333498,0.0770692,29
TPM2,Embelin,All,ovary,-0.273913,0.195252,24
TPM2,BRD-K13185470,All,ovary,0.636364,0.0479117,10
TPM2,Erlotinib,All,ovary,0.213439,0.159196,45
TPM2,AZD4877,All,ovary,-0.37931,0.0465122,28
TPM2,fumagillol,All,ovary,-0.319658,0.111414,26
TPM2,bendamustine,All,ovary,-0.216763,0.191149,38
TPM2,4-methylfasudil,All,ovary,-0.390085,0.0488301,26
TPM2,QL-X-138,All,ovary,-0.243021,0.212727,28
TPM2,BRD-K24690302,All,ovary,-0.237652,0.145168,39
TPM2,SKI-II,All,ovary,-0.231008,0.131373,44
TPM2,ZD-6474,All,ovary,0.266234,0.243399,21
TPM2,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,0.253675,0.129776,37
TPM2,curcumin,All,ovary,-0.2803,0.0797963,40
TPM2,blebbistatin,All,ovary,-0.271429,0.114738,35
TPM2,Enzastaurin,All,ovary,-0.275315,0.156196,28
TPM2,SB-743921,All,ovary,-0.333096,0.0439525,37
TPM2,Ispinesib Mesylate,All,ovary,-0.324028,0.0925384,28
TPM2,Doxorubicin,All,ovary,-0.302779,0.0484337,43
TPM2,PF-4708671,All,ovary,-0.238424,0.212937,29
TPM2,PF-04217903,All,ovary,0.263834,0.223818,23
TPM2,PI-103,All,ovary,-0.201603,0.179093,46
TPM2,VE821,All,ovary,-0.376355,0.0441931,29
TPM2,BRD-K58730230,All,ovary,0.454545,0.186905,10
TPM2,Epothilone B,All,ovary,-0.450435,0.0271871,24
TPM2,968,All,ovary,0.345455,0.328227,10
