gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
UPP1,PHA-793887,All,ovary,0.253707,0.104966,42
UPP1,Zibotentan,All,ovary,-0.348659,0.0690097,28
UPP1,Mitomycin-C,All,ovary,0.231304,0.276818,24
UPP1,tacedinaline,All,ovary,0.336617,0.0798548,28
UPP1,BRD8097,All,ovary,0.234586,0.319476,20
UPP1,Carboplatin,All,ovary,0.20668,0.206803,39
UPP1,KU-55933,All,ovary,0.258985,0.0935455,43
UPP1,SNS-032,All,ovary,0.398198,0.0161597,36
UPP1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.208964,0.228318,35
UPP1,Pilaralisib,All,ovary,0.249261,0.192246,29
UPP1,MCT1_6447,All,ovary,-0.299398,0.121674,28
UPP1,HC-067047,All,ovary,0.270161,0.100919,38
UPP1,cerulenin,All,ovary,0.208245,0.180225,43
UPP1,BRD-K27986637,All,ovary,-0.69697,0.0250967,10
UPP1,BRD-K14844214,All,ovary,0.346203,0.038606,36
UPP1,Serdemetan,All,ovary,0.264138,0.0760926,46
UPP1,Motesanib,All,ovary,-0.224138,0.242455,29
UPP1,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.257626,0.0953409,43
UPP1,Vinorelbine,All,ovary,0.405911,0.0289047,29
UPP1,GSK2830371,All,ovary,-0.366601,0.0853233,23
UPP1,CD-437,All,ovary,-0.204017,0.189433,43
UPP1,GSK343,All,ovary,-0.240394,0.209067,29
UPP1,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.447642,0.00483143,38
UPP1,VAF-347,All,ovary,-0.460769,0.0204474,25
UPP1,BRD-K55473186,All,ovary,0.210181,0.283041,28
UPP1,AZD1480,All,ovary,0.21261,0.242698,32
UPP1,NVP-231,All,ovary,0.277328,0.0874004,39
UPP1,Tubastatin A,All,ovary,0.294466,0.0495844,45
UPP1,prochlorperazine,All,ovary,0.428138,0.00654735,39
UPP1,barasertib,All,ovary,0.274538,0.0953049,38
UPP1,pyrvinium pamoate,All,ovary,0.348872,0.131663,20
UPP1,"Brivanib, BMS-540215",All,ovary,0.353695,0.059798,29
UPP1,AZD5363,All,ovary,0.331527,0.0789403,29
UPP1,trifluoperazine,All,ovary,0.301689,0.058506,40
UPP1,GSK1070916,All,ovary,0.250137,0.19922,28
UPP1,Voxtalisib,All,ovary,0.211823,0.269984,29
UPP1,667880,All,ovary,0.22987,0.31615,21
UPP1,BRD2762,All,ovary,0.419549,0.0655483,20
UPP1,quinoclamine,All,ovary,0.259487,0.200503,26
UPP1,BRD-K49290616,All,ovary,-0.284848,0.425038,10
UPP1,CBB-1007,All,ovary,-0.502941,0.0470631,16
UPP1,KU 0060648,All,ovary,0.483865,0.00155991,40
UPP1,AICA Ribonucleotide,All,ovary,-0.263273,0.175858,28
UPP1,PF-3758309,All,ovary,0.279412,0.294618,16
UPP1,Axitinib,All,ovary,0.273479,0.0796987,42
UPP1,Amuvatinib,All,ovary,0.48659,0.00864686,28
UPP1,alvocidib,All,ovary,0.582353,0.0179327,16
UPP1,CAY10603,All,ovary,0.260684,0.189082,27
UPP1,Idelalisib,All,ovary,0.338303,0.0284261,42
UPP1,LY-2157299,All,ovary,0.478788,0.161523,10
UPP1,sirolimus:bortezomib (250:1 mol-mol),All,ovary,0.244332,0.133865,39
UPP1,SB216763,All,ovary,-0.407882,0.0280621,29
UPP1,CIL55,All,ovary,0.20488,0.252729,33
UPP1,kb NB 142-70,All,ovary,0.438916,0.0172203,29
UPP1,Rucaparib,All,ovary,0.384693,0.0270682,33
UPP1,KW-2449,All,ovary,0.26417,0.104145,39
UPP1,cimetidine,All,ovary,0.224242,0.533401,10
UPP1,NSC319726,All,ovary,0.429064,0.0202023,29
UPP1,JW-7-24-1,All,ovary,0.20416,0.297372,28
UPP1,O-6-benzylguanine,All,ovary,0.279412,0.294618,16
UPP1,Cetuximab,All,ovary,-0.232601,0.242993,27
UPP1,EHT-1864,All,ovary,0.385714,0.0387808,29
UPP1,methylstat,All,ovary,0.4867,0.00742073,29
UPP1,Veliparib,All,ovary,0.429739,0.00359984,44
UPP1,TG-100-115,All,ovary,0.400202,0.0115882,39
UPP1,minoxidil,All,ovary,0.267857,0.334444,15
UPP1,BRD-K88742110,All,ovary,0.262501,0.111345,38
UPP1,Torin 2,All,ovary,0.390148,0.0364095,29
UPP1,PT-630,All,ovary,0.502906,0.00882893,26
UPP1,Belinostat,All,ovary,0.237903,0.189804,32
UPP1,Bax channel blocker,All,ovary,0.200713,0.202475,42
UPP1,Compound 7d-cis,All,ovary,0.310429,0.0454109,42
UPP1,FTY-720,All,ovary,0.281773,0.138648,29
UPP1,NG-25,All,ovary,0.318555,0.0985049,28
UPP1,VE-822,All,ovary,-0.256522,0.226286,24
UPP1,SGC-CBP30,All,ovary,-0.433766,0.0494675,21
UPP1,LRRK2-IN-1,All,ovary,0.421182,0.0228827,29
UPP1,NU7441,All,ovary,0.202463,0.292206,29
UPP1,BRD-K11533227,All,ovary,0.277383,0.096485,37
UPP1,dalcetrapib,All,ovary,0.262906,0.194425,26
UPP1,WYE-125132,All,ovary,0.365517,0.051193,29
UPP1,BRD6150,All,ovary,0.452632,0.0450757,20
UPP1,BRD6825,All,ovary,0.418045,0.0666216,20
UPP1,GSK650394,All,ovary,0.286957,0.173974,24
