gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
WARS1,NSC-87877,All,ovary,-0.426087,0.0378843,24
WARS1,procarbazine,All,ovary,-0.213481,0.198123,38
WARS1,Zibotentan,All,ovary,-0.207444,0.289499,28
WARS1,BRD8097,All,ovary,-0.266165,0.256671,20
WARS1,Wnt-C59,All,ovary,-0.265025,0.164707,29
WARS1,BRD-K27986637,All,ovary,0.406061,0.244282,10
WARS1,150412,All,ovary,-0.344156,0.126598,21
WARS1,BCL-LZH-4,All,ovary,-0.655882,0.00580074,16
WARS1,BRD-K09344309,All,ovary,-0.283516,0.325966,14
WARS1,skepinone-L,All,ovary,-0.247059,0.356275,16
WARS1,GSK2830371,All,ovary,-0.294466,0.172591,23
WARS1,XMD11-85h,All,ovary,0.269608,0.295336,17
WARS1,AZD1480,All,ovary,0.216276,0.234479,32
WARS1,NVP-231,All,ovary,-0.227328,0.163991,39
WARS1,avrainvillamide,All,ovary,0.205322,0.236712,35
WARS1,birinapant,All,ovary,-0.222065,0.174239,39
WARS1,KIN001-244,All,ovary,0.319102,0.0978956,28
WARS1,Remodelin,All,ovary,-0.286713,0.366251,12
WARS1,776928,All,ovary,0.258442,0.257989,21
WARS1,necrosulfonamide,All,ovary,0.244444,0.228787,26
WARS1,barasertib,All,ovary,-0.430135,0.00703002,38
WARS1,pyrvinium pamoate,All,ovary,0.333835,0.150299,20
WARS1,GSK-LSD1,All,ovary,-0.261039,0.253065,21
WARS1,GSK1070916,All,ovary,-0.277504,0.152796,28
WARS1,Voxtalisib,All,ovary,-0.26798,0.159873,29
WARS1,Pelitinib,All,ovary,-0.546251,0.00263619,28
WARS1,CIL55A,All,ovary,0.243392,0.165416,34
WARS1,Tozasertib,All,ovary,-0.261631,0.178668,28
WARS1,667880,All,ovary,-0.301299,0.184419,21
WARS1,BRD9658,All,ovary,0.342857,0.13891,20
WARS1,BRD-K49290616,All,ovary,-0.381818,0.276255,10
WARS1,CBB-1007,All,ovary,-0.364706,0.164868,16
WARS1,KU 0060648,All,ovary,0.237148,0.140641,40
WARS1,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.312955,0.0523969,39
WARS1,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.242308,0.137219,39
WARS1,AZD8835,All,ovary,-0.392447,0.038861,28
WARS1,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.232591,0.154186,39
WARS1,BRD4770,All,ovary,-0.226173,0.213231,32
WARS1,AICA Ribonucleotide,All,ovary,0.313082,0.104756,28
WARS1,narciclasine,All,ovary,0.272404,0.102867,37
WARS1,CIL55,All,ovary,0.278409,0.116678,33
WARS1,kb NB 142-70,All,ovary,-0.224631,0.241395,29
WARS1,Rucaparib,All,ovary,-0.292781,0.0982279,33
WARS1,UNC1215,All,ovary,-0.326218,0.0902298,28
WARS1,cimetidine,All,ovary,-0.272727,0.445838,10
WARS1,silmitasertib,All,ovary,-0.237079,0.157704,37
WARS1,"eEF2K Inhibitor, A-484954",All,ovary,-0.312808,0.0984969,29
WARS1,Cetuximab,All,ovary,-0.205739,0.303231,27
WARS1,GSK3337463A,All,ovary,-0.355844,0.113385,21
WARS1,BRD-K90370028,All,ovary,-0.238235,0.374254,16
WARS1,XMD13-2,All,ovary,-0.35249,0.0658093,28
WARS1,GANT-58,All,ovary,0.310714,0.259667,15
WARS1,"1S,3R-RSL-3",All,ovary,0.329094,0.0356425,41
WARS1,BRD-K88742110,All,ovary,-0.22486,0.174691,38
WARS1,BRD-K07442505,All,ovary,-0.363968,0.0227399,39
WARS1,StemRegenin 1,All,ovary,0.210526,0.198291,39
WARS1,PD 153035,All,ovary,-0.289546,0.135044,28
WARS1,Flutamide,All,ovary,0.393281,0.0633756,23
WARS1,GSK2636771,All,ovary,-0.269951,0.156707,29
WARS1,BRD-K48477130,All,ovary,-0.391176,0.134071,16
WARS1,GSK269962A,All,ovary,-0.276355,0.146727,29
WARS1,N25720-51-A1,All,ovary,-0.258261,0.223043,24
WARS1,BRD-A02303741,All,ovary,-0.289271,0.0740785,39
WARS1,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.289419,0.0779953,38
WARS1,BRD-K13185470,All,ovary,-0.260606,0.467089,10
WARS1,VX-11e,All,ovary,-0.223645,0.243519,29
WARS1,Erlotinib,All,ovary,0.225428,0.136513,45
WARS1,isoevodiamine,All,ovary,-0.203715,0.190103,43
WARS1,Sinularin,All,ovary,-0.546753,0.0103241,21
WARS1,bendamustine,All,ovary,-0.250246,0.129692,38
WARS1,ZD-6474,All,ovary,-0.44026,0.0457881,21
WARS1,Ibrutinib,All,ovary,-0.245098,0.155867,35
WARS1,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,-0.412755,0.0111219,37
WARS1,CID-5951923,All,ovary,-0.269067,0.102361,38
WARS1,Ispinesib Mesylate,All,ovary,-0.459223,0.0139614,28
WARS1,PF-4708671,All,ovary,-0.204434,0.287434,29
WARS1,PF-04217903,All,ovary,0.257905,0.234784,23
WARS1,PD173074,All,ovary,-0.27931,0.142279,29
WARS1,BRD-K58730230,All,ovary,-0.248485,0.488776,10
WARS1,Ara-G,All,ovary,-0.461576,0.0117199,29
WARS1,MLN2238,All,ovary,0.201444,0.225212,38
WARS1,AZD8931,All,ovary,-0.256705,0.187286,28
WARS1,navitoclax:sorafenib (1:1 mol-mol),All,ovary,-0.426414,0.00759458,38
WARS1,TWS119,All,ovary,-0.4,0.0315561,29
WARS1,BRD-K44224150,All,ovary,-0.442424,0.200423,10
WARS1,RAF_9304,All,ovary,-0.243569,0.211666,28
WARS1,NSC23766,All,ovary,0.284426,0.0613165,44
WARS1,IWP-2,All,ovary,-0.297778,0.139554,26
WARS1,alpha-lipoic acid,All,ovary,-0.295652,0.160718,24
WARS1,BRD-K13999467,All,ovary,0.205061,0.210461,39
WARS1,MN-64,All,ovary,-0.23913,0.260428,24
WARS1,BX-912,All,ovary,-0.266557,0.170332,28
WARS1,THR-102,All,ovary,-0.235178,0.280045,23
WARS1,MPS-1-IN-1,All,ovary,0.256158,0.188261,28
WARS1,QL-XII-61,All,ovary,-0.497549,0.0421293,17
WARS1,Compound 1541A,All,ovary,0.217155,0.16188,43
WARS1,PF-00299804,All,ovary,-0.298522,0.115722,29
WARS1,WZ3105,All,ovary,-0.322934,0.0937093,28
WARS1,nifedipine,All,ovary,0.260855,0.198056,26
WARS1,BRD-A94377914,All,ovary,-0.385217,0.0630402,24
WARS1,BRD-K71781559,All,ovary,-0.215182,0.18832,39
WARS1,123138,All,ovary,-0.258442,0.257989,21
WARS1,BIX-01294,All,ovary,0.22833,0.14084,43
WARS1,BRD-K42260513,All,ovary,0.282353,0.28935,16
WARS1,BI-2536,All,ovary,-0.200123,0.182373,46
WARS1,SCH-529074,All,ovary,0.201619,0.218385,39
WARS1,ETP-46464,All,ovary,0.215271,0.26208,29
WARS1,BRD9571,All,ovary,-0.292857,0.289472,15
WARS1,BRD-K27224038,All,ovary,-0.224242,0.533401,10
WARS1,MI-2,All,ovary,-0.214706,0.424559,16
WARS1,decitabine:navitoclax (2:1 mol-mol),All,ovary,-0.274899,0.0903237,39
WARS1,CIL41,All,ovary,0.303142,0.0863661,33
WARS1,RS-23597-190,All,ovary,0.387352,0.0678317,23
WARS1,ZL049,All,ovary,-0.252747,0.203394,27
WARS1,BRD-K84807411,All,ovary,-0.418182,0.229113,10
WARS1,ML210,All,ovary,0.403136,0.00896344,41
WARS1,OTX015,All,ovary,-0.301739,0.151871,24
WARS1,ursolic acid,All,ovary,-0.22332,0.305699,23
WARS1,741909,All,ovary,-0.219481,0.339111,21
WARS1,Gallibiscoquinazole,All,ovary,-0.228571,0.318967,21
WARS1,JQ-1:navitoclax (2:1 mol-mol),All,ovary,-0.274291,0.0910661,39
WARS1,glutathione,All,ovary,-0.221344,0.31011,23
WARS1,GANT-61,All,ovary,-0.212753,0.193477,39
WARS1,Taselisib,All,ovary,-0.204434,0.287434,29
WARS1,GSK-LSD1-2HCl ,All,ovary,-0.584348,0.00271321,24
WARS1,erastin,All,ovary,0.24878,0.116768,41
WARS1,pifithrin-alpha,All,ovary,0.210812,0.174793,43
WARS1,WEHI-539,All,ovary,-0.489163,0.00708267,29
WARS1,BRD-K30019337,All,ovary,-0.345455,0.328227,10
WARS1,Niraparib,All,ovary,-0.337391,0.106892,24
WARS1,KIN001-042,All,ovary,-0.33399,0.0766068,29
WARS1,LGK974,All,ovary,-0.230542,0.228904,29
WARS1,JW-55,All,ovary,-0.503297,0.0665604,14
WARS1,CIL70,All,ovary,0.258671,0.139635,34
WARS1,LY2109761,All,ovary,-0.26,0.219832,24
WARS1,KU-0063794,All,ovary,0.302112,0.0652602,38
WARS1,istradefylline,All,ovary,0.346429,0.205896,15
WARS1,BRD-K96431673,All,ovary,-0.272727,0.445838,10
WARS1,JQ12,All,ovary,0.296522,0.159432,24
WARS1,Gefitinib,All,ovary,0.237542,0.125076,43
WARS1,BRD-K75293299,All,ovary,-0.284848,0.425038,10
WARS1,tipifarnib-P2,All,ovary,-0.227487,0.169577,38
WARS1,Mirin,All,ovary,-0.32786,0.0885272,28
WARS1,NVP-TAE684,All,ovary,-0.275294,0.0739805,43
WARS1,ML323,All,ovary,-0.333913,0.110787,24
WARS1,JW-480,All,ovary,-0.20749,0.20499,39
WARS1,ERK_6604,All,ovary,-0.227273,0.3218,21
WARS1,Phenformin,All,ovary,-0.217949,0.274788,27
WARS1,PHA-665752,All,ovary,-0.376923,0.0632674,25
WARS1,spautin-1,All,ovary,-0.224089,0.170245,39
WARS1,BRD-K04800985,All,ovary,-0.2892,0.0782308,38
WARS1,BRD-K27188169:navitoclax (2:1 mol-mol),All,ovary,-0.305336,0.156548,23
WARS1,KH-CB19,All,ovary,-0.226108,0.23823,29
WARS1,LBH-589,All,ovary,0.240081,0.140979,39
WARS1,HG-5-88-01,All,ovary,0.223039,0.389523,17
WARS1,THZ-2-49,All,ovary,-0.257252,0.186315,28
WARS1,PF-562271,All,ovary,0.263478,0.213502,24
WARS1,GSK2801,All,ovary,-0.662338,0.00107068,21
WARS1,BAY ACCi,All,ovary,0.321709,0.109009,26
WARS1,ML239,All,ovary,-0.381174,0.0166588,39
WARS1,Oxaliplatin,All,ovary,0.292208,0.0572492,43
WARS1,CZC24832,All,ovary,-0.272174,0.198217,24
WARS1,BEC,All,ovary,-0.301961,0.0779073,35
WARS1,CP724714,All,ovary,0.263273,0.175858,28
WARS1,BRD-K27188169,All,ovary,0.321739,0.125239,24
WARS1,(-)-gallocatechin-3-monogallate,All,ovary,0.245812,0.226112,26
WARS1,BRD-K02251932,All,ovary,0.305534,0.0699682,36
WARS1,erastin-A8,All,ovary,-0.252632,0.28255,20
WARS1,Camptothecin,All,ovary,-0.229064,0.231985,29
WARS1,BAY-HDAC11_4,All,ovary,-0.218462,0.283643,26
WARS1,BRD-K96970199,All,ovary,-0.29697,0.404702,10
WARS1,GSK2830371A,All,ovary,-0.431169,0.0510014,21
WARS1,ML334 diastereomer,All,ovary,-0.290148,0.126805,29
WARS1,BMS-345541,All,ovary,0.224536,0.15284,42
WARS1,PI3Ka_4409,All,ovary,-0.466338,0.0123708,28
WARS1,BRD-A71883111,All,ovary,-0.284818,0.0788462,39
WARS1,BAY-MPS-combo 2 (paclitaxel 1 uM),All,ovary,-0.308271,0.186056,20
WARS1,BRD-K34099515,All,ovary,-0.466667,0.173939,10
WARS1,Omipalisib,All,ovary,-0.326218,0.0902298,28
WARS1,743380,All,ovary,-0.384416,0.0853276,21
WARS1,QL-VIII-58,All,ovary,-0.32598,0.201637,17
WARS1,Dactolisib,All,ovary,0.206272,0.195698,41
WARS1,tamatinib,All,ovary,0.231572,0.130408,44
WARS1,TANK_1366,All,ovary,-0.207444,0.289499,28
WARS1,Selisistat,All,ovary,-0.272506,0.0808181,42
WARS1,GSK2256098C,All,ovary,-0.442857,0.044377,21
WARS1,N24798-49-A1,All,ovary,-0.372742,0.050761,28
WARS1,SGX-523,All,ovary,-0.219028,0.180355,39
WARS1,AS601245,All,ovary,0.217391,0.307533,24
WARS1,HLI 373,All,ovary,0.223397,0.144929,44
WARS1,MDV-3100,All,ovary,-0.45,0.0923574,15
WARS1,piperlongumine:MST-312 (1:1 mol-mol),All,ovary,0.394118,0.0191465,35
WARS1,Dyrk1b_0191,All,ovary,-0.408867,0.0307483,28
WARS1,JAK1_8709,All,ovary,0.327273,0.147574,21
WARS1,Refametinib,All,ovary,0.316749,0.094104,29
WARS1,BRD-K20514654,All,ovary,0.26087,0.218238,24
WARS1,canertinib,All,ovary,-0.246154,0.130899,39
WARS1,KIN001-270,All,ovary,0.273673,0.15878,28
WARS1,orteronel,All,ovary,0.277949,0.169183,26
WARS1,BRD9876,All,ovary,-0.306191,0.0546621,40
WARS1,AZD8055,All,ovary,0.21489,0.16641,43
