gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
WDR44,SZ4TA2,All,ovary,-0.221429,0.427714,15
WDR44,etomoxir,All,ovary,0.326185,0.032787,43
WDR44,PBD-288,All,ovary,-0.368696,0.0762497,24
WDR44,BRD8097,All,ovary,-0.237594,0.313131,20
WDR44,IAP_7638,All,ovary,-0.253968,0.201145,27
WDR44,BDP-00009066,All,ovary,-0.566087,0.00393286,24
WDR44,BRD-K27986637,All,ovary,-0.442424,0.200423,10
WDR44,NVP-AUY922,All,ovary,-0.308034,0.125787,26
WDR44,HG6-64-1,All,ovary,-0.238261,0.262218,24
WDR44,BRD-K09344309,All,ovary,-0.498901,0.0693635,14
WDR44,Vinorelbine,All,ovary,-0.244335,0.201471,29
WDR44,PDMP,All,ovary,0.29556,0.0514333,44
WDR44,CCT-018159,All,ovary,-0.642365,0.000171966,29
WDR44,lonidamine,All,ovary,0.358632,0.0719986,26
WDR44,GSK2830371,All,ovary,-0.290514,0.178697,23
WDR44,CD-437,All,ovary,-0.244035,0.114787,43
WDR44,GSK626616AC,All,ovary,-0.233766,0.307788,21
WDR44,PLK_6522,All,ovary,-0.542967,0.00283035,28
WDR44,JAK1_3715,All,ovary,-0.220391,0.269313,27
WDR44,BAY-HDAC11_1,All,ovary,-0.350427,0.0792426,26
WDR44,tosedostat,All,ovary,-0.211135,0.168897,44
WDR44,Panobinostat,All,ovary,-0.32577,0.0561651,35
WDR44,Luminespib,All,ovary,-0.508374,0.00486549,29
WDR44,Savolitinib,All,ovary,-0.32266,0.0877945,29
WDR44,AZD1480,All,ovary,0.353006,0.0475043,32
WDR44,birinapant,All,ovary,-0.224494,0.169454,39
WDR44,TGX-115,All,ovary,0.462564,0.017342,26
WDR44,N-oxalyl-D-phenylalanine,All,ovary,0.232821,0.252381,26
WDR44,776928,All,ovary,-0.512987,0.0174013,21
WDR44,"Brivanib, BMS-540215",All,ovary,-0.256158,0.17983,29
WDR44,P22077,All,ovary,-0.229557,0.230955,29
WDR44,abiraterone,All,ovary,-0.257143,0.374812,14
WDR44,GSK1070916,All,ovary,-0.438971,0.0194417,28
WDR44,Pelitinib,All,ovary,-0.391899,0.0391583,28
WDR44,CIL55A,All,ovary,0.211612,0.229592,34
WDR44,Tozasertib,All,ovary,-0.418719,0.0265776,28
WDR44,667880,All,ovary,-0.205195,0.372237,21
WDR44,quinoclamine,All,ovary,-0.202051,0.322246,26
WDR44,PIK-75,All,ovary,-0.233504,0.250951,26
WDR44,bardoxolone methyl,All,ovary,0.219305,0.198756,36
WDR44,AZD8835,All,ovary,-0.202518,0.301358,28
WDR44,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.238664,0.143412,39
WDR44,SNX-2112,All,ovary,-0.301264,0.0418931,46
WDR44,Podophyllotoxin bromide,All,ovary,-0.4,0.07239,21
WDR44,AICA Ribonucleotide,All,ovary,-0.251779,0.196189,28
WDR44,Fludarabine,All,ovary,-0.51039,0.0180766,21
WDR44,Dihydrorotenone,All,ovary,0.271429,0.233974,21
WDR44,Amuvatinib,All,ovary,0.220033,0.260556,28
WDR44,XL765,All,ovary,-0.204453,0.211845,39
WDR44,Idelalisib,All,ovary,0.240418,0.125113,42
WDR44,SB216763,All,ovary,-0.355665,0.0582902,29
WDR44,Shikonin,All,ovary,-0.214783,0.313517,24
WDR44,UNC1215,All,ovary,-0.292282,0.131227,28
