gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ZNF542P,NSC-87877,All,ovary,0.426081,0.0378871,24
ZNF542P,BRD-K19103580,All,ovary,0.324807,0.0466268,38
ZNF542P,Ulixertinib,All,ovary,0.279053,0.142663,29
ZNF542P,N27922-53-1,All,ovary,0.456746,0.0248537,24
ZNF542P,SZ4TA2,All,ovary,-0.260947,0.347533,15
ZNF542P,tacedinaline,All,ovary,0.406911,0.0316362,28
ZNF542P,Wnt-C59,All,ovary,0.297311,0.117278,29
ZNF542P,IAP_7638,All,ovary,-0.675739,0.000109679,27
ZNF542P,KU-55933,All,ovary,0.231493,0.135269,43
ZNF542P,BRD-K52037352,All,ovary,0.316911,0.0636083,35
ZNF542P,BRD-K34222889,All,ovary,0.338063,0.0352975,39
ZNF542P,MCT1_6447,All,ovary,0.380705,0.0456475,28
ZNF542P,BCL-LZH-4,All,ovary,-0.220751,0.411314,16
ZNF542P,HG6-64-1,All,ovary,-0.364153,0.0802247,24
ZNF542P,BRD-K09344309,All,ovary,0.303966,0.290712,14
ZNF542P,OSW-1,All,ovary,0.348615,0.0809153,26
ZNF542P,Vinorelbine,All,ovary,-0.503578,0.00535432,29
ZNF542P,GSK2830371,All,ovary,0.377937,0.0753926,23
ZNF542P,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.227201,0.170129,38
ZNF542P,GSK626616AC,All,ovary,-0.380458,0.0888701,21
ZNF542P,JAK1_3715,All,ovary,-0.216481,0.278114,27
ZNF542P,tosedostat,All,ovary,0.239605,0.117226,44
ZNF542P,VAF-347,All,ovary,0.441234,0.0272491,25
ZNF542P,XMD11-85h,All,ovary,-0.488044,0.0468658,17
ZNF542P,FMK,All,ovary,0.45094,0.0269941,24
ZNF542P,Savolitinib,All,ovary,0.372564,0.0465491,29
ZNF542P,TGX-115,All,ovary,-0.202874,0.320238,26
ZNF542P,JW-74,All,ovary,0.450411,0.0161629,28
ZNF542P,STF-62247,All,ovary,0.358826,0.0660556,27
ZNF542P,BRD-M00053801,All,ovary,0.246484,0.197409,29
ZNF542P,quinoclamine,All,ovary,-0.215874,0.289526,26
ZNF542P,FGIN-1-27,All,ovary,-0.208402,0.252367,32
ZNF542P,WT-161,All,ovary,0.293192,0.146047,26
ZNF542P,Podophyllotoxin bromide,All,ovary,0.259285,0.256384,21
ZNF542P,Fludarabine,All,ovary,0.269057,0.238247,21
ZNF542P,CAY10603,All,ovary,-0.236464,0.235032,27
ZNF542P,BRD-K79669418,All,ovary,0.241567,0.255455,24
ZNF542P,LY-2157299,All,ovary,-0.272727,0.445838,10
ZNF542P,BRD2572,All,ovary,0.313253,0.178674,20
ZNF542P,cimetidine,All,ovary,-0.321212,0.365468,10
ZNF542P,NSC319726,All,ovary,-0.256354,0.179485,29
ZNF542P,BRD0713,All,ovary,0.35994,0.119035,20
ZNF542P,O-6-benzylguanine,All,ovary,-0.338484,0.199714,16
ZNF542P,Picolinici-acid,All,ovary,-0.353019,0.0906292,24
ZNF542P,GSK3337463A,All,ovary,-0.280132,0.218724,21
ZNF542P,XMD13-2,All,ovary,-0.380587,0.0457198,28
ZNF542P,GANT-58,All,ovary,0.237712,0.393597,15
ZNF542P,SCH772984,All,ovary,0.353813,0.0597069,29
ZNF542P,AZD7762,All,ovary,-0.219552,0.157185,43
ZNF542P,HBX-41108,All,ovary,0.274118,0.150159,29
ZNF542P,TG-100-115,All,ovary,0.204905,0.210816,39
ZNF542P,minoxidil,All,ovary,0.209115,0.45448,15
ZNF542P,AR-42,All,ovary,-0.2435,0.220983,27
ZNF542P,PT-630,All,ovary,0.310298,0.122888,26
ZNF542P,IGF1R_3801,All,ovary,0.370686,0.098082,21
ZNF542P,m-3M3-FBS,All,ovary,-0.263086,0.194108,26
ZNF542P,VE-822,All,ovary,0.397038,0.0547243,24
ZNF542P,SGC-CBP30,All,ovary,0.302282,0.182921,21
ZNF542P,LRRK2-IN-1,All,ovary,0.28152,0.139018,29
ZNF542P,XMD15-27,All,ovary,-0.251988,0.195804,28
ZNF542P,BRD6150,All,ovary,0.225904,0.338224,20
ZNF542P,Cisplatin,All,ovary,0.234617,0.229465,28
ZNF542P,GSK650394,All,ovary,-0.308767,0.142093,24
ZNF542P,BRD-K48477130,All,ovary,-0.297277,0.263495,16
ZNF542P,GSK269962A,All,ovary,0.246484,0.197409,29
ZNF542P,PK-11195,All,ovary,-0.214639,0.325364,23
ZNF542P,16-beta-bromoandrosterone,All,ovary,-0.221038,0.154324,43
ZNF542P,Embelin,All,ovary,-0.485393,0.0162003,24
ZNF542P,mitomycin,All,ovary,0.249088,0.111667,42
ZNF542P,AEW541,All,ovary,0.210972,0.311391,25
ZNF542P,QL-X-138,All,ovary,-0.291199,0.132729,28
ZNF542P,ZD-6474,All,ovary,0.385692,0.084208,21
ZNF542P,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,0.3436,0.037327,37
ZNF542P,BRD-K85133207,All,ovary,0.331374,0.0393287,39
ZNF542P,Enzastaurin,All,ovary,-0.302989,0.117051,28
ZNF542P,Ispinesib Mesylate,All,ovary,-0.215246,0.271331,28
ZNF542P,Doxorubicin,All,ovary,-0.249632,0.106444,43
