gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ATP13A4,neopeltolide,All,ovary,0.310746,0.0692305,35
ATP13A4,PHA-793887,All,ovary,0.221022,0.159539,42
ATP13A4,N27922-53-1,All,ovary,0.257176,0.225061,24
ATP13A4,Mitomycin-C,All,ovary,0.286881,0.174092,24
ATP13A4,NSC 74859,All,ovary,-0.231202,0.135775,43
ATP13A4,PBD-288,All,ovary,0.301654,0.151993,24
ATP13A4,leucascandrolide A,All,ovary,0.227018,0.26473,26
ATP13A4,BRD8097,All,ovary,0.218187,0.355416,20
ATP13A4,965-D2,All,ovary,0.419023,0.0331145,26
ATP13A4,Carboplatin,All,ovary,0.275763,0.0892754,39
ATP13A4,IAP_7638,All,ovary,-0.266323,0.179346,27
ATP13A4,BRD-K52037352,All,ovary,-0.200886,0.247215,35
ATP13A4,BRD-K34222889,All,ovary,0.328647,0.0410764,39
ATP13A4,BDP-00009066,All,ovary,0.216662,0.309198,24
ATP13A4,BRD-K27986637,All,ovary,0.307729,0.387049,10
ATP13A4,BCL-LZH-4,All,ovary,0.252267,0.345894,16
ATP13A4,NVP-AUY922,All,ovary,-0.235337,0.247144,26
ATP13A4,Lenalidomide,All,ovary,-0.278768,0.0815269,40
ATP13A4,HG6-64-1,All,ovary,0.674392,0.000301525,24
ATP13A4,BRD-K09344309,All,ovary,0.216289,0.45767,14
ATP13A4,GSK690693,All,ovary,0.411734,0.0294833,28
ATP13A4,skepinone-L,All,ovary,-0.243311,0.363852,16
ATP13A4,CCT-018159,All,ovary,0.57218,0.00118216,29
ATP13A4,lonidamine,All,ovary,-0.44052,0.0243007,26
ATP13A4,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.317326,0.0522232,38
ATP13A4,JAK1_3715,All,ovary,0.308439,0.117512,27
ATP13A4,VAF-347,All,ovary,0.460113,0.0206511,25
ATP13A4,Panobinostat,All,ovary,0.215105,0.214623,35
ATP13A4,Luminespib,All,ovary,0.251699,0.187791,29
ATP13A4,FMK,All,ovary,0.259517,0.22072,24
ATP13A4,Savolitinib,All,ovary,0.43686,0.0178105,29
ATP13A4,BRD-K50799972,All,ovary,-0.219785,0.178816,39
ATP13A4,TGX-115,All,ovary,-0.472753,0.0147308,26
ATP13A4,KIN001-244,All,ovary,0.453324,0.0154056,28
ATP13A4,N-oxalyl-D-phenylalanine,All,ovary,-0.543804,0.0040849,26
ATP13A4,776928,All,ovary,0.327547,0.147215,21
ATP13A4,JW-74,All,ovary,0.365489,0.0558021,28
ATP13A4,necrosulfonamide,All,ovary,0.233376,0.251218,26
ATP13A4,FTI-277,All,ovary,0.237449,0.263894,24
ATP13A4,A-366,All,ovary,0.358902,0.0850132,24
ATP13A4,Gly-Gly-PALO,All,ovary,-0.260638,0.198443,26
ATP13A4,Cyclophosphamide,All,ovary,-0.244271,0.139413,38
ATP13A4,GSK-LSD1,All,ovary,-0.383131,0.0864655,21
ATP13A4,STF-62247,All,ovary,0.367335,0.0594411,27
ATP13A4,trifluoperazine,All,ovary,-0.226964,0.159017,40
ATP13A4,GSK1070916,All,ovary,0.2512,0.197254,28
ATP13A4,Pelitinib,All,ovary,0.438629,0.0195476,28
ATP13A4,BRD9658,All,ovary,0.205034,0.385852,20
ATP13A4,Compound 12,All,ovary,-0.201024,0.324765,26
ATP13A4,N23918-95-7,All,ovary,0.263577,0.184042,27
ATP13A4,PIK-75,All,ovary,0.25232,0.213666,26
ATP13A4,BRD-K49290616,All,ovary,0.227719,0.526902,10
ATP13A4,AZD8835,All,ovary,0.234287,0.230141,28
ATP13A4,JZL-184,All,ovary,0.247467,0.222901,26
ATP13A4,Podophyllotoxin bromide,All,ovary,0.567087,0.00734388,21
ATP13A4,AICA Ribonucleotide,All,ovary,0.42227,0.0251921,28
ATP13A4,Fludarabine,All,ovary,0.447979,0.0416934,21
ATP13A4,alvocidib,All,ovary,0.616487,0.0109799,16
ATP13A4,narciclasine,All,ovary,0.372072,0.0233505,37
ATP13A4,LY-2157299,All,ovary,-0.246183,0.492943,10
ATP13A4,sparfosic acid,All,ovary,-0.322678,0.107886,26
ATP13A4,Shikonin,All,ovary,0.366325,0.0783049,24
ATP13A4,BRD2572,All,ovary,-0.263836,0.261014,20
ATP13A4,cimetidine,All,ovary,-0.227719,0.526902,10
ATP13A4,Navitoclax,All,ovary,-0.267582,0.0722047,46
ATP13A4,NSC319726,All,ovary,-0.35512,0.058704,29
ATP13A4,BRD0713,All,ovary,-0.250683,0.286405,20
ATP13A4,JW-7-24-1,All,ovary,0.415062,0.0280687,28
ATP13A4,KX2-391,All,ovary,0.256691,0.114694,39
ATP13A4,semagacestat,All,ovary,0.240488,0.145838,38
ATP13A4,cytochalasin B,All,ovary,-0.222384,0.146808,44
ATP13A4,OF-1,All,ovary,-0.313474,0.1358,24
ATP13A4,GSK3337463A,All,ovary,0.240863,0.292904,21
ATP13A4,BRD-K90370028,All,ovary,0.398552,0.126249,16
ATP13A4,Vinblastine,All,ovary,0.372918,0.0506437,28
ATP13A4,Veliparib,All,ovary,-0.236082,0.122877,44
ATP13A4,XMD13-2,All,ovary,0.283917,0.143146,28
ATP13A4,nimodipine,All,ovary,-0.266407,0.337167,15
ATP13A4,FTY-720,All,ovary,-0.229271,0.231553,29
ATP13A4,IGF1R_3801,All,ovary,0.451288,0.0400281,21
ATP13A4,5-Fluorouracil,All,ovary,0.311011,0.100551,29
ATP13A4,m-3M3-FBS,All,ovary,-0.316093,0.115687,26
ATP13A4,VE-822,All,ovary,0.319197,0.128422,24
ATP13A4,Capivasertib,All,ovary,0.54482,0.00271931,28
ATP13A4,XMD15-27,All,ovary,0.495745,0.00730284,28
ATP13A4,NU7441,All,ovary,0.340666,0.0705481,29
ATP13A4,ZL109,All,ovary,-0.409768,0.0337803,27
ATP13A4,IGFR_3801,All,ovary,0.474396,0.0107548,28
ATP13A4,GSK2636771,All,ovary,0.322449,0.0880146,29
ATP13A4,FR-180204,All,ovary,0.258963,0.183301,28
ATP13A4,Cisplatin,All,ovary,0.405912,0.0320973,28
ATP13A4,GSK650394,All,ovary,0.65762,0.000479098,24
ATP13A4,BRD-K48477130,All,ovary,0.282121,0.289763,16
ATP13A4,GSK269962A,All,ovary,0.399479,0.0317988,29
ATP13A4,ML160,All,ovary,-0.266848,0.218374,23
ATP13A4,Embelin,All,ovary,0.204789,0.337092,24
ATP13A4,BRD-K13185470,All,ovary,0.621612,0.0550365,10
