gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
GZMB,procarbazine,All,ovary,0.298353,0.0688468,38
GZMB,SZ4TA2,All,ovary,0.414492,0.124509,15
GZMB,dexamethasone,All,ovary,0.385887,0.00967991,44
GZMB,tacedinaline,All,ovary,-0.368175,0.0538918,28
GZMB,IAP_7638,All,ovary,-0.207792,0.298324,27
GZMB,"2,4-dideoxy-DC-45-A2",All,ovary,0.235793,0.246201,26
GZMB,ML214,All,ovary,-0.284913,0.303354,15
GZMB,SNS-032,All,ovary,-0.33225,0.0477267,36
GZMB,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.418956,0.012245,35
GZMB,Serdemetan,All,ovary,0.240822,0.106916,46
GZMB,HG6-64-1,All,ovary,-0.231644,0.276094,24
GZMB,skepinone-L,All,ovary,0.492635,0.052539,16
GZMB,Vinorelbine,All,ovary,-0.327523,0.08285,29
GZMB,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.260284,0.11451,38
GZMB,GSK2830371,All,ovary,-0.244949,0.259957,23
GZMB,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.211639,0.202113,38
GZMB,GSK626616AC,All,ovary,0.326582,0.148481,21
GZMB,Luminespib,All,ovary,-0.235576,0.218616,29
GZMB,AZD1480,All,ovary,0.251082,0.165702,32
GZMB,avrainvillamide,All,ovary,0.236485,0.171393,35
GZMB,KIN001-244,All,ovary,0.351129,0.066933,28
GZMB,3-Cl-AHPC,All,ovary,0.285051,0.0785903,39
GZMB,prochlorperazine,All,ovary,-0.299732,0.0637676,39
GZMB,barasertib,All,ovary,-0.29091,0.076406,38
GZMB,AZD5363,All,ovary,-0.234674,0.220435,29
GZMB,Pelitinib,All,ovary,-0.268753,0.166706,28
GZMB,DC-45-A2,All,ovary,0.224924,0.269283,26
GZMB,AT-406,All,ovary,0.220531,0.268999,27
GZMB,quinoclamine,All,ovary,-0.328606,0.101204,26
GZMB,CBB-1007,All,ovary,0.463466,0.0705923,16
GZMB,KU 0060648,All,ovary,-0.377061,0.016467,40
GZMB,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.248409,0.127296,39
GZMB,AZD8835,All,ovary,-0.277589,0.152666,28
GZMB,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.310482,0.0543902,39
GZMB,WT-161,All,ovary,-0.300595,0.135669,26
GZMB,Podophyllotoxin bromide,All,ovary,0.337984,0.134003,21
GZMB,AICA Ribonucleotide,All,ovary,0.326769,0.0896554,28
GZMB,Fludarabine,All,ovary,0.206863,0.368278,21
GZMB,Dihydrorotenone,All,ovary,0.25247,0.269538,21
GZMB,alvocidib,All,ovary,-0.554214,0.025899,16
GZMB,CAY10603,All,ovary,-0.246912,0.214378,27
GZMB,Idelalisib,All,ovary,-0.242671,0.121508,42
GZMB,LY-2157299,All,ovary,-0.457468,0.183728,10
GZMB,Shikonin,All,ovary,0.238899,0.260904,24
GZMB,Rucaparib,All,ovary,-0.218534,0.22178,33
GZMB,Avagacestat,All,ovary,0.39513,0.033885,29
GZMB,cimetidine,All,ovary,-0.457468,0.183728,10
GZMB,silmitasertib,All,ovary,-0.245517,0.143006,37
GZMB,"eEF2K Inhibitor, A-484954",All,ovary,0.217848,0.256274,29
GZMB,JW-7-24-1,All,ovary,-0.251934,0.195903,28
GZMB,O-6-benzylguanine,All,ovary,-0.28521,0.284288,16
GZMB,GSK3337463A,All,ovary,0.24514,0.284153,21
GZMB,BRD-K90370028,All,ovary,0.246317,0.357767,16
GZMB,methylstat,All,ovary,-0.258332,0.176034,29
GZMB,XMD13-2,All,ovary,-0.274244,0.157877,28
GZMB,GANT-58,All,ovary,0.210495,0.451439,15
GZMB,AZD7762,All,ovary,0.212948,0.170365,43
GZMB,minoxidil,All,ovary,0.240262,0.388389,15
GZMB,Belinostat,All,ovary,-0.214423,0.23861,32
GZMB,PD 153035,All,ovary,-0.232631,0.233546,28
GZMB,ZL109,All,ovary,0.344089,0.0788409,27
GZMB,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,0.267944,0.0991111,39
GZMB,BRD-K48477130,All,ovary,0.580142,0.0184791,16
GZMB,N25720-51-A1,All,ovary,-0.204602,0.337542,24
GZMB,cytarabine hydrochloride,All,ovary,0.254314,0.12337,38
GZMB,BRD-A02303741,All,ovary,0.39683,0.0123766,39
GZMB,BRD-K13185470,All,ovary,0.334566,0.344702,10
GZMB,Pictilisib,All,ovary,-0.275457,0.0738033,43
GZMB,VX-11e,All,ovary,-0.24459,0.200986,29
GZMB,sotrastaurin,All,ovary,0.212313,0.268852,29
GZMB,mitomycin,All,ovary,0.302515,0.0515042,42
GZMB,bendamustine,All,ovary,0.217965,0.188639,38
GZMB,4-methylfasudil,All,ovary,-0.29307,0.146224,26
GZMB,QL-X-138,All,ovary,-0.276304,0.154653,28
GZMB,ZD-6474,All,ovary,-0.50328,0.0200335,21
GZMB,AGI-6780,All,ovary,-0.3134,0.0978271,29
GZMB,CID-5951923,All,ovary,-0.319071,0.0508725,38
GZMB,KU-60019,All,ovary,-0.256043,0.0974661,43
GZMB,blebbistatin,All,ovary,0.262797,0.127205,35
