gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
IRF1,procarbazine,All,ovary,-0.215912,0.192942,38
IRF1,N27922-53-1,All,ovary,-0.570559,0.0035981,24
IRF1,dexamethasone,All,ovary,0.31898,0.0348208,44
IRF1,losartan,All,ovary,0.372308,0.0610662,26
IRF1,PBD-288,All,ovary,0.339204,0.104903,24
IRF1,PFI-1,All,ovary,0.548343,0.00207197,29
IRF1,KU-55933,All,ovary,0.25455,0.0995031,43
IRF1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.233926,0.176209,35
IRF1,BRD-K14844214,All,ovary,0.226928,0.183204,36
IRF1,BCL-LZH-4,All,ovary,0.291176,0.273887,16
IRF1,Motesanib,All,ovary,-0.258406,0.175906,29
IRF1,BRD-K09344309,All,ovary,-0.336264,0.239792,14
IRF1,skepinone-L,All,ovary,0.452941,0.0780987,16
IRF1,OSW-1,All,ovary,-0.204786,0.3156,26
IRF1,PDMP,All,ovary,0.200226,0.192523,44
IRF1,lonidamine,All,ovary,0.258803,0.201735,26
IRF1,GSK2830371,All,ovary,-0.558933,0.00556352,23
IRF1,GSK626616AC,All,ovary,0.200065,0.384567,21
IRF1,tosedostat,All,ovary,-0.255762,0.0937991,44
IRF1,XMD11-85h,All,ovary,0.301471,0.239624,17
IRF1,TGX-115,All,ovary,0.330598,0.0990288,26
IRF1,KIN001-244,All,ovary,0.237033,0.224566,28
IRF1,Tubastatin A,All,ovary,-0.342513,0.021271,45
IRF1,Remodelin,All,ovary,-0.273205,0.390234,12
IRF1,necrosulfonamide,All,ovary,0.335442,0.0938865,26
IRF1,A-366,All,ovary,-0.315286,0.133432,24
IRF1,BRD-K70511574,All,ovary,0.333839,0.0378014,39
IRF1,abiraterone,All,ovary,-0.507692,0.0638392,14
IRF1,CIL55A,All,ovary,0.239609,0.172295,34
IRF1,Tozasertib,All,ovary,-0.402846,0.033547,28
IRF1,667880,All,ovary,0.210458,0.359825,21
IRF1,quinoclamine,All,ovary,-0.241709,0.234201,26
IRF1,PIK-75,All,ovary,-0.28547,0.157466,26
IRF1,bardoxolone methyl,All,ovary,0.35912,0.0314757,36
IRF1,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.28758,0.0758621,39
IRF1,AZD8835,All,ovary,-0.374435,0.0496375,28
IRF1,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.295172,0.0681132,39
IRF1,WT-161,All,ovary,-0.224615,0.269957,26
IRF1,Podophyllotoxin bromide,All,ovary,0.461838,0.0350613,21
IRF1,Fludarabine,All,ovary,0.217603,0.343362,21
