gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
PELI1,NSC-87877,All,ovary,0.20087,0.346621,24
PELI1,Ulixertinib,All,ovary,0.310629,0.100991,29
PELI1,N27922-53-1,All,ovary,-0.376169,0.070037,24
PELI1,SZ4TA2,All,ovary,0.42538,0.113937,15
PELI1,Mitomycin-C,All,ovary,0.441739,0.0306865,24
PELI1,NSC 74859,All,ovary,-0.387964,0.0101509,43
PELI1,myricetin,All,ovary,-0.216914,0.184704,39
PELI1,losartan,All,ovary,-0.396239,0.0450758,26
PELI1,PBD-288,All,ovary,0.406175,0.0488996,24
PELI1,PFI-1,All,ovary,0.372706,0.0464591,29
PELI1,Wnt-C59,All,ovary,-0.2084,0.277979,29
PELI1,965-D2,All,ovary,0.625748,0.000628692,26
PELI1,"2,4-dideoxy-DC-45-A2",All,ovary,-0.342222,0.0870281,26
PELI1,ML214,All,ovary,0.207143,0.458843,15
PELI1,BRD-K52037352,All,ovary,-0.236851,0.17071,35
PELI1,BRD-K27986637,All,ovary,0.527273,0.117308,10
PELI1,BRD-K14844214,All,ovary,-0.207221,0.22526,36
PELI1,Lenalidomide,All,ovary,-0.488954,0.00136699,40
PELI1,GDC0810,All,ovary,-0.269738,0.157047,29
PELI1,BRD-K33199242,All,ovary,-0.329065,0.0408046,39
PELI1,BRD-K09344309,All,ovary,-0.516484,0.0586372,14
PELI1,BRD4132,All,ovary,0.392024,0.0135783,39
PELI1,GSK690693,All,ovary,0.258382,0.18432,28
PELI1,skepinone-L,All,ovary,0.360559,0.170087,16
PELI1,OSW-1,All,ovary,-0.215043,0.291432,26
PELI1,PDMP,All,ovary,0.213115,0.164843,44
PELI1,CCT-018159,All,ovary,0.30521,0.1074,29
PELI1,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.216666,0.191354,38
PELI1,GSK2830371,All,ovary,-0.415617,0.0485709,23
PELI1,CD-437,All,ovary,0.24042,0.120433,43
PELI1,JAK1_3715,All,ovary,0.418257,0.0299213,27
PELI1,BRD-K50799972,All,ovary,-0.299914,0.0635986,39
PELI1,KIN001-244,All,ovary,0.391405,0.0394281,28
PELI1,Remodelin,All,ovary,-0.377622,0.226206,12
PELI1,3-Cl-AHPC,All,ovary,0.295359,0.06793,39
PELI1,N-oxalyl-D-phenylalanine,All,ovary,-0.430427,0.0281659,26
PELI1,necrosulfonamide,All,ovary,0.202086,0.322162,26
PELI1,barasertib,All,ovary,-0.320074,0.050108,38
PELI1,pyrvinium pamoate,All,ovary,-0.589474,0.00623337,20
PELI1,FTI-277,All,ovary,0.205217,0.336061,24
PELI1,MK-591,All,ovary,-0.28,0.165929,26
PELI1,GSK-LSD1,All,ovary,-0.353361,0.116104,21
PELI1,P22077,All,ovary,0.211602,0.270494,29
PELI1,Pelitinib,All,ovary,0.234296,0.230122,28
PELI1,DC-45-A2,All,ovary,-0.463248,0.0171557,26
PELI1,BRD6368,All,ovary,-0.230085,0.258155,26
PELI1,Tozasertib,All,ovary,-0.293924,0.128976,28
PELI1,BRD2762,All,ovary,-0.374436,0.103841,20
PELI1,Compound 12,All,ovary,-0.299145,0.137658,26
PELI1,FGIN-1-27,All,ovary,0.23607,0.19334,32
PELI1,WT-161,All,ovary,-0.231453,0.255257,26
PELI1,Podophyllotoxin bromide,All,ovary,0.216954,0.34484,21
PELI1,AICA Ribonucleotide,All,ovary,0.219516,0.261707,28
PELI1,Fludarabine,All,ovary,0.416369,0.0604498,21
PELI1,alvocidib,All,ovary,0.425313,0.100521,16
PELI1,CAY10603,All,ovary,0.213708,0.284466,27
PELI1,BRD-K79669418,All,ovary,-0.233043,0.27312,24
PELI1,LY-2157299,All,ovary,-0.357576,0.310376,10
PELI1,sparfosic acid,All,ovary,-0.394188,0.046301,26
PELI1,Shikonin,All,ovary,0.34,0.104038,24
PELI1,Rucaparib,All,ovary,-0.372524,0.0327614,33
PELI1,Avagacestat,All,ovary,0.212588,0.268217,29
PELI1,ML030,All,ovary,0.210014,0.171221,44
PELI1,NPC-26,All,ovary,0.45565,0.00313075,40
PELI1,pandacostat,All,ovary,0.214889,0.188937,39
PELI1,AZ6102,All,ovary,0.210124,0.273932,29
PELI1,NSC319726,All,ovary,-0.350289,0.0624751,29
PELI1,JW-7-24-1,All,ovary,0.432188,0.0216311,28
PELI1,KX2-391,All,ovary,0.227846,0.163007,39
PELI1,Vinblastine,All,ovary,0.290133,0.134218,28
PELI1,chlorambucil,All,ovary,0.220963,0.176442,39
PELI1,Veliparib,All,ovary,-0.46478,0.00148015,44
PELI1,XMD13-2,All,ovary,0.314493,0.103116,28
PELI1,GANT-58,All,ovary,0.389286,0.151512,15
PELI1,TG-100-115,All,ovary,-0.215193,0.188298,39
PELI1,AR-42,All,ovary,0.238437,0.231035,27
PELI1,Torin 2,All,ovary,0.282054,0.138238,29
PELI1,nimodipine,All,ovary,-0.425,0.114295,15
PELI1,Belinostat,All,ovary,0.218862,0.228795,32
PELI1,5-Fluorouracil,All,ovary,0.408917,0.0276274,29
PELI1,m-3M3-FBS,All,ovary,-0.447521,0.0218809,26
PELI1,VE-822,All,ovary,0.253099,0.232759,24
PELI1,Capivasertib,All,ovary,0.562474,0.00183589,28
PELI1,XMD15-27,All,ovary,0.269878,0.164869,28
PELI1,CIL56,All,ovary,-0.209473,0.234445,34
PELI1,NU7441,All,ovary,0.324671,0.0857237,29
PELI1,PD 153035,All,ovary,0.212673,0.27724,28
PELI1,ZL109,All,ovary,-0.368799,0.0583575,27
PELI1,dalcetrapib,All,ovary,-0.489915,0.011068,26
PELI1,Flutamide,All,ovary,-0.423913,0.0438159,23
PELI1,WYE-125132,All,ovary,0.318019,0.0927196,29
PELI1,BRD6825,All,ovary,-0.234586,0.319476,20
PELI1,GSK650394,All,ovary,0.462609,0.022833,24
PELI1,simvastatin,All,ovary,-0.251854,0.107617,42
PELI1,GSK269962A,All,ovary,0.320975,0.0895588,29
PELI1,BRD7137,All,ovary,-0.282051,0.162719,26
PELI1,Embelin,All,ovary,0.317391,0.130718,24
PELI1,Parthenolide,All,ovary,0.226717,0.138894,44
PELI1,cytarabine hydrochloride,All,ovary,0.243585,0.140563,38
PELI1,BRD-K13185470,All,ovary,0.272727,0.445838,10
PELI1,Bleomycin,All,ovary,0.641123,0.000314076,27
PELI1,fumagillol,All,ovary,-0.44,0.0244886,26
PELI1,SB505124,All,ovary,-0.423205,0.0221686,29
PELI1,Compound 11e,All,ovary,-0.235714,0.397703,15
PELI1,AEW541,All,ovary,-0.275385,0.182741,25
PELI1,4-methylfasudil,All,ovary,-0.339487,0.0897476,26
PELI1,QL-X-138,All,ovary,0.428356,0.0229546,28
PELI1,ZD-6474,All,ovary,-0.311688,0.169,21
PELI1,BRD-K71935468,All,ovary,0.379931,0.0186324,38
PELI1,L-685458,All,ovary,-0.223808,0.149095,43
PELI1,Ispinesib Mesylate,All,ovary,0.304639,0.114971,28
PELI1,PF-4708671,All,ovary,0.413351,0.0258275,29
PELI1,PF-04217903,All,ovary,-0.34585,0.105991,23
PELI1,PD173074,All,ovary,-0.230817,0.228335,29
PELI1,PI-103,All,ovary,0.308921,0.0367131,46
PELI1,VE821,All,ovary,0.318019,0.0927196,29
PELI1,CPI-637,All,ovary,0.209176,0.326616,24
PELI1,MLN2238,All,ovary,0.396871,0.0136247,38
PELI1,Epothilone B,All,ovary,0.353043,0.0906054,24
PELI1,4-IPP,All,ovary,-0.45094,0.0207728,26
PELI1,BRD-K41334119,All,ovary,0.393939,0.259998,10
PELI1,RAF_9304,All,ovary,0.339401,0.0772395,28
PELI1,zileuton,All,ovary,-0.584274,0.00172333,26
PELI1,BRD2296,All,ovary,-0.221429,0.427714,15
PELI1,TTK_3146,All,ovary,0.502258,0.00645783,28
PELI1,fatostatin,All,ovary,-0.219145,0.282101,26
PELI1,BRD-K13999467,All,ovary,-0.220052,0.178277,39
PELI1,BX-912,All,ovary,0.286575,0.139278,28
PELI1,THR-102,All,ovary,-0.239684,0.270664,23
PELI1,FS112,All,ovary,0.458191,0.0142056,28
PELI1,MPS-1-IN-1,All,ovary,0.209388,0.284901,28
PELI1,50869,All,ovary,0.375447,0.0935107,21
PELI1,AZD1208,All,ovary,0.257288,0.186252,28
PELI1,apicidin,All,ovary,0.374918,0.0186886,39
PELI1,Compound 1541A,All,ovary,0.327104,0.0322704,43
PELI1,QL-XI-92,All,ovary,0.487751,0.00846562,28
PELI1,Alda-1,All,ovary,-0.545983,0.00390997,26
PELI1,BRD-K34485477,All,ovary,0.236364,0.510885,10
PELI1,Tipifarnib,All,ovary,0.277391,0.189412,24
PELI1,BRD-A94377914,All,ovary,0.206957,0.331892,24
PELI1,123138,All,ovary,-0.260474,0.25413,21
PELI1,idarubicin,All,ovary,-0.318974,0.112224,26
PELI1,Venetoclax,All,ovary,-0.471459,0.00370135,36
PELI1,AT7867,All,ovary,0.339789,0.0257951,43
PELI1,XMD8-92,All,ovary,0.285714,0.266278,17
PELI1,7-nitroindazole,All,ovary,-0.526838,0.0056886,26
PELI1,Vorinostat,All,ovary,0.285609,0.0543457,46
PELI1,BRD4372,All,ovary,0.210526,0.37297,20
PELI1,GSK461364,All,ovary,0.338095,0.04069,37
PELI1,CX-5461,All,ovary,0.232331,0.243556,27
PELI1,Tenovin-6,All,ovary,0.240177,0.20949,29
PELI1,NSC-207895,All,ovary,0.354755,0.069415,27
PELI1,clofarabine,All,ovary,0.242927,0.136186,39
PELI1,6-diazo-5-oxo-L-norleucine,All,ovary,-0.428376,0.029009,26
PELI1,BRD9571,All,ovary,0.257143,0.35486,15
PELI1,GSK591,All,ovary,0.379603,0.0422503,29
PELI1,MI-2,All,ovary,-0.409124,0.115594,16
PELI1,RS-23597-190,All,ovary,-0.255929,0.238517,23
PELI1,THR-103,All,ovary,0.204596,0.349043,23
PELI1,CT7033-2,All,ovary,0.222222,0.296639,24
PELI1,ARRY-520,All,ovary,0.226383,0.237647,29
PELI1,Gemcitabine,All,ovary,0.33507,0.0228305,46
PELI1,ZM336372,All,ovary,-0.317194,0.140275,23
PELI1,Mitoxantrone,All,ovary,0.200715,0.382993,21
PELI1,BRD-K84807411,All,ovary,-0.236364,0.510885,10
PELI1,chaetocin,All,ovary,-0.380435,0.0733277,23
PELI1,AT13387,All,ovary,0.289919,0.276059,16
PELI1,fluoropyruvate,All,ovary,-0.219145,0.282101,26
PELI1,Ribociclib,All,ovary,0.208646,0.277399,29
PELI1,Gallibiscoquinazole,All,ovary,-0.238389,0.298042,21
PELI1,JAK3_7406,All,ovary,0.425072,0.024141,28
PELI1,(5Z)-7-Oxozeaenol,All,ovary,0.41154,0.0329432,27
PELI1,BRD-K17060750,All,ovary,-0.241207,0.139069,39
PELI1,STF-31,All,ovary,-0.203553,0.213908,39
PELI1,JQ-1:vorinostat (2:1 mol-mol),All,ovary,0.210319,0.205006,38
PELI1,palmostatin B,All,ovary,-0.236729,0.216305,29
PELI1,GSK-LSD1-2HCl ,All,ovary,-0.208741,0.327646,24
PELI1,cytosporone B,All,ovary,-0.488547,0.011329,26
PELI1,IU1,All,ovary,-0.222794,0.178792,38
PELI1,GSK2606414,All,ovary,0.365297,0.0792097,24
PELI1,rosiglitazone,All,ovary,-0.41265,0.0361693,26
PELI1,BRD9647,All,ovary,-0.217271,0.17807,40
PELI1,Mycophenolic acid,All,ovary,0.26484,0.211058,24
PELI1,WEHI-539,All,ovary,-0.463604,0.0113093,29
PELI1,ML007,All,ovary,-0.231453,0.255257,26
PELI1,AZD5582,All,ovary,0.201256,0.295153,29
PELI1,Sepantronium bromide,All,ovary,-0.224447,0.138272,45
PELI1,Y-39983,All,ovary,0.42343,0.0247527,28
PELI1,endo-IWR-1,All,ovary,-0.369565,0.0826369,23
PELI1,KIN001-042,All,ovary,-0.221456,0.248286,29
PELI1,SB52334,All,ovary,0.209936,0.283615,28
PELI1,BRD-K86535717,All,ovary,0.575758,0.0815528,10
PELI1,ISOX,All,ovary,0.251531,0.122429,39
PELI1,Ponatinib,All,ovary,-0.217391,0.307533,24
PELI1,JW-55,All,ovary,-0.27033,0.349919,14
PELI1,CIL70,All,ovary,-0.423071,0.0126687,34
PELI1,istradefylline,All,ovary,0.23235,0.404667,15
PELI1,PF-573228,All,ovary,0.248697,0.126841,39
PELI1,ML100,All,ovary,-0.243083,0.26372,23
PELI1,BRD-K96431673,All,ovary,-0.515152,0.127553,10
PELI1,SGC0946,All,ovary,-0.255943,0.180208,29
PELI1,JQ12,All,ovary,0.254783,0.229559,24
PELI1,Bleomycin (50 uM),All,ovary,0.282743,0.144879,28
PELI1,VTP-B,All,ovary,-0.251794,0.235257,24
PELI1,ubistatin B,All,ovary,-0.396239,0.0450758,26
PELI1,QL-XII-47,All,ovary,0.449706,0.0163509,28
PELI1,NVP-TAE684,All,ovary,-0.20629,0.184443,43
PELI1,PF-3845,All,ovary,-0.236923,0.243879,26
PELI1,JNK Inhibitor VIII,All,ovary,-0.286242,0.132232,29
PELI1,OSU-03012,All,ovary,0.349565,0.0940531,24
PELI1,leptomycin B,All,ovary,0.331292,0.0393806,39
PELI1,momelotinib,All,ovary,0.288542,0.083283,37
PELI1,CP466722,All,ovary,0.382647,0.0444645,28
PELI1,HG-5-88-01,All,ovary,-0.372778,0.140573,17
PELI1,THZ-2-49,All,ovary,0.389763,0.040336,28
PELI1,ML258,All,ovary,0.245336,0.137643,38
PELI1,Carmustine,All,ovary,0.346866,0.123441,21
PELI1,PF-562271,All,ovary,0.210435,0.323647,24
PELI1,Vismodegib,All,ovary,-0.357897,0.0233627,40
PELI1,GSK2801,All,ovary,-0.265021,0.245634,21
PELI1,2-bromopyruvate,All,ovary,-0.207521,0.309038,26
PELI1,BX795,All,ovary,-0.338884,0.0348269,39
PELI1,BAY-MPS-combo-1 (paclitaxel 5 uM),All,ovary,0.409023,0.0733409,20
PELI1,betulinic acid,All,ovary,-0.324813,0.0569346,35
PELI1,RO4929097,All,ovary,0.300221,0.258569,16
PELI1,CAY10566,All,ovary,0.301269,0.112248,29
PELI1,PFI3,All,ovary,0.249076,0.201195,28
PELI1,CP724714,All,ovary,0.441221,0.0187571,28
PELI1,Pemetrexed,All,ovary,-0.476383,0.00188726,40
PELI1,BRD-K02251932,All,ovary,-0.230645,0.17594,36
PELI1,salermide,All,ovary,0.359915,0.0467245,31
PELI1,BRD-K03911514,All,ovary,-0.304348,0.148188,24
PELI1,Camptothecin,All,ovary,0.285996,0.13258,29
PELI1,BAY-HDAC11_4,All,ovary,0.222602,0.274387,26
PELI1,BRD-K96970199,All,ovary,-0.369697,0.29305,10
PELI1,Dinaciclib,All,ovary,0.319279,0.0854695,30
PELI1,TTNBP,All,ovary,-0.243083,0.26372,23
PELI1,ICL1100013,All,ovary,0.483098,0.00921148,28
PELI1,PARP_0108,All,ovary,0.21096,0.290851,27
PELI1,ML101,All,ovary,-0.318974,0.112224,26
