gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
PIM3,EPZ004777,All,ovary,-0.464039,0.0112227,29
PIM3,neopeltolide,All,ovary,-0.307843,0.0720097,35
PIM3,Ulixertinib,All,ovary,-0.235468,0.218833,29
PIM3,N27922-53-1,All,ovary,-0.349565,0.0940531,24
PIM3,Zibotentan,All,ovary,-0.342638,0.0742802,28
PIM3,etomoxir,All,ovary,0.239203,0.12238,43
PIM3,losartan,All,ovary,0.417436,0.0338551,26
PIM3,BRD8097,All,ovary,0.206015,0.383533,20
PIM3,Wnt-C59,All,ovary,-0.237931,0.213912,29
PIM3,965-D2,All,ovary,-0.275897,0.172482,26
PIM3,Pilaralisib,All,ovary,0.283744,0.135792,29
PIM3,MCT1_6447,All,ovary,-0.207444,0.289499,28
PIM3,BRD-K14844214,All,ovary,0.331532,0.0482398,36
PIM3,150412,All,ovary,-0.446753,0.0423239,21
PIM3,Serdemetan,All,ovary,-0.236386,0.113733,46
PIM3,HG6-64-1,All,ovary,0.5,0.0128454,24
PIM3,Motesanib,All,ovary,-0.421675,0.0227071,29
PIM3,BRD-K09344309,All,ovary,0.323077,0.259874,14
PIM3,OSW-1,All,ovary,-0.268376,0.184964,26
PIM3,Vinorelbine,All,ovary,0.547291,0.00212196,29
PIM3,triptolide,All,ovary,-0.292319,0.0541679,44
PIM3,lonidamine,All,ovary,0.436581,0.0257544,26
PIM3,GSK2830371,All,ovary,-0.486166,0.0186653,23
PIM3,GSK626616AC,All,ovary,-0.249351,0.275699,21
PIM3,JAK1_3715,All,ovary,-0.287546,0.145849,27
PIM3,tosedostat,All,ovary,-0.276251,0.0694943,44
PIM3,Panobinostat,All,ovary,0.407003,0.015245,35
PIM3,XMD11-85h,All,ovary,0.240196,0.353089,17
PIM3,CAY10594,All,ovary,-0.232558,0.133431,43
PIM3,BRD-K55473186,All,ovary,0.223317,0.253327,28
PIM3,Savolitinib,All,ovary,-0.23202,0.225851,29
PIM3,AZD1480,All,ovary,0.216642,0.233668,32
PIM3,Remodelin,All,ovary,-0.20979,0.512841,12
PIM3,N-oxalyl-D-phenylalanine,All,ovary,0.404444,0.0404283,26
PIM3,776928,All,ovary,0.393506,0.077588,21
PIM3,FTI-277,All,ovary,0.496522,0.0135872,24
PIM3,A-366,All,ovary,-0.212174,0.319571,24
PIM3,Gly-Gly-PALO,All,ovary,0.25265,0.213048,26
PIM3,AZD5363,All,ovary,0.209852,0.274569,29
PIM3,P22077,All,ovary,-0.32069,0.0898608,29
PIM3,BRD2762,All,ovary,-0.207519,0.379993,20
PIM3,PIK-75,All,ovary,-0.406496,0.039328,26
PIM3,CBB-1007,All,ovary,-0.338235,0.200066,16
PIM3,WT-161,All,ovary,-0.308034,0.125787,26
PIM3,BRD4770,All,ovary,-0.307918,0.08644,32
PIM3,AICA Ribonucleotide,All,ovary,-0.256158,0.188261,28
PIM3,Fludarabine,All,ovary,-0.254545,0.265488,21
PIM3,Dihydrorotenone,All,ovary,-0.222078,0.333281,21
PIM3,XL765,All,ovary,0.206073,0.20817,39
PIM3,CAY10603,All,ovary,0.271673,0.170437,27
PIM3,LY-2157299,All,ovary,0.357576,0.310376,10
PIM3,SB216763,All,ovary,-0.306897,0.105373,29
PIM3,sparfosic acid,All,ovary,0.352479,0.0773817,26
PIM3,Rucaparib,All,ovary,0.41143,0.0173698,33
PIM3,Avagacestat,All,ovary,-0.254187,0.183319,29
PIM3,UNC1215,All,ovary,-0.256158,0.188261,28
PIM3,AZD6094,All,ovary,-0.306471,0.119993,27
PIM3,cimetidine,All,ovary,0.418182,0.229113,10
PIM3,"eEF2K Inhibitor, A-484954",All,ovary,-0.334483,0.0761465,29
PIM3,NSC319726,All,ovary,0.240887,0.208107,29
PIM3,BRD0713,All,ovary,-0.278196,0.234974,20
PIM3,JW-7-24-1,All,ovary,0.524904,0.00413233,28
PIM3,O-6-benzylguanine,All,ovary,0.252941,0.344563,16
PIM3,cytochalasin B,All,ovary,-0.223538,0.144668,44
PIM3,GSK3337463A,All,ovary,-0.276623,0.22479,21
PIM3,BRD-K90370028,All,ovary,-0.494118,0.0517234,16
PIM3,XMD13-2,All,ovary,0.280241,0.148622,28
PIM3,GANT-58,All,ovary,-0.492857,0.061951,15
