gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
PRSS50,NSC-87877,All,ovary,0.28015,0.184867,24
PRSS50,BRD-K19103580,All,ovary,0.203013,0.221545,38
PRSS50,neopeltolide,All,ovary,0.302886,0.0769556,35
PRSS50,Ulixertinib,All,ovary,0.318242,0.0924784,29
PRSS50,procarbazine,All,ovary,0.208968,0.207999,38
PRSS50,BRD-K55116708,All,ovary,0.323011,0.0511771,37
PRSS50,Zibotentan,All,ovary,0.225267,0.249097,28
PRSS50,Mitomycin-C,All,ovary,0.48533,0.016216,24
PRSS50,etomoxir,All,ovary,0.236981,0.125995,43
PRSS50,PBD-288,All,ovary,0.395541,0.0557274,24
PRSS50,Wnt-C59,All,ovary,-0.318739,0.0919428,29
PRSS50,IAP_7638,All,ovary,-0.443634,0.0204545,27
PRSS50,KU-55933,All,ovary,-0.302556,0.0486073,43
PRSS50,BRD-K34222889,All,ovary,0.236047,0.147984,39
PRSS50,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.385988,0.0220119,35
PRSS50,Pilaralisib,All,ovary,0.299873,0.114004,29
PRSS50,MCT1_6447,All,ovary,-0.28821,0.136936,28
PRSS50,BRD-K27986637,All,ovary,0.24466,0.495709,10
PRSS50,BRD-K03536150,All,ovary,0.262308,0.111618,38
PRSS50,Lenalidomide,All,ovary,-0.30376,0.0567116,40
PRSS50,SB-525334,All,ovary,0.563539,0.000229572,38
PRSS50,BRD4132,All,ovary,0.444714,0.00456061,39
PRSS50,skepinone-L,All,ovary,0.208979,0.437311,16
PRSS50,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.49186,0.00171056,38
PRSS50,CD-437,All,ovary,0.2677,0.0826468,43
PRSS50,GSK343,All,ovary,-0.265119,0.164551,29
PRSS50,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.366817,0.0234951,38
PRSS50,GSK626616AC,All,ovary,-0.355459,0.113803,21
PRSS50,VAF-347,All,ovary,0.438271,0.0284235,25
PRSS50,XMD11-85h,All,ovary,-0.365022,0.149681,17
PRSS50,AZD1480,All,ovary,0.284299,0.114798,32
PRSS50,KIN001-244,All,ovary,0.356121,0.062884,28
PRSS50,3-Cl-AHPC,All,ovary,0.540337,0.000384073,39
PRSS50,necrosulfonamide,All,ovary,0.287487,0.154425,26
PRSS50,barasertib,All,ovary,-0.323563,0.0475226,38
PRSS50,FTI-277,All,ovary,0.339337,0.104758,24
PRSS50,Cyclophosphamide,All,ovary,-0.213426,0.198241,38
PRSS50,BRD-K70511574,All,ovary,0.214786,0.189154,39
PRSS50,BRD6368,All,ovary,0.234855,0.248142,26
PRSS50,BRD2762,All,ovary,-0.323731,0.163807,20
PRSS50,Daporinad,All,ovary,0.216553,0.148309,46
PRSS50,bardoxolone methyl,All,ovary,0.282805,0.094671,36
PRSS50,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.2543,0.118231,39
PRSS50,AZD8835,All,ovary,-0.236034,0.226584,28
PRSS50,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.20846,0.202833,39
PRSS50,JZL-184,All,ovary,0.306379,0.12794,26
PRSS50,WT-161,All,ovary,-0.45939,0.0182291,26
PRSS50,IOX2,All,ovary,0.26363,0.167024,29
PRSS50,SNX-2112,All,ovary,0.257846,0.0836196,46
PRSS50,Podophyllotoxin bromide,All,ovary,0.212481,0.355118,21
