gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
RANBP2,SZ4TA2,All,ovary,-0.228571,0.412566,15
RANBP2,dexamethasone,All,ovary,0.223397,0.144929,44
RANBP2,Zibotentan,All,ovary,-0.335523,0.0809019,28
RANBP2,tacedinaline,All,ovary,0.244663,0.209556,28
RANBP2,NSC 74859,All,ovary,0.276352,0.0728332,43
RANBP2,myricetin,All,ovary,0.299798,0.0637065,39
RANBP2,etomoxir,All,ovary,0.339474,0.0259416,43
RANBP2,leucascandrolide A,All,ovary,0.239658,0.238317,26
RANBP2,BRD8097,All,ovary,-0.437594,0.0536614,20
RANBP2,Wnt-C59,All,ovary,0.230542,0.228904,29
RANBP2,IAP_7638,All,ovary,-0.302198,0.125513,27
RANBP2,KU-55933,All,ovary,0.200695,0.196898,43
RANBP2,BRD-K52037352,All,ovary,0.363305,0.0319375,35
RANBP2,BRD-K34222889,All,ovary,0.294939,0.0683407,39
RANBP2,SNS-032,All,ovary,0.360875,0.0305958,36
RANBP2,BDP-00009066,All,ovary,-0.334783,0.109804,24
RANBP2,B02,All,ovary,0.33546,0.0343359,40
RANBP2,BRD-K14844214,All,ovary,0.369112,0.0267326,36
RANBP2,BCL-LZH-4,All,ovary,0.288235,0.278984,16
RANBP2,NVP-AUY922,All,ovary,-0.34359,0.085692,26
RANBP2,HG6-64-1,All,ovary,-0.209565,0.325696,24
RANBP2,Motesanib,All,ovary,0.225616,0.239282,29
RANBP2,BPTES,All,ovary,-0.363985,0.0568952,28
RANBP2,BRD-K09344309,All,ovary,-0.428571,0.126274,14
RANBP2,SB-525334,All,ovary,0.318306,0.0514609,38
RANBP2,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.217306,0.161582,43
RANBP2,skepinone-L,All,ovary,0.229412,0.39272,16
RANBP2,OSW-1,All,ovary,0.247179,0.223457,26
RANBP2,Vinorelbine,All,ovary,-0.207389,0.28037,29
RANBP2,PDMP,All,ovary,0.295701,0.051317,44
RANBP2,CCT-018159,All,ovary,-0.371429,0.0472739,29
RANBP2,lonidamine,All,ovary,0.223248,0.272961,26
RANBP2,CD-1530,All,ovary,0.234068,0.130856,43
RANBP2,niclosamide,All,ovary,0.273443,0.0966854,38
RANBP2,GSK626616AC,All,ovary,-0.250649,0.273124,21
RANBP2,Panobinostat,All,ovary,-0.389076,0.0208843,35
RANBP2,XMD11-85h,All,ovary,-0.404412,0.107379,17
RANBP2,Luminespib,All,ovary,-0.414778,0.025269,29
RANBP2,FMK,All,ovary,0.325217,0.120978,24
RANBP2,Savolitinib,All,ovary,-0.376355,0.0441931,29
RANBP2,BRD-K50799972,All,ovary,0.312146,0.0530428,39
RANBP2,TGX-115,All,ovary,0.369573,0.0631426,26
RANBP2,Remodelin,All,ovary,0.363636,0.245265,12
RANBP2,776928,All,ovary,-0.251948,0.270563,21
RANBP2,"Brivanib, BMS-540215",All,ovary,-0.333498,0.0770692,29
RANBP2,BRD-K70511574,All,ovary,0.233806,0.151986,39
RANBP2,FQI-2,All,ovary,0.233449,0.141843,41
RANBP2,trifluoperazine,All,ovary,0.285929,0.0736828,40
RANBP2,GSK1070916,All,ovary,-0.22879,0.241574,28
RANBP2,CIL55A,All,ovary,0.371429,0.0305555,34
RANBP2,667880,All,ovary,0.220779,0.336188,21
RANBP2,BRD9658,All,ovary,0.222556,0.345621,20
RANBP2,BRD-K49290616,All,ovary,0.357576,0.310376,10
RANBP2,CBB-1007,All,ovary,0.458824,0.0738355,16
RANBP2,bardoxolone methyl,All,ovary,0.472329,0.00362993,36
RANBP2,JZL-184,All,ovary,0.326496,0.103546,26
RANBP2,SNX-2112,All,ovary,-0.288313,0.0520036,46
RANBP2,Dihydrorotenone,All,ovary,0.396104,0.0754764,21
RANBP2,Amuvatinib,All,ovary,0.251232,0.197196,28
RANBP2,XL765,All,ovary,0.241903,0.137897,39
RANBP2,BRD-K45681478,All,ovary,0.265182,0.102776,39
RANBP2,Idelalisib,All,ovary,0.229398,0.143913,42
RANBP2,sirolimus:bortezomib (250:1 mol-mol),All,ovary,0.415992,0.00844059,39
RANBP2,SB216763,All,ovary,-0.250739,0.189537,29
RANBP2,BRD2572,All,ovary,0.237594,0.313131,20
RANBP2,CIL55,All,ovary,0.347928,0.0472438,33
RANBP2,kb NB 142-70,All,ovary,-0.221675,0.247806,29
RANBP2,Rucaparib,All,ovary,-0.340241,0.0526946,33
RANBP2,"eEF2K Inhibitor, A-484954",All,ovary,-0.266995,0.161473,29
RANBP2,JW-7-24-1,All,ovary,0.251232,0.197196,28
RANBP2,O-6-benzylguanine,All,ovary,-0.217647,0.418087,16
RANBP2,cytochalasin B,All,ovary,0.293587,0.0530842,44
RANBP2,Picolinici-acid,All,ovary,-0.351304,0.0923173,24
RANBP2,OF-1,All,ovary,0.384348,0.0636882,24
RANBP2,SCH772984,All,ovary,0.231034,0.227884,29
RANBP2,AZD7762,All,ovary,-0.21942,0.157441,43
RANBP2,KHS101,All,ovary,0.286866,0.0851718,37
RANBP2,TG-100-115,All,ovary,0.252024,0.121673,39
RANBP2,nimodipine,All,ovary,0.282143,0.308284,15
RANBP2,FTY-720,All,ovary,-0.230542,0.228904,29
RANBP2,5-Fluorouracil,All,ovary,-0.325123,0.0852626,29
RANBP2,NG-25,All,ovary,0.340996,0.07577,28
RANBP2,StemRegenin 1,All,ovary,0.286032,0.0775228,39
RANBP2,SGC-CBP30,All,ovary,0.344156,0.126598,21
RANBP2,CIL56,All,ovary,0.224446,0.201907,34
RANBP2,NU7441,All,ovary,-0.325616,0.084763,29
RANBP2,Flutamide,All,ovary,0.242095,0.265727,23
RANBP2,SID 26681509,All,ovary,0.21338,0.16948,43
RANBP2,FR-180204,All,ovary,-0.360701,0.0593395,28
RANBP2,nakiterpiosin,All,ovary,0.21945,0.152351,44
RANBP2,ML160,All,ovary,0.246047,0.257759,23
RANBP2,PK-11195,All,ovary,0.438735,0.0362339,23
RANBP2,N25720-51-A1,All,ovary,0.206087,0.333972,24
RANBP2,BRD-K97651142,All,ovary,0.237553,0.150971,38
RANBP2,fumagillol,All,ovary,0.305983,0.128458,26
RANBP2,Compound 11e,All,ovary,0.435714,0.104493,15
RANBP2,AEW541,All,ovary,-0.201538,0.334012,25
RANBP2,BRD-K24690302,All,ovary,-0.221862,0.174642,39
RANBP2,SKI-II,All,ovary,0.255814,0.0937294,44
RANBP2,ZD-6474,All,ovary,-0.258442,0.257989,21
RANBP2,AGI-6780,All,ovary,0.319212,0.0914347,29
RANBP2,CID-5951923,All,ovary,-0.239742,0.147131,38
RANBP2,SB-743921,All,ovary,0.269796,0.106336,37
RANBP2,L-685458,All,ovary,0.226971,0.143284,43
RANBP2,Doxorubicin,All,ovary,-0.312594,0.0412632,43
RANBP2,PF-4708671,All,ovary,-0.2133,0.266578,29
RANBP2,TAF1_5496,All,ovary,0.557143,0.00869772,21
RANBP2,PF-04217903,All,ovary,0.309289,0.150983,23
RANBP2,VE821,All,ovary,-0.219704,0.252142,29
RANBP2,BRD-K58730230,All,ovary,-0.248485,0.488776,10
RANBP2,CPI-637,All,ovary,-0.324348,0.122033,24
RANBP2,VTP-A,All,ovary,-0.512174,0.0105064,24
RANBP2,MLN2238,All,ovary,0.480687,0.0022529,38
RANBP2,Epothilone B,All,ovary,-0.315652,0.132957,24
RANBP2,OSI-027,All,ovary,0.224857,0.14715,43
RANBP2,Bortezomib,All,ovary,0.304595,0.0395712,46
RANBP2,TWS119,All,ovary,-0.28867,0.128839,29
RANBP2,968,All,ovary,0.587879,0.0738777,10
RANBP2,C-75,All,ovary,-0.434483,0.0185137,29
RANBP2,BAM7,All,ovary,-0.54532,0.00221832,29
RANBP2,DBeQ,All,ovary,0.302331,0.065056,38
RANBP2,Ko-143,All,ovary,0.307118,0.0425765,44
RANBP2,FS106,All,ovary,-0.210181,0.283041,28
RANBP2,BRD2296,All,ovary,-0.532143,0.0411586,15
RANBP2,BRD-K13999467,All,ovary,0.284615,0.0790685,39
RANBP2,ICL-SIRT078,All,ovary,0.56087,0.00435626,24
RANBP2,FQI-1,All,ovary,0.405653,0.0173023,34
RANBP2,50869,All,ovary,0.274026,0.229352,21
RANBP2,Selumetinib,All,ovary,0.252297,0.0907302,46
RANBP2,Compound 1541A,All,ovary,0.200544,0.197243,43
RANBP2,AM-580,All,ovary,0.33136,0.0280056,44
RANBP2,BRD-K34485477,All,ovary,-0.321212,0.365468,10
RANBP2,KIN001-266,All,ovary,0.2578,0.185347,28
RANBP2,123138,All,ovary,0.201299,0.381581,21
RANBP2,CCT245467,All,ovary,-0.224959,0.249763,28
RANBP2,Bryostatin 1,All,ovary,0.337391,0.106892,24
RANBP2,idarubicin,All,ovary,-0.284786,0.158507,26
RANBP2,"CAP-232, TT-232, TLN-232",All,ovary,-0.387685,0.0377121,29
RANBP2,Etoposide,All,ovary,-0.238976,0.109714,46
RANBP2,XMD8-92,All,ovary,-0.230392,0.373665,17
RANBP2,BI-2536,All,ovary,-0.255381,0.0867232,46
RANBP2,SCH-529074,All,ovary,0.406478,0.0102347,39
RANBP2,EphB4_9721,All,ovary,-0.268199,0.167615,28
RANBP2,BRD-K27224038,All,ovary,-0.224242,0.533401,10
RANBP2,GSK591,All,ovary,-0.277833,0.144491,29
RANBP2,SR1001,All,ovary,0.403436,0.0120171,38
RANBP2,RS-23597-190,All,ovary,0.286561,0.184951,23
RANBP2,KPT185,All,ovary,0.320197,0.0903831,29
RANBP2,AZD4547,All,ovary,-0.2463,0.111353,43
RANBP2,ARRY-520,All,ovary,-0.395074,0.0339129,29
RANBP2,Gemcitabine,All,ovary,-0.277459,0.0619196,46
RANBP2,ZM336372,All,ovary,0.293478,0.174104,23
RANBP2,BRD-A86708339,All,ovary,0.503571,0.0556545,15
RANBP2,ZL049,All,ovary,-0.289377,0.143185,27
RANBP2,ML311,All,ovary,0.212753,0.193477,39
RANBP2,ML210,All,ovary,0.272648,0.0845898,41
RANBP2,OTX015,All,ovary,-0.290435,0.168584,24
RANBP2,CCT007093,All,ovary,-0.339901,0.0712227,29
RANBP2,cyanoquinoline 11,All,ovary,0.250903,0.128656,38
RANBP2,AT13148,All,ovary,-0.288177,0.129522,29
RANBP2,AT13387,All,ovary,0.285294,0.284139,16
RANBP2,Ribociclib,All,ovary,0.27734,0.145233,29
RANBP2,BRD-K63431240,All,ovary,0.205263,0.210002,39
RANBP2,UNC0642,All,ovary,-0.355227,0.0635947,28
RANBP2,Masitinib,All,ovary,0.428049,0.00524062,41
RANBP2,Gallibiscoquinazole,All,ovary,-0.214286,0.35095,21
RANBP2,cytosporone B,All,ovary,0.215043,0.291432,26
RANBP2,IU1,All,ovary,0.207791,0.210629,38
RANBP2,GSK2606414,All,ovary,0.356522,0.0872531,24
RANBP2,BRD9647,All,ovary,0.412946,0.00809145,40
RANBP2,Dasatinib,All,ovary,-0.273482,0.0759803,43
RANBP2,GSK4112,All,ovary,0.240486,0.14029,39
RANBP2,pifithrin-alpha,All,ovary,0.205225,0.186769,43
RANBP2,VNLG-124,All,ovary,-0.250916,0.206799,27
RANBP2,phloretin,All,ovary,0.317548,0.0356903,44
RANBP2,AZD5582,All,ovary,-0.210837,0.27227,29
RANBP2,isonicotinohydroxamic acid,All,ovary,-0.351038,0.0725957,27
RANBP2,Y-39983,All,ovary,-0.307608,0.111298,28
RANBP2,BMS-270394,All,ovary,0.371485,0.0216558,38
RANBP2,endo-IWR-1,All,ovary,0.273715,0.206305,23
RANBP2,I-BRD9,All,ovary,0.308374,0.103622,29
RANBP2,oligomycin A,All,ovary,0.239183,0.117894,44
RANBP2,BRD-K86535717,All,ovary,0.357576,0.310376,10
RANBP2,PL-DI,All,ovary,0.334818,0.0372088,39
RANBP2,Ponatinib,All,ovary,-0.207826,0.329819,24
RANBP2,CIL70,All,ovary,0.424599,0.0123177,34
RANBP2,sildenafil,All,ovary,0.290627,0.0556404,44
RANBP2,BRD6340,All,ovary,0.300607,0.062959,39
RANBP2,Acetalax,All,ovary,0.266234,0.243399,21
RANBP2,BRD-K41597374,All,ovary,0.233603,0.152351,39
RANBP2,AST-1306,All,ovary,-0.339901,0.0712227,29
RANBP2,ML100,All,ovary,-0.278656,0.197904,23
RANBP2,ouabain,All,ovary,0.322191,0.0518045,37
RANBP2,BRD-K75293299,All,ovary,0.345455,0.328227,10
RANBP2,Mirin,All,ovary,-0.211275,0.280483,28
RANBP2,WP1130,All,ovary,0.354251,0.0269235,39
RANBP2,JNK Inhibitor VIII,All,ovary,0.262562,0.168814,29
