gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SYTL3,UNC0321,All,ovary,-0.252533,0.115924,40
SYTL3,BRD-K19103580,All,ovary,0.3194,0.0506203,38
SYTL3,Ulixertinib,All,ovary,0.270936,0.155141,29
SYTL3,IPR-456,All,ovary,0.245547,0.131882,39
SYTL3,Mitomycin-C,All,ovary,0.203478,0.340261,24
SYTL3,NSC 74859,All,ovary,0.278617,0.0704219,43
SYTL3,etomoxir,All,ovary,0.39248,0.00923574,43
SYTL3,losartan,All,ovary,0.368889,0.0636701,26
SYTL3,BRD8097,All,ovary,-0.616541,0.00378956,20
SYTL3,BRD-K52037352,All,ovary,0.436975,0.00867212,35
SYTL3,BDP-00009066,All,ovary,0.326957,0.118887,24
SYTL3,B02,All,ovary,0.252158,0.116485,40
SYTL3,Pilaralisib,All,ovary,0.381773,0.040991,29
SYTL3,HC-067047,All,ovary,0.312835,0.0558334,38
SYTL3,BRD-K27986637,All,ovary,-0.624242,0.0537178,10
SYTL3,BRD-K14844214,All,ovary,0.332561,0.0475063,36
SYTL3,BCL-LZH-4,All,ovary,-0.335294,0.204255,16
SYTL3,BRD-K03536150,All,ovary,0.313929,0.054936,38
SYTL3,Motesanib,All,ovary,-0.27734,0.145233,29
SYTL3,SB-525334,All,ovary,0.444578,0.0051664,38
SYTL3,BRD4132,All,ovary,0.314575,0.051124,39
SYTL3,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.296285,0.053708,43
SYTL3,GSK690693,All,ovary,-0.320744,0.0960846,28
SYTL3,GMX-1778,All,ovary,0.221142,0.149136,44
SYTL3,OSW-1,All,ovary,0.210256,0.302561,26
SYTL3,Vinorelbine,All,ovary,0.265517,0.163894,29
SYTL3,PDMP,All,ovary,0.307118,0.0425765,44
SYTL3,lonidamine,All,ovary,0.46188,0.0175301,26
SYTL3,GSK2830371,All,ovary,0.286561,0.184951,23
SYTL3,CD-1530,All,ovary,0.213229,0.16979,43
SYTL3,niclosamide,All,ovary,0.203852,0.219602,38
SYTL3,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.251122,0.128312,38
SYTL3,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,0.263158,0.110421,38
SYTL3,PLK_6522,All,ovary,0.232622,0.233565,28
SYTL3,XMD11-85h,All,ovary,-0.497549,0.0421293,17
SYTL3,CAY10594,All,ovary,0.238297,0.123845,43
SYTL3,NVP-231,All,ovary,0.209514,0.200507,39
SYTL3,Remodelin,All,ovary,0.51049,0.0899137,12
SYTL3,prochlorperazine,All,ovary,0.288664,0.074715,39
SYTL3,pyrvinium pamoate,All,ovary,0.451128,0.0458833,20
SYTL3,FTI-277,All,ovary,0.26,0.219832,24
SYTL3,A-366,All,ovary,-0.257391,0.22466,24
SYTL3,BRD-K70511574,All,ovary,0.229352,0.160168,39
SYTL3,FQI-2,All,ovary,0.308362,0.049819,41
SYTL3,GSK-LSD1,All,ovary,0.401299,0.0713826,21
SYTL3,trifluoperazine,All,ovary,0.24803,0.122791,40
SYTL3,Voxtalisib,All,ovary,0.380788,0.041559,29
SYTL3,Pelitinib,All,ovary,-0.360701,0.0593395,28
SYTL3,BRD6368,All,ovary,0.325812,0.104314,26
SYTL3,667880,All,ovary,0.283117,0.213648,21
SYTL3,quinoclamine,All,ovary,0.208205,0.307411,26
SYTL3,BRD9658,All,ovary,0.523308,0.0178935,20
SYTL3,Compound 12,All,ovary,-0.384615,0.0523695,26
SYTL3,ML150,All,ovary,0.297431,0.168107,23
SYTL3,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.230162,0.158657,39
SYTL3,AZD8835,All,ovary,-0.367816,0.0541438,28
SYTL3,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.223077,0.172233,39
SYTL3,IOX2,All,ovary,0.239901,0.21003,29
SYTL3,Axitinib,All,ovary,0.384167,0.012013,42
SYTL3,Dihydrorotenone,All,ovary,0.409091,0.0655582,21
SYTL3,alvocidib,All,ovary,-0.461765,0.0717684,16
SYTL3,CAY10603,All,ovary,-0.208791,0.295954,27
SYTL3,BRD-K79669418,All,ovary,0.384348,0.0636882,24
SYTL3,sirolimus:bortezomib (250:1 mol-mol),All,ovary,0.277126,0.0876412,39
SYTL3,SB216763,All,ovary,-0.3133,0.0979395,29
SYTL3,Shikonin,All,ovary,-0.36,0.0839947,24
SYTL3,BRD2572,All,ovary,-0.230075,0.329138,20
SYTL3,CIL55,All,ovary,0.223596,0.210991,33
SYTL3,silmitasertib,All,ovary,0.372688,0.0231045,37
SYTL3,"eEF2K Inhibitor, A-484954",All,ovary,-0.265025,0.164707,29
SYTL3,tipifarnib-P1,All,ovary,0.263707,0.0836947,44
SYTL3,pandacostat,All,ovary,0.215182,0.18832,39
SYTL3,NSC319726,All,ovary,0.348276,0.0641017,29
SYTL3,BRD0713,All,ovary,-0.273684,0.242966,20
SYTL3,JW-7-24-1,All,ovary,-0.311987,0.106041,28
SYTL3,O-6-benzylguanine,All,ovary,-0.276471,0.299942,16
SYTL3,Cetuximab,All,ovary,-0.357753,0.0669284,27
SYTL3,Picolinici-acid,All,ovary,-0.454783,0.0255616,24
SYTL3,OF-1,All,ovary,0.297391,0.158154,24
SYTL3,EHT-1864,All,ovary,0.201478,0.29461,29
SYTL3,BRD-K90370028,All,ovary,-0.497059,0.0501336,16
SYTL3,XMD13-2,All,ovary,-0.321839,0.0948913,28
SYTL3,GANT-58,All,ovary,-0.425,0.114295,15
SYTL3,SCH772984,All,ovary,0.434483,0.0185137,29
SYTL3,KHS101,All,ovary,0.343765,0.0372299,37
SYTL3,minoxidil,All,ovary,-0.235714,0.397703,15
SYTL3,BRD-K88742110,All,ovary,0.300142,0.0671208,38
SYTL3,Uprosertib,All,ovary,0.231527,0.226866,29
SYTL3,Torin 2,All,ovary,0.26601,0.163084,29
SYTL3,nimodipine,All,ovary,0.357143,0.191275,15
SYTL3,Compound 7d-cis,All,ovary,0.216919,0.167628,42
SYTL3,5-Fluorouracil,All,ovary,-0.216749,0.25874,29
SYTL3,m-3M3-FBS,All,ovary,0.358632,0.0719986,26
SYTL3,VE-822,All,ovary,-0.29913,0.15562,24
SYTL3,Capivasertib,All,ovary,-0.278051,0.151955,28
SYTL3,CIL56,All,ovary,0.220779,0.209569,34
SYTL3,importazole,All,ovary,0.253644,0.119216,39
SYTL3,FY026,All,ovary,0.334554,0.0880666,27
SYTL3,CAY10618,All,ovary,0.35122,0.02627,40
SYTL3,ZL109,All,ovary,0.326007,0.097011,27
SYTL3,tanespimycin:gemcitabine (1:1 mol-mol),All,ovary,0.260526,0.109188,39
SYTL3,Flutamide,All,ovary,0.382411,0.0717241,23
SYTL3,WYE-125132,All,ovary,0.380788,0.041559,29
SYTL3,SCH-79797,All,ovary,0.213531,0.164002,44
SYTL3,SID 26681509,All,ovary,0.204621,0.188098,43
SYTL3,GSK650394,All,ovary,-0.231304,0.276818,24
SYTL3,nakiterpiosin,All,ovary,0.238055,0.119688,44
SYTL3,ML160,All,ovary,-0.210474,0.335063,23
SYTL3,BRD7137,All,ovary,0.377778,0.0570725,26
SYTL3,PK-11195,All,ovary,0.369565,0.0826369,23
SYTL3,Epirubicin,All,ovary,0.203941,0.288622,29
SYTL3,BRD-K02492147,All,ovary,-0.226611,0.190513,35
SYTL3,BRD-K13185470,All,ovary,-0.321212,0.365468,10
SYTL3,VX-11e,All,ovary,0.30936,0.102466,29
SYTL3,isoevodiamine,All,ovary,0.218665,0.158911,43
SYTL3,fumagillol,All,ovary,0.318974,0.112224,26
SYTL3,SB505124,All,ovary,0.524138,0.00351736,29
SYTL3,bendamustine,All,ovary,0.211511,0.202392,38
SYTL3,Compound 11e,All,ovary,0.496429,0.0597974,15
SYTL3,AEW541,All,ovary,0.467692,0.0183979,25
SYTL3,CUDC-101,All,ovary,-0.203297,0.309131,27
SYTL3,valdecoxib,All,ovary,0.294292,0.0524898,44
SYTL3,BRD-K35604418,All,ovary,0.387854,0.0146996,39
SYTL3,parbendazole,All,ovary,0.257223,0.0918724,44
