gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
AGL,NSC-87877,All,ovary,0.247826,0.242965,24
AGL,Ulixertinib,All,ovary,0.264532,0.165523,29
AGL,N27922-53-1,All,ovary,0.242609,0.253348,24
AGL,SZ4TA2,All,ovary,0.214286,0.443141,15
AGL,BRD8097,All,ovary,-0.278196,0.234974,20
AGL,IAP_7638,All,ovary,-0.613553,0.000665374,27
AGL,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.204762,0.238022,35
AGL,BDP-00009066,All,ovary,-0.294783,0.162011,24
AGL,BRD-K27986637,All,ovary,0.393939,0.259998,10
AGL,150412,All,ovary,0.202597,0.378452,21
AGL,NVP-AUY922,All,ovary,-0.239658,0.238317,26
AGL,Lenalidomide,All,ovary,-0.241463,0.133347,40
AGL,HG6-64-1,All,ovary,-0.332174,0.112773,24
AGL,BPTES,All,ovary,-0.276957,0.153641,28
AGL,BRD-K09344309,All,ovary,-0.248352,0.39192,14
AGL,SB-525334,All,ovary,0.247182,0.134612,38
AGL,BRD4132,All,ovary,0.275318,0.0898144,39
AGL,GMX-1778,All,ovary,-0.230804,0.131723,44
AGL,skepinone-L,All,ovary,0.285294,0.284139,16
AGL,Vinorelbine,All,ovary,-0.439901,0.0169433,29
AGL,CCT-018159,All,ovary,-0.327586,0.0827868,29
AGL,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.224423,0.175553,38
AGL,PLK_6522,All,ovary,-0.295019,0.12749,28
AGL,VAF-347,All,ovary,0.645385,0.000494354,25
AGL,Panobinostat,All,ovary,-0.261345,0.129398,35
AGL,XMD11-85h,All,ovary,-0.382353,0.129863,17
AGL,Luminespib,All,ovary,-0.489655,0.00701665,29
AGL,FMK,All,ovary,0.416522,0.0429008,24
AGL,776928,All,ovary,-0.341558,0.129678,21
AGL,pyrvinium pamoate,All,ovary,-0.21203,0.369486,20
AGL,Cyclophosphamide,All,ovary,-0.212824,0.199539,38
AGL,STF-62247,All,ovary,0.266789,0.178557,27
AGL,Pelitinib,All,ovary,-0.224959,0.249763,28
AGL,Tozasertib,All,ovary,-0.287904,0.137372,28
AGL,BRD-M00053801,All,ovary,0.346305,0.0657251,29
AGL,BRD2762,All,ovary,-0.345865,0.135252,20
AGL,quinoclamine,All,ovary,-0.225983,0.266975,26
AGL,CHIR-99021,All,ovary,0.204447,0.183117,44
AGL,ML150,All,ovary,-0.215415,0.323576,23
AGL,BRD-K49290616,All,ovary,0.272727,0.445838,10
AGL,CBB-1007,All,ovary,0.4,0.12475,16
AGL,bardoxolone methyl,All,ovary,0.290347,0.0858277,36
AGL,JZL-184,All,ovary,0.286838,0.155399,26
AGL,WT-161,All,ovary,-0.342222,0.0870281,26
AGL,BRD4770,All,ovary,-0.21208,0.243903,32
AGL,SNX-2112,All,ovary,-0.20346,0.175039,46
AGL,Dihydrorotenone,All,ovary,0.283117,0.213648,21
AGL,Amuvatinib,All,ovary,0.250684,0.198206,28
AGL,LY-2157299,All,ovary,-0.406061,0.244282,10
AGL,Rucaparib,All,ovary,-0.258356,0.146587,33
AGL,KW-2449,All,ovary,-0.203239,0.214631,39
AGL,"eEF2K Inhibitor, A-484954",All,ovary,-0.201478,0.29461,29
AGL,O-6-benzylguanine,All,ovary,-0.411765,0.113034,16
AGL,Picolinici-acid,All,ovary,-0.288696,0.171264,24
AGL,OF-1,All,ovary,0.209565,0.325696,24
AGL,Vinblastine,All,ovary,-0.243569,0.211666,28
AGL,methylstat,All,ovary,-0.315271,0.0957336,29
AGL,SCH772984,All,ovary,0.371429,0.0472739,29
AGL,AZD7762,All,ovary,-0.225612,0.145761,43
AGL,nimodipine,All,ovary,0.207143,0.458843,15
AGL,5-Fluorouracil,All,ovary,-0.285222,0.133678,29
AGL,NG-25,All,ovary,0.233716,0.23131,28
AGL,StemRegenin 1,All,ovary,0.323684,0.0444188,39
AGL,VE-822,All,ovary,0.423478,0.0392039,24
AGL,SGC-CBP30,All,ovary,0.445455,0.0429999,21
AGL,FY026,All,ovary,-0.224054,0.261231,27
AGL,PD 153035,All,ovary,0.218391,0.26422,28
AGL,BRD-K11533227,All,ovary,-0.253201,0.130519,37
AGL,IGFR_3801,All,ovary,-0.232622,0.233565,28
AGL,FR-180204,All,ovary,-0.314724,0.10285,28
AGL,BRD-K48477130,All,ovary,0.202941,0.450961,16
AGL,BRD7137,All,ovary,-0.249231,0.219514,26
AGL,Epirubicin,All,ovary,-0.218719,0.254329,29
AGL,BRD-A02303741,All,ovary,0.240081,0.140979,39
AGL,VX-11e,All,ovary,-0.228079,0.234055,29
AGL,AZD4877,All,ovary,-0.278051,0.151955,28
AGL,Compound 11e,All,ovary,0.442857,0.0982941,15
AGL,4-methylfasudil,All,ovary,-0.44547,0.0225686,26
AGL,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,0.25083,0.134282,37
AGL,AGI-6780,All,ovary,0.272906,0.152042,29
AGL,BRD-K71935468,All,ovary,0.213918,0.197183,38
AGL,Ispinesib Mesylate,All,ovary,-0.218391,0.26422,28
AGL,Doxorubicin,All,ovary,-0.316068,0.0389435,43
AGL,TAF1_5496,All,ovary,0.4,0.07239,21
AGL,VE821,All,ovary,-0.208867,0.27688,29
AGL,BDF00022089a,All,ovary,0.236364,0.302288,21
AGL,MLN2238,All,ovary,0.279039,0.0897843,38
AGL,Epothilone B,All,ovary,-0.284348,0.178095,24
AGL,TWS119,All,ovary,-0.314778,0.0962816,29
AGL,968,All,ovary,0.575758,0.0815528,10
AGL,C-75,All,ovary,-0.389655,0.0366671,29
AGL,BRD-K41334119,All,ovary,0.490909,0.149656,10
AGL,BAM7,All,ovary,-0.299015,0.115093,29
AGL,RAF_9304,All,ovary,0.237001,0.224631,28
AGL,CRT0105446,All,ovary,-0.233169,0.232435,28
AGL,BRD2296,All,ovary,-0.510714,0.0517255,15
AGL,IWP-2,All,ovary,-0.212991,0.29617,26
AGL,ICL-SIRT078,All,ovary,0.449565,0.0275219,24
AGL,MPS-1-IN-1,All,ovary,-0.235906,0.226843,28
AGL,993-D2,All,ovary,0.251282,0.215619,26
AGL,Selumetinib,All,ovary,0.394585,0.00665498,46
AGL,KIN001-260,All,ovary,-0.337165,0.0793352,28
AGL,QL-XII-61,All,ovary,-0.289216,0.260203,17
AGL,Compound 1541A,All,ovary,0.257032,0.0961343,43
AGL,C6-ceramide,All,ovary,0.290486,0.0728183,39
AGL,Trametinib,All,ovary,0.378762,0.0271766,34
AGL,WZ3105,All,ovary,-0.221675,0.256925,28
AGL,Talazoparib,All,ovary,-0.25468,0.182442,29
AGL,nifedipine,All,ovary,-0.247179,0.223457,26
AGL,Eg5_9814,All,ovary,-0.203896,0.375337,21
AGL,123138,All,ovary,0.21039,0.359984,21
AGL,CCT245467,All,ovary,-0.244116,0.210609,28
AGL,idarubicin,All,ovary,-0.240342,0.23694,26
AGL,GSK2276186C,All,ovary,0.290909,0.200768,21
AGL,"CAP-232, TT-232, TLN-232",All,ovary,-0.378325,0.0430065,29
AGL,Etoposide,All,ovary,-0.268833,0.0708313,46
AGL,XMD8-92,All,ovary,-0.387255,0.124606,17
AGL,Tenovin-6,All,ovary,0.294089,0.121496,29
AGL,BRD-K27224038,All,ovary,-0.212121,0.556306,10
AGL,GSK591,All,ovary,-0.248768,0.193155,29
AGL,SR1001,All,ovary,0.203852,0.219602,38
AGL,KPT185,All,ovary,0.226108,0.23823,29
AGL,ARRY-520,All,ovary,-0.397537,0.0327174,29
AGL,BRD-A86708339,All,ovary,0.260714,0.347979,15
AGL,OTX015,All,ovary,-0.358261,0.0856123,24
AGL,VSP34_8731,All,ovary,-0.357143,0.111981,21
AGL,AT13148,All,ovary,-0.26601,0.163084,29
AGL,chaetocin,All,ovary,-0.254941,0.240397,23
AGL,Ribociclib,All,ovary,0.222167,0.24673,29
AGL,UNC0642,All,ovary,-0.278599,0.151117,28
AGL,Zoledronate,All,ovary,0.297403,0.19044,21
AGL,glutathione,All,ovary,0.253953,0.242288,23
AGL,GANT-61,All,ovary,-0.281174,0.0829223,39
AGL,GSK-LSD1-2HCl ,All,ovary,-0.336522,0.107856,24
AGL,GSK1904529A,All,ovary,-0.278325,0.143751,29
AGL,GSK2606414,All,ovary,0.235652,0.267633,24
AGL,VNLG-124,All,ovary,-0.20696,0.300307,27
AGL,selumetinib:decitabine (4:1 mol-mol),All,ovary,0.288617,0.0978421,34
AGL,AZD5582,All,ovary,-0.430542,0.0197297,29
AGL,Sepantronium bromide,All,ovary,-0.368984,0.0126213,45
AGL,BMS-270394,All,ovary,0.229894,0.164985,38
AGL,oligomycin A,All,ovary,0.244336,0.109951,44
AGL,pifithrin-mu,All,ovary,-0.279573,0.0660727,44
AGL,JW-55,All,ovary,0.230769,0.427336,14
AGL,sildenafil,All,ovary,0.233201,0.127649,44
AGL,ERK_2440,All,ovary,0.224675,0.32751,21
AGL,SB590885,All,ovary,0.256158,0.17983,29
AGL,Acetalax,All,ovary,0.203896,0.375337,21
AGL,AST-1306,All,ovary,-0.327586,0.0827868,29
AGL,BRD-A05715709,All,ovary,0.408824,0.115888,16
AGL,ML100,All,ovary,-0.536561,0.00830124,23
AGL,BRD-K96431673,All,ovary,-0.29697,0.404702,10
AGL,Bleomycin (50 uM),All,ovary,-0.233169,0.232435,28
AGL,ouabain,All,ovary,0.339972,0.0395171,37
AGL,VTP-B,All,ovary,0.236522,0.26582,24
AGL,Mirin,All,ovary,-0.305966,0.113319,28
AGL,ERK_6604,All,ovary,0.328571,0.14588,21
AGL,LDN-193189,All,ovary,-0.274296,0.0867461,40
AGL,IAP_5620,All,ovary,-0.332786,0.0835653,28
AGL,PHA-665752,All,ovary,-0.367692,0.0705617,25
AGL,I-CBP112,All,ovary,0.323077,0.115195,25
AGL,Afuresertib,All,ovary,-0.245813,0.198672,29
AGL,HG-5-88-01,All,ovary,0.289216,0.260203,17
AGL,Carmustine,All,ovary,0.203896,0.375337,21
AGL,A-804598,All,ovary,0.292118,0.12413,29
AGL,BX795,All,ovary,-0.249798,0.125114,39
AGL,PD318088,All,ovary,0.248583,0.12702,39
AGL,RO4929097,All,ovary,0.352941,0.179959,16
AGL,CAY10566,All,ovary,-0.29803,0.116353,29
AGL,vorinostat:navitoclax (4:1 mol-mol),All,ovary,0.229612,0.198646,33
AGL,PFI3,All,ovary,0.326765,0.0896595,28
AGL,Pemetrexed,All,ovary,-0.253283,0.114808,40
AGL,erastin-A8,All,ovary,-0.27218,0.245669,20
AGL,YL54,All,ovary,-0.217206,0.184098,39
AGL,Thalidomide,All,ovary,0.442857,0.0982941,15
AGL,darinaparsin,All,ovary,-0.214423,0.230812,33
AGL,Camptothecin,All,ovary,-0.210345,0.273418,29
AGL,BAY-HDAC11_4,All,ovary,0.436581,0.0257544,26
AGL,Afatinib,All,ovary,-0.208547,0.17958,43
AGL,Flavopiridol,All,ovary,-0.324631,0.0857645,29
AGL,TTNBP,All,ovary,0.249012,0.251885,23
AGL,PARP_0108,All,ovary,-0.338828,0.0838355,27
AGL,LMB_AB3,All,ovary,0.493506,0.0229963,21
AGL,Mdivi-1,All,ovary,-0.211741,0.195655,39
AGL,FGFR_3831,All,ovary,-0.277504,0.152796,28
AGL,Entinostat,All,ovary,0.23101,0.146173,41
AGL,fingolimod,All,ovary,0.30587,0.0582677,39
AGL,itraconazole,All,ovary,0.226375,0.144366,43
AGL,QL-VIII-58,All,ovary,-0.242647,0.348047,17
AGL,Pevonedistat,All,ovary,-0.208332,0.164714,46
AGL,UMI-77,All,ovary,-0.213913,0.315527,24
