gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
AHR,BRD-K55116708,All,ovary,0.232575,0.165985,37
AHR,Zibotentan,All,ovary,-0.273673,0.15878,28
AHR,Mitomycin-C,All,ovary,0.481739,0.0171425,24
AHR,losartan,All,ovary,0.277265,0.170278,26
AHR,PBD-288,All,ovary,0.278261,0.187971,24
AHR,leucascandrolide A,All,ovary,0.367521,0.0647354,26
AHR,965-D2,All,ovary,0.489915,0.011068,26
AHR,"2,4-dideoxy-DC-45-A2",All,ovary,0.370256,0.0626185,26
AHR,BRD-K34222889,All,ovary,0.2083,0.203189,39
AHR,SNS-032,All,ovary,0.211583,0.215428,36
AHR,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.284314,0.0978643,35
AHR,Pilaralisib,All,ovary,0.355665,0.0582902,29
AHR,cerulenin,All,ovary,0.298097,0.0521917,43
AHR,BRD-K27986637,All,ovary,-0.224242,0.533401,10
AHR,BRD-K14844214,All,ovary,0.262291,0.122249,36
AHR,BCL-LZH-4,All,ovary,0.379412,0.147227,16
AHR,BRD-K03536150,All,ovary,0.288544,0.0789403,38
AHR,Lenalidomide,All,ovary,-0.254409,0.11315,40
AHR,HG6-64-1,All,ovary,0.248696,0.241262,24
AHR,BRD-K09344309,All,ovary,0.261538,0.366411,14
AHR,BRD4132,All,ovary,-0.228947,0.160928,39
AHR,PDMP,All,ovary,0.245525,0.108177,44
AHR,CCT-018159,All,ovary,0.212315,0.268845,29
AHR,GSK2830371,All,ovary,-0.23913,0.271805,23
AHR,niclosamide,All,ovary,0.258781,0.116694,38
AHR,GSK626616AC,All,ovary,0.203896,0.375337,21
AHR,BAY-HDAC11_1,All,ovary,0.37641,0.0580513,26
AHR,CAY10594,All,ovary,0.235729,0.128067,43
AHR,AZD1480,All,ovary,0.211877,0.244365,32
AHR,Quizartinib,All,ovary,0.216757,0.167953,42
AHR,NVP-231,All,ovary,0.212146,0.194782,39
AHR,avrainvillamide,All,ovary,0.419888,0.0120338,35
AHR,birinapant,All,ovary,0.293927,0.0693388,39
AHR,Remodelin,All,ovary,-0.230769,0.470532,12
AHR,776928,All,ovary,0.294805,0.194527,21
AHR,pyrvinium pamoate,All,ovary,0.383459,0.0951244,20
