gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ANK3,BRD-K19103580,All,ovary,-0.256155,0.120584,38
ANK3,procarbazine,All,ovary,-0.248495,0.132487,38
ANK3,N27922-53-1,All,ovary,-0.404348,0.0500239,24
ANK3,SZ4TA2,All,ovary,0.453571,0.0894859,15
ANK3,tacedinaline,All,ovary,-0.294472,0.128231,28
ANK3,NSC 74859,All,ovary,-0.384325,0.0109439,43
ANK3,myricetin,All,ovary,-0.204858,0.210922,39
ANK3,etomoxir,All,ovary,-0.242223,0.117591,43
ANK3,Wnt-C59,All,ovary,-0.23399,0.221823,29
ANK3,965-D2,All,ovary,0.21641,0.2883,26
ANK3,"2,4-dideoxy-DC-45-A2",All,ovary,-0.235556,0.246692,26
ANK3,BRD-K52037352,All,ovary,-0.315966,0.0644455,35
ANK3,SNS-032,All,ovary,-0.337709,0.0439719,36
ANK3,BDP-00009066,All,ovary,-0.250435,0.237879,24
ANK3,Pilaralisib,All,ovary,-0.323153,0.0872836,29
ANK3,HC-067047,All,ovary,-0.260969,0.113525,38
ANK3,cerulenin,All,ovary,-0.275899,0.0733231,43
ANK3,BRD-K27986637,All,ovary,0.369697,0.29305,10
ANK3,BRD-K14844214,All,ovary,-0.471042,0.00373595,36
ANK3,150412,All,ovary,-0.351948,0.117673,21
ANK3,Serdemetan,All,ovary,-0.214678,0.151941,46
ANK3,HG6-64-1,All,ovary,0.382609,0.0649997,24
ANK3,BRD-K33199242,All,ovary,-0.24332,0.135534,39
ANK3,BRD-K09344309,All,ovary,-0.516484,0.0586372,14
ANK3,SB-525334,All,ovary,-0.375205,0.0202772,38
ANK3,skepinone-L,All,ovary,0.352941,0.179959,16
ANK3,OSW-1,All,ovary,-0.293675,0.145353,26
ANK3,GSK2830371,All,ovary,-0.408103,0.0532148,23
ANK3,niclosamide,All,ovary,-0.30255,0.0648523,38
ANK3,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.407156,0.0111798,38
ANK3,GSK626616AC,All,ovary,0.2,0.384724,21
ANK3,JAK1_3715,All,ovary,0.263736,0.183767,27
ANK3,BAY-HDAC11_1,All,ovary,-0.253333,0.21177,26
ANK3,tosedostat,All,ovary,-0.404087,0.0065216,44
ANK3,XMD11-85h,All,ovary,0.301471,0.239624,17
ANK3,FMK,All,ovary,-0.32087,0.126322,24
ANK3,BRD-K55473186,All,ovary,-0.288998,0.135817,28
ANK3,BRD-K50799972,All,ovary,-0.265789,0.101962,39
ANK3,Remodelin,All,ovary,-0.230769,0.470532,12
ANK3,N-oxalyl-D-phenylalanine,All,ovary,-0.277265,0.170278,26
ANK3,FTI-277,All,ovary,0.326957,0.118887,24
ANK3,A-366,All,ovary,-0.252174,0.234528,24
ANK3,"Brivanib, BMS-540215",All,ovary,-0.53399,0.00284907,29
ANK3,AZD5363,All,ovary,-0.222167,0.24673,29
ANK3,MK-591,All,ovary,-0.289573,0.151323,26
ANK3,GSK-LSD1,All,ovary,-0.244156,0.286153,21
ANK3,P22077,All,ovary,-0.21133,0.271125,29
ANK3,trifluoperazine,All,ovary,-0.221951,0.168677,40
ANK3,GSK1070916,All,ovary,-0.309797,0.108646,28
ANK3,Voxtalisib,All,ovary,-0.472906,0.00957632,29
ANK3,Pelitinib,All,ovary,0.209086,0.285613,28
ANK3,DC-45-A2,All,ovary,-0.295043,0.143401,26
ANK3,Tozasertib,All,ovary,-0.363985,0.0568952,28
ANK3,667880,All,ovary,-0.393506,0.077588,21
ANK3,BRD2762,All,ovary,-0.317293,0.172837,20
ANK3,quinoclamine,All,ovary,-0.243761,0.230133,26
ANK3,Compound 12,All,ovary,-0.240342,0.23694,26
ANK3,N23918-95-7,All,ovary,-0.215507,0.280335,27
ANK3,BRD-K49290616,All,ovary,-0.333333,0.346593,10
ANK3,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.239676,0.141671,39
ANK3,WT-161,All,ovary,-0.410598,0.0371989,26
ANK3,Axitinib,All,ovary,-0.386922,0.0113636,42
ANK3,Amuvatinib,All,ovary,-0.312534,0.105397,28
ANK3,alvocidib,All,ovary,-0.502941,0.0470631,16
