gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ANKH,Ulixertinib,All,ovary,0.348768,0.0637008,29
ANKH,PHA-793887,All,ovary,0.239284,0.126959,42
ANKH,procarbazine,All,ovary,0.264033,0.109197,38
ANKH,N27922-53-1,All,ovary,0.266087,0.208836,24
ANKH,SZ4TA2,All,ovary,0.428571,0.11096,15
ANKH,dexamethasone,All,ovary,0.283439,0.0622607,44
ANKH,BRD-K55116708,All,ovary,0.264817,0.113203,37
ANKH,tacedinaline,All,ovary,0.314724,0.10285,28
ANKH,myricetin,All,ovary,0.326113,0.0427564,39
ANKH,PBD-288,All,ovary,0.254783,0.229559,24
ANKH,PFI-1,All,ovary,0.345813,0.0661359,29
ANKH,965-D2,All,ovary,0.295727,0.142432,26
ANKH,IAP_7638,All,ovary,-0.368132,0.0588493,27
ANKH,"2,4-dideoxy-DC-45-A2",All,ovary,0.363419,0.0680139,26
ANKH,ML214,All,ovary,0.246429,0.375951,15
ANKH,KU-55933,All,ovary,0.288282,0.0608337,43
ANKH,BRD-K34222889,All,ovary,0.4417,0.00487691,39
ANKH,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.30112,0.0787795,35
ANKH,BDP-00009066,All,ovary,0.261739,0.216652,24
ANKH,BRD-K27986637,All,ovary,0.406061,0.244282,10
ANKH,150412,All,ovary,0.487013,0.0251508,21
ANKH,BCL-LZH-4,All,ovary,0.276471,0.299942,16
ANKH,GDC0810,All,ovary,0.246305,0.197745,29
ANKH,Motesanib,All,ovary,0.217734,0.256528,29
ANKH,BPTES,All,ovary,0.220033,0.260556,28
ANKH,BRD-K09344309,All,ovary,-0.336264,0.239792,14
ANKH,SB-525334,All,ovary,0.351351,0.0305401,38
ANKH,BRD4132,All,ovary,0.261943,0.107206,39
ANKH,GSK690693,All,ovary,0.617406,0.000465058,28
ANKH,PDMP,All,ovary,0.228612,0.135534,44
ANKH,CCT-018159,All,ovary,0.224631,0.241395,29
ANKH,triptolide,All,ovary,0.283439,0.0622607,44
ANKH,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.36864,0.0227619,38
ANKH,CD-437,All,ovary,0.367563,0.0153168,43
ANKH,GSK343,All,ovary,0.22266,0.245657,29
ANKH,VAF-347,All,ovary,0.354615,0.0819751,25
ANKH,Luminespib,All,ovary,0.268966,0.158284,29
ANKH,FMK,All,ovary,0.391304,0.0586445,24
ANKH,AZD1480,All,ovary,0.245235,0.176111,32
ANKH,avrainvillamide,All,ovary,0.2493,0.148674,35
ANKH,birinapant,All,ovary,-0.276316,0.0886094,39
ANKH,TGX-115,All,ovary,0.297778,0.139554,26
ANKH,KIN001-244,All,ovary,0.376026,0.0486,28
ANKH,3-Cl-AHPC,All,ovary,0.309717,0.055019,39
ANKH,necrosulfonamide,All,ovary,0.358632,0.0719986,26
ANKH,A-366,All,ovary,0.30087,0.153114,24
ANKH,AZD5363,All,ovary,0.414778,0.025269,29
ANKH,MK-591,All,ovary,0.243077,0.231484,26
ANKH,P22077,All,ovary,0.341872,0.0694946,29
ANKH,STF-62247,All,ovary,0.247863,0.212561,27
