gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
C1orf87,UNC0321,All,ovary,-0.220391,0.171768,40
C1orf87,BRD-K19103580,All,ovary,-0.247089,0.134764,38
C1orf87,Ulixertinib,All,ovary,0.276581,0.146383,29
C1orf87,SZ4TA2,All,ovary,0.617797,0.0141159,15
C1orf87,BRD-K55116708,All,ovary,0.215229,0.200789,37
C1orf87,Mitomycin-C,All,ovary,0.27623,0.191348,24
C1orf87,PFI-1,All,ovary,-0.249444,0.191909,29
C1orf87,BRD8097,All,ovary,-0.314613,0.176694,20
C1orf87,Wnt-C59,All,ovary,-0.374341,0.0454328,29
C1orf87,"2,4-dideoxy-DC-45-A2",All,ovary,0.324627,0.105654,26
C1orf87,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.415314,0.013101,35
C1orf87,Serdemetan,All,ovary,-0.23751,0.111976,46
C1orf87,BCL-LZH-4,All,ovary,0.396935,0.127935,16
C1orf87,Lenalidomide,All,ovary,-0.294465,0.0651198,40
C1orf87,HG6-64-1,All,ovary,0.340541,0.103453,24
C1orf87,BRD-K33199242,All,ovary,-0.282698,0.0811977,39
C1orf87,BRD-K09344309,All,ovary,-0.278293,0.335341,14
C1orf87,Sphingosine Kinase 1 Inhibitor II,All,ovary,-0.240909,0.119658,43
C1orf87,GSK690693,All,ovary,0.226894,0.245605,28
C1orf87,skepinone-L,All,ovary,0.444395,0.0846052,16
C1orf87,Vinorelbine,All,ovary,0.208392,0.277998,29
C1orf87,GSK2830371,All,ovary,0.207202,0.342803,23
C1orf87,CD-1530,All,ovary,0.266505,0.0840794,43
C1orf87,CD-437,All,ovary,0.258052,0.0947759,43
C1orf87,niclosamide,All,ovary,0.216668,0.191349,38
C1orf87,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.212009,0.201306,38
C1orf87,JAK1_3715,All,ovary,0.250934,0.206766,27
C1orf87,VAF-347,All,ovary,0.434908,0.0298054,25
C1orf87,Panobinostat,All,ovary,0.262037,0.128349,35
C1orf87,XMD11-85h,All,ovary,-0.345694,0.174111,17
C1orf87,Luminespib,All,ovary,0.23031,0.229386,29
C1orf87,AZD1480,All,ovary,0.28019,0.120367,32
C1orf87,NVP-231,All,ovary,-0.370578,0.020215,39
C1orf87,avrainvillamide,All,ovary,0.306644,0.0731828,35
C1orf87,Remodelin,All,ovary,-0.2591,0.416106,12
C1orf87,3-Cl-AHPC,All,ovary,0.292681,0.070583,39
C1orf87,N-oxalyl-D-phenylalanine,All,ovary,-0.230997,0.256221,26
C1orf87,prochlorperazine,All,ovary,-0.332613,0.0385551,39
C1orf87,776928,All,ovary,0.24111,0.292395,21
C1orf87,necrosulfonamide,All,ovary,0.302573,0.132989,26
C1orf87,barasertib,All,ovary,-0.330585,0.042644,38
C1orf87,FTI-277,All,ovary,0.338091,0.106121,24
C1orf87,"Brivanib, BMS-540215",All,ovary,-0.213611,0.265866,29
C1orf87,MK-591,All,ovary,0.350499,0.0791769,26
C1orf87,trifluoperazine,All,ovary,-0.284412,0.0752929,40
C1orf87,Voxtalisib,All,ovary,-0.442877,0.0161289,29
C1orf87,Pelitinib,All,ovary,0.217742,0.265677,28
C1orf87,CIL55A,All,ovary,-0.205522,0.243588,34
C1orf87,DC-45-A2,All,ovary,0.327091,0.102881,26
C1orf87,Daporinad,All,ovary,0.230502,0.12328,46
C1orf87,ML150,All,ovary,0.384751,0.06986,23
C1orf87,KU 0060648,All,ovary,-0.337385,0.0332531,40
C1orf87,bardoxolone methyl,All,ovary,0.229091,0.178952,36
C1orf87,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.235053,0.14975,39
C1orf87,WT-161,All,ovary,-0.214981,0.291574,26
C1orf87,IOX2,All,ovary,0.222308,0.246423,29
C1orf87,AICA Ribonucleotide,All,ovary,0.305769,0.113563,28
C1orf87,Fludarabine,All,ovary,0.24111,0.292395,21
C1orf87,Dihydrorotenone,All,ovary,-0.40185,0.0709583,21
C1orf87,Amuvatinib,All,ovary,-0.223843,0.252181,28
C1orf87,BRD-K79669418,All,ovary,-0.238766,0.261178,24
C1orf87,BRD-K45681478,All,ovary,-0.291774,0.0715004,39
C1orf87,Idelalisib,All,ovary,-0.287921,0.0644579,42
C1orf87,BRD2572,All,ovary,-0.311727,0.180914,20
C1orf87,kb NB 142-70,All,ovary,-0.344073,0.0676025,29
C1orf87,Avagacestat,All,ovary,-0.24353,0.203007,29
C1orf87,KW-2449,All,ovary,-0.274077,0.0913298,39
C1orf87,AZD6094,All,ovary,-0.2212,0.267513,27
C1orf87,tipifarnib-P1,All,ovary,0.272112,0.0739521,44
C1orf87,NPC-26,All,ovary,0.249285,0.120847,40
C1orf87,BRD0713,All,ovary,-0.251113,0.28555,20
C1orf87,JW-7-24-1,All,ovary,0.262358,0.17742,28
C1orf87,Picolinici-acid,All,ovary,0.233106,0.272988,24
C1orf87,OF-1,All,ovary,-0.385831,0.0625862,24
C1orf87,Vinblastine,All,ovary,0.255354,0.189699,28
C1orf87,methylstat,All,ovary,-0.451531,0.0139426,29
C1orf87,Veliparib,All,ovary,-0.379152,0.0111436,44
C1orf87,GANT-58,All,ovary,-0.332025,0.226647,15
C1orf87,TG-100-115,All,ovary,-0.309168,0.0554731,39
C1orf87,BRD-K88742110,All,ovary,0.213756,0.197532,38
C1orf87,AR-42,All,ovary,0.236968,0.234007,27
