gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CA1,UNC0321,All,ovary,-0.434187,0.00512158,40
CA1,Ulixertinib,All,ovary,0.235164,0.219446,29
CA1,N27922-53-1,All,ovary,-0.267305,0.20668,24
CA1,SZ4TA2,All,ovary,0.363979,0.182306,15
CA1,PBD-288,All,ovary,0.293678,0.163663,24
CA1,BRD8097,All,ovary,-0.301886,0.195812,20
CA1,965-D2,All,ovary,0.325325,0.104863,26
CA1,IAP_7638,All,ovary,-0.241705,0.224512,27
CA1,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.206449,0.234093,35
CA1,MCT1_6447,All,ovary,-0.228847,0.241453,28
CA1,BRD-K27986637,All,ovary,0.511104,0.131093,10
CA1,BRD-K03536150,All,ovary,0.405774,0.011485,38
CA1,Lenalidomide,All,ovary,-0.286594,0.0729852,40
CA1,BRD-K09344309,All,ovary,-0.448072,0.108105,14
CA1,skepinone-L,All,ovary,0.459854,0.0731064,16
CA1,GSK2830371,All,ovary,-0.304746,0.157391,23
CA1,niclosamide,All,ovary,0.267226,0.104822,38
CA1,GSK626616AC,All,ovary,0.233647,0.308041,21
CA1,JAK1_3715,All,ovary,0.230434,0.247535,27
CA1,BAY-HDAC11_1,All,ovary,0.238525,0.240612,26
CA1,VAF-347,All,ovary,0.355897,0.0807984,25
CA1,BRD-K55473186,All,ovary,-0.494801,0.00743265,28
CA1,AZD1480,All,ovary,0.329349,0.065667,32
CA1,NVP-231,All,ovary,-0.215143,0.188402,39
CA1,birinapant,All,ovary,-0.239209,0.142472,39
CA1,Tubastatin A,All,ovary,-0.282477,0.0600975,45
CA1,N-oxalyl-D-phenylalanine,All,ovary,-0.392508,0.0473241,26
CA1,prochlorperazine,All,ovary,-0.209023,0.201588,39
CA1,776928,All,ovary,0.291721,0.199455,21
CA1,barasertib,All,ovary,-0.368755,0.0227164,38
CA1,Cyclophosphamide,All,ovary,-0.302179,0.065198,38
CA1,GSK-LSD1,All,ovary,-0.340342,0.131139,21
CA1,Pelitinib,All,ovary,-0.220392,0.259759,28
CA1,Tozasertib,All,ovary,-0.255003,0.19033,28
CA1,667880,All,ovary,0.440283,0.0457751,21
CA1,BRD9658,All,ovary,-0.211482,0.370755,20
CA1,Compound 12,All,ovary,-0.240995,0.23563,26
CA1,CHIR-99021,All,ovary,0.238343,0.119228,44
CA1,N23918-95-7,All,ovary,0.234004,0.24008,27
CA1,CBB-1007,All,ovary,0.267876,0.315825,16
CA1,bardoxolone methyl,All,ovary,0.351662,0.0354477,36
CA1,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.265247,0.10269,39
CA1,AZD8835,All,ovary,-0.309997,0.108406,28
CA1,JZL-184,All,ovary,0.329051,0.100715,26
CA1,WT-161,All,ovary,-0.45953,0.0181892,26
CA1,Podophyllotoxin bromide,All,ovary,0.55238,0.00941504,21
CA1,AICA Ribonucleotide,All,ovary,0.310839,0.1074,28
CA1,Fludarabine,All,ovary,0.453789,0.0388039,21
CA1,PF-3758309,All,ovary,-0.383956,0.142046,16
CA1,Dihydrorotenone,All,ovary,0.426778,0.0536773,21
CA1,LY-2157299,All,ovary,-0.361513,0.304691,10
CA1,SB216763,All,ovary,-0.274484,0.149594,29
CA1,UNC1215,All,ovary,-0.350712,0.0672801,28
CA1,KW-2449,All,ovary,-0.314727,0.0510053,39
CA1,AZD6094,All,ovary,-0.370385,0.0572002,27
CA1,"eEF2K Inhibitor, A-484954",All,ovary,-0.304982,0.107676,29
CA1,NPC-26,All,ovary,0.20607,0.202055,40
CA1,semagacestat,All,ovary,-0.241764,0.143647,38
CA1,O-6-benzylguanine,All,ovary,-0.416696,0.10836,16
CA1,cytochalasin B,All,ovary,0.206764,0.178096,44
CA1,Picolinici-acid,All,ovary,-0.267323,0.20665,24
CA1,EHT-1864,All,ovary,0.468059,0.0104491,29
CA1,BRD-K90370028,All,ovary,-0.290199,0.275575,16
CA1,Vinblastine,All,ovary,0.251873,0.196017,28
CA1,methylstat,All,ovary,-0.304422,0.108356,29
CA1,Veliparib,All,ovary,-0.379567,0.0110483,44
CA1,XMD13-2,All,ovary,-0.243975,0.210881,28
CA1,"1S,3R-RSL-3",All,ovary,0.2944,0.0617026,41
CA1,minoxidil,All,ovary,0.224914,0.420286,15
CA1,Torin 2,All,ovary,0.252303,0.186698,29
CA1,PT-630,All,ovary,-0.343311,0.0859635,26
CA1,IGF1R_3801,All,ovary,0.253906,0.266732,21
CA1,NG-25,All,ovary,-0.237237,0.224155,28
CA1,LRRK2-IN-1,All,ovary,-0.306692,0.105617,29
CA1,FY026,All,ovary,0.273267,0.167844,27
CA1,BRD-K11533227,All,ovary,-0.466162,0.00363766,37
CA1,WYE-125132,All,ovary,0.405803,0.0289517,29
CA1,BRD6150,All,ovary,-0.494802,0.0265555,20
CA1,GSK2636771,All,ovary,0.211355,0.271067,29
CA1,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.345216,0.0363839,37
CA1,FR-180204,All,ovary,-0.32764,0.0887539,28
CA1,BRD6825,All,ovary,-0.520632,0.0185949,20
CA1,PK-11195,All,ovary,0.204724,0.348734,23
CA1,Embelin,All,ovary,0.31009,0.140304,24
CA1,VX-11e,All,ovary,-0.242221,0.205521,29
CA1,Bleomycin,All,ovary,0.34514,0.0778707,27
CA1,Sinularin,All,ovary,-0.357899,0.111169,21
CA1,valdecoxib,All,ovary,0.205249,0.181368,44
CA1,4-methylfasudil,All,ovary,-0.340815,0.0884194,26
CA1,BRD-K35604418,All,ovary,0.246782,0.129888,39
CA1,ZD-6474,All,ovary,-0.316004,0.162864,21
CA1,CID-5951923,All,ovary,-0.317486,0.0520982,38
CA1,SB-743921,All,ovary,-0.210631,0.210811,37
CA1,TAF1_5496,All,ovary,0.201234,0.381737,21
CA1,PD173074,All,ovary,-0.295908,0.119101,29
CA1,Sabutoclax,All,ovary,0.292761,0.165044,24
CA1,PRT062607,All,ovary,-0.224926,0.290648,24
CA1,Ara-G,All,ovary,-0.290363,0.12651,29
CA1,selumetinib:UNC0638 (4:1 mol-mol),All,ovary,-0.300412,0.0631384,39
CA1,Bortezomib,All,ovary,0.240562,0.107307,46
CA1,TWS119,All,ovary,-0.245498,0.199266,29
CA1,CDK9_5038,All,ovary,0.214739,0.349906,21
CA1,BDILV000379a,All,ovary,-0.220142,0.337621,21
CA1,RAF_9304,All,ovary,0.244291,0.210272,28
CA1,zileuton,All,ovary,-0.232082,0.253931,26
CA1,BRD2296,All,ovary,-0.403295,0.136062,15
CA1,JQ-1:UNC0638 (2:1 mol-mol),All,ovary,-0.419562,0.00973751,37
CA1,JNK-9L,All,ovary,0.256239,0.226815,24
CA1,TTK_3146,All,ovary,0.224355,0.25107,28
CA1,IWP-2,All,ovary,-0.353903,0.0761095,26
CA1,MN-64,All,ovary,-0.206182,0.333744,24
