gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CADM2,EPZ004777,All,ovary,-0.233734,0.222344,29
CADM2,procarbazine,All,ovary,-0.234931,0.155668,38
CADM2,tacedinaline,All,ovary,-0.250217,0.199072,28
CADM2,myricetin,All,ovary,-0.322445,0.0452865,39
CADM2,PBD-288,All,ovary,-0.225786,0.288758,24
CADM2,leucascandrolide A,All,ovary,-0.34943,0.0801598,26
CADM2,965-D2,All,ovary,-0.329393,0.10034,26
CADM2,IAP_7638,All,ovary,0.242054,0.223824,27
CADM2,"2,4-dideoxy-DC-45-A2",All,ovary,-0.357105,0.0733067,26
CADM2,KU-55933,All,ovary,-0.247263,0.109917,43
CADM2,SNS-032,All,ovary,-0.340968,0.0418462,36
CADM2,BDP-00009066,All,ovary,-0.329514,0.11586,24
CADM2,Pilaralisib,All,ovary,-0.284785,0.1343,29
CADM2,HC-067047,All,ovary,-0.443045,0.00534146,38
CADM2,cerulenin,All,ovary,-0.342226,0.0246842,43
CADM2,BRD-K27986637,All,ovary,0.21474,0.551325,10
CADM2,BRD-K14844214,All,ovary,-0.410857,0.0128046,36
CADM2,150412,All,ovary,-0.238153,0.298535,21
CADM2,Serdemetan,All,ovary,-0.337622,0.0217515,46
CADM2,BCL-LZH-4,All,ovary,-0.274866,0.302871,16
CADM2,NVP-AUY922,All,ovary,-0.277058,0.17061,26
CADM2,GDC0810,All,ovary,0.216967,0.258248,29
CADM2,BRD-K33199242,All,ovary,-0.215972,0.186666,39
CADM2,BRD-K09344309,All,ovary,-0.56398,0.0356702,14
CADM2,CHEMBL1222381,All,ovary,-0.321888,0.0352957,43
CADM2,OSW-1,All,ovary,-0.337368,0.0918986,26
CADM2,CCT-018159,All,ovary,-0.324825,0.0855659,29
CADM2,triptolide,All,ovary,-0.272249,0.0738007,44
CADM2,lonidamine,All,ovary,0.27852,0.168272,26
CADM2,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.266844,0.105338,38
CADM2,niclosamide,All,ovary,-0.427335,0.00745138,38
CADM2,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.492236,0.00169452,38
CADM2,BAY-HDAC11_1,All,ovary,-0.376549,0.0579512,26
CADM2,tosedostat,All,ovary,-0.265894,0.0810683,44
CADM2,CAY10594,All,ovary,-0.288695,0.0604478,43
CADM2,BRD-K55473186,All,ovary,-0.320403,0.0964589,28
CADM2,Savolitinib,All,ovary,-0.28979,0.127295,29
CADM2,Quizartinib,All,ovary,-0.458465,0.00226223,42
CADM2,BRD-K50799972,All,ovary,-0.294497,0.0687751,39
CADM2,avrainvillamide,All,ovary,-0.224264,0.195269,35
CADM2,N-oxalyl-D-phenylalanine,All,ovary,0.288024,0.153622,26
CADM2,prochlorperazine,All,ovary,-0.426416,0.00679109,39
CADM2,776928,All,ovary,-0.370609,0.0981575,21
CADM2,JW-74,All,ovary,-0.288734,0.136191,28
CADM2,pyrvinium pamoate,All,ovary,-0.223901,0.342638,20
CADM2,A-366,All,ovary,0.201196,0.345821,24
CADM2,MK-591,All,ovary,-0.25001,0.218028,26
CADM2,GSK-LSD1,All,ovary,0.202029,0.37982,21
CADM2,P22077,All,ovary,-0.277528,0.14495,29
CADM2,abiraterone,All,ovary,-0.371287,0.191203,14
CADM2,trifluoperazine,All,ovary,-0.353814,0.0251066,40
CADM2,GSK1070916,All,ovary,-0.374048,0.0498928,28
CADM2,Voxtalisib,All,ovary,-0.210961,0.271982,29
CADM2,DC-45-A2,All,ovary,-0.324209,0.10613,26
CADM2,667880,All,ovary,-0.359905,0.109036,21
CADM2,BRD2762,All,ovary,-0.468793,0.0370704,20
CADM2,quinoclamine,All,ovary,-0.409374,0.0378246,26
CADM2,BRD9658,All,ovary,-0.290761,0.213618,20
CADM2,CHIR-99021,All,ovary,-0.243087,0.111837,44
CADM2,N23918-95-7,All,ovary,-0.324007,0.0991993,27
CADM2,ML150,All,ovary,-0.260483,0.229973,23
CADM2,PIK-75,All,ovary,-0.425822,0.0300872,26
CADM2,BRD-K49290616,All,ovary,0.300636,0.398644,10
CADM2,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.267384,0.0998464,39
CADM2,JZL-184,All,ovary,0.582627,0.00178883,26
CADM2,WT-161,All,ovary,-0.325306,0.104885,26
CADM2,Podophyllotoxin bromide,All,ovary,-0.503734,0.0199037,21
CADM2,Fludarabine,All,ovary,-0.55792,0.00858504,21
CADM2,Axitinib,All,ovary,-0.336982,0.0290906,42
CADM2,Dihydrorotenone,All,ovary,-0.337829,0.134192,21
CADM2,Amuvatinib,All,ovary,-0.404406,0.0328028,28
CADM2,XL765,All,ovary,-0.290952,0.0723394,39
CADM2,alvocidib,All,ovary,-0.463089,0.0708515,16
CADM2,BRD-K45681478,All,ovary,-0.208568,0.202595,39
CADM2,Idelalisib,All,ovary,-0.218237,0.164997,42
CADM2,SB216763,All,ovary,0.234735,0.220313,29
CADM2,kb NB 142-70,All,ovary,-0.45921,0.0122149,29
CADM2,Rucaparib,All,ovary,-0.392544,0.0238458,33
CADM2,ML030,All,ovary,-0.229662,0.133698,44
CADM2,cimetidine,All,ovary,-0.251553,0.483247,10
CADM2,silmitasertib,All,ovary,-0.229916,0.171018,37
CADM2,tipifarnib-P1,All,ovary,-0.364873,0.0148822,44
CADM2,BRD0713,All,ovary,-0.510775,0.0213699,20
CADM2,O-6-benzylguanine,All,ovary,-0.48699,0.055731,16
CADM2,EHT-1864,All,ovary,-0.313564,0.0976424,29
CADM2,Vinblastine,All,ovary,-0.264591,0.173626,28
CADM2,chlorambucil,All,ovary,-0.312851,0.0524797,39
CADM2,methylstat,All,ovary,-0.321634,0.0888658,29
CADM2,Veliparib,All,ovary,-0.391946,0.00850757,44
CADM2,XMD13-2,All,ovary,0.236739,0.225158,28
CADM2,Bexarotene,All,ovary,-0.302296,0.051682,42
CADM2,HBX-41108,All,ovary,-0.489099,0.00709127,29
CADM2,KHS101,All,ovary,-0.227639,0.175412,37
CADM2,TG-100-115,All,ovary,-0.327555,0.0417937,39
CADM2,minoxidil,All,ovary,-0.694773,0.00404414,15
CADM2,BRD-K88742110,All,ovary,-0.358392,0.0271435,38
CADM2,nimodipine,All,ovary,-0.511841,0.051125,15
CADM2,Compound 7d-cis,All,ovary,-0.396374,0.00935815,42
CADM2,StemRegenin 1,All,ovary,-0.202102,0.217262,39
CADM2,m-3M3-FBS,All,ovary,0.270114,0.182026,26
CADM2,LRRK2-IN-1,All,ovary,-0.231894,0.22611,29
CADM2,decitabine:carboplatin (1:1 mol-mol),All,ovary,-0.372293,0.0213497,38
CADM2,importazole,All,ovary,-0.298724,0.0647089,39
CADM2,FY026,All,ovary,-0.204489,0.306242,27
CADM2,ZL109,All,ovary,-0.38968,0.0445108,27
CADM2,Platin,All,ovary,-0.345179,0.0313859,39
CADM2,Flutamide,All,ovary,-0.236756,0.276736,23
CADM2,BRD6150,All,ovary,-0.516994,0.0195834,20
CADM2,SCH-79797,All,ovary,-0.269984,0.076329,44
CADM2,SID 26681509,All,ovary,-0.390519,0.00962402,43
CADM2,GSK2636771,All,ovary,-0.399614,0.0317359,29
CADM2,navitoclax:MST-312 (1:1 mol-mol),All,ovary,-0.229672,0.171485,37
CADM2,neratinib,All,ovary,-0.254498,0.0954889,44
CADM2,BRD6825,All,ovary,-0.217682,0.356559,20
CADM2,nakiterpiosin,All,ovary,-0.203657,0.184852,44
CADM2,BRD-K48477130,All,ovary,-0.339101,0.198844,16
CADM2,simvastatin,All,ovary,-0.211405,0.17896,42
CADM2,Epirubicin,All,ovary,-0.214214,0.264486,29
CADM2,N25720-51-A1,All,ovary,-0.381825,0.0655974,24
CADM2,16-beta-bromoandrosterone,All,ovary,-0.279761,0.0692281,43
CADM2,cytarabine hydrochloride,All,ovary,-0.209429,0.206974,38
CADM2,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.257237,0.118969,38
CADM2,BRD-K13185470,All,ovary,0.619679,0.0560193,10
CADM2,isoevodiamine,All,ovary,-0.311844,0.0417787,43
CADM2,sotrastaurin,All,ovary,-0.45356,0.0134674,29
CADM2,SB505124,All,ovary,-0.226226,0.237979,29
CADM2,YK-4-279,All,ovary,-0.234791,0.129638,43
CADM2,Sinularin,All,ovary,0.361243,0.107631,21
CADM2,mitomycin,All,ovary,-0.293067,0.0596238,42
CADM2,bendamustine,All,ovary,-0.295326,0.0718474,38
CADM2,AEW541,All,ovary,-0.201581,0.333907,25
CADM2,4-methylfasudil,All,ovary,-0.638915,0.000442762,26
CADM2,BRD-K35604418,All,ovary,-0.336837,0.03601,39
