gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
CD96,NSC-87877,All,ovary,0.220144,0.301297,24
CD96,UNC0321,All,ovary,0.253825,0.114008,40
CD96,BRD-K19103580,All,ovary,0.209143,0.207608,38
CD96,neopeltolide,All,ovary,0.256346,0.13716,35
CD96,Ulixertinib,All,ovary,0.233366,0.223093,29
CD96,SZ4TA2,All,ovary,0.368186,0.176925,15
CD96,Mitomycin-C,All,ovary,0.277137,0.189835,24
CD96,NSC 74859,All,ovary,0.281536,0.0674078,43
CD96,leucascandrolide A,All,ovary,0.218076,0.284514,26
CD96,BRD8097,All,ovary,0.251222,0.285334,20
CD96,965-D2,All,ovary,0.491618,0.01075,26
CD96,IAP_7638,All,ovary,-0.266341,0.179315,27
CD96,"2,4-dideoxy-DC-45-A2",All,ovary,0.244437,0.228802,26
CD96,ML214,All,ovary,-0.394996,0.145079,15
CD96,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.260931,0.130029,35
CD96,Pilaralisib,All,ovary,0.446525,0.0151749,29
CD96,BRD-K27986637,All,ovary,0.297874,0.403204,10
CD96,BRD-K14844214,All,ovary,0.294212,0.0815508,36
CD96,BRD-K03536150,All,ovary,0.218451,0.187632,38
CD96,Lenalidomide,All,ovary,-0.350136,0.0267688,40
CD96,BRD-K09344309,All,ovary,0.389011,0.169217,14
CD96,BRD4132,All,ovary,0.276208,0.088739,39
CD96,CHEMBL1222381,All,ovary,0.238153,0.124079,43
CD96,PDMP,All,ovary,0.265359,0.0817039,44
CD96,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.215056,0.194754,38
CD96,CD-1530,All,ovary,0.22349,0.149688,43
CD96,niclosamide,All,ovary,0.252491,0.126174,38
CD96,GSK343,All,ovary,0.220552,0.250271,29
CD96,BAY-HDAC11_1,All,ovary,0.342456,0.0867982,26
CD96,VAF-347,All,ovary,0.423951,0.0346855,25
CD96,FMK,All,ovary,0.292365,0.165643,24
CD96,Savolitinib,All,ovary,0.213159,0.266902,29
CD96,NVP-231,All,ovary,0.205094,0.210385,39
CD96,avrainvillamide,All,ovary,0.301318,0.0785736,35
CD96,TGX-115,All,ovary,-0.293393,0.145758,26
CD96,KIN001-244,All,ovary,0.309925,0.108493,28
CD96,Tubastatin A,All,ovary,0.219885,0.14668,45
CD96,3-Cl-AHPC,All,ovary,0.231731,0.155758,39
CD96,776928,All,ovary,0.371549,0.0972412,21
CD96,JW-74,All,ovary,0.215039,0.271803,28
CD96,Gly-Gly-PALO,All,ovary,0.205067,0.314922,26
CD96,GSK-LSD1,All,ovary,-0.422865,0.0561515,21
CD96,abiraterone,All,ovary,0.261538,0.366411,14
CD96,DC-45-A2,All,ovary,0.248545,0.220827,26
