gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
DDX11L10,NSC-87877,All,ovary,0.29125,0.167338,24
DDX11L10,EPZ004777,All,ovary,-0.323145,0.0872913,29
DDX11L10,N27922-53-1,All,ovary,0.575098,0.00328321,24
DDX11L10,etomoxir,All,ovary,0.20152,0.195024,43
DDX11L10,Wnt-C59,All,ovary,0.272615,0.152497,29
DDX11L10,IAP_7638,All,ovary,-0.493126,0.00895964,27
DDX11L10,BDP-00009066,All,ovary,-0.25468,0.229753,24
DDX11L10,MCT1_6447,All,ovary,0.326486,0.0899501,28
DDX11L10,BRD-K27986637,All,ovary,0.212121,0.556306,10
DDX11L10,CHEMBL1222381,All,ovary,-0.203108,0.191455,43
DDX11L10,skepinone-L,All,ovary,0.200295,0.457011,16
DDX11L10,Vinorelbine,All,ovary,-0.460685,0.0119042,29
DDX11L10,GSK626616AC,All,ovary,-0.288499,0.204694,21
DDX11L10,JAK1_3715,All,ovary,-0.23312,0.241914,27
DDX11L10,VAF-347,All,ovary,0.558105,0.00374162,25
DDX11L10,XMD11-85h,All,ovary,-0.230533,0.373364,17
DDX11L10,Luminespib,All,ovary,-0.236875,0.216014,29
DDX11L10,FMK,All,ovary,0.375272,0.0707611,24
DDX11L10,prochlorperazine,All,ovary,-0.224778,0.168899,39
DDX11L10,barasertib,All,ovary,-0.24181,0.143569,38
DDX11L10,pyrvinium pamoate,All,ovary,-0.391109,0.0881639,20
DDX11L10,A-366,All,ovary,0.375708,0.0704087,24
DDX11L10,Gly-Gly-PALO,All,ovary,0.226448,0.265965,26
DDX11L10,STF-62247,All,ovary,0.352833,0.0710455,27
DDX11L10,Compound 12,All,ovary,0.238438,0.240787,26
DDX11L10,N23918-95-7,All,ovary,0.349221,0.0741905,27
DDX11L10,ML150,All,ovary,-0.262247,0.22672,23
DDX11L10,CBB-1007,All,ovary,0.43299,0.0938822,16
DDX11L10,KU 0060648,All,ovary,-0.211036,0.191158,40
DDX11L10,JZL-184,All,ovary,0.446729,0.0221444,26
DDX11L10,Podophyllotoxin bromide,All,ovary,0.205328,0.37192,21
DDX11L10,PF-3758309,All,ovary,-0.265096,0.321065,16
DDX11L10,Dihydrorotenone,All,ovary,0.204678,0.373468,21
DDX11L10,CAY10603,All,ovary,-0.264854,0.181847,27
DDX11L10,BRD2572,All,ovary,0.276564,0.237844,20
DDX11L10,Rucaparib,All,ovary,-0.260142,0.143716,33
DDX11L10,cimetidine,All,ovary,-0.587879,0.0738777,10
DDX11L10,NSC319726,All,ovary,-0.239093,0.211617,29
DDX11L10,BRD0713,All,ovary,0.27355,0.243207,20
DDX11L10,Cetuximab,All,ovary,0.244618,0.218805,27
DDX11L10,Vinblastine,All,ovary,-0.269789,0.165013,28
DDX11L10,methylstat,All,ovary,-0.266157,0.162842,29
DDX11L10,XMD13-2,All,ovary,-0.319091,0.0979084,28
DDX11L10,GANT-58,All,ovary,0.271915,0.32689,15
DDX11L10,SCH772984,All,ovary,0.268179,0.159552,29
DDX11L10,AR-42,All,ovary,-0.303345,0.124013,27
DDX11L10,BRD-K07442505,All,ovary,-0.212617,0.193768,39
DDX11L10,Belinostat,All,ovary,-0.222589,0.220767,32
DDX11L10,IGF1R_3801,All,ovary,0.395712,0.0757925,21
DDX11L10,5-Fluorouracil,All,ovary,-0.213212,0.266782,29
DDX11L10,NG-25,All,ovary,0.215284,0.271245,28
DDX11L10,QS11,All,ovary,-0.296424,0.0668971,39
DDX11L10,VE-822,All,ovary,0.203132,0.341102,24
DDX11L10,SGC-CBP30,All,ovary,0.319688,0.157749,21
DDX11L10,CAY10618,All,ovary,-0.261564,0.103029,40
DDX11L10,IGFR_3801,All,ovary,0.251164,0.19732,28
DDX11L10,BRD6825,All,ovary,0.262246,0.264005,20
DDX11L10,BRD-K48477130,All,ovary,0.243005,0.364475,16
DDX11L10,GSK269962A,All,ovary,0.219127,0.253421,29
DDX11L10,ML160,All,ovary,0.378526,0.0749021,23
DDX11L10,PK-11195,All,ovary,-0.203365,0.352013,23
DDX11L10,Epirubicin,All,ovary,-0.287898,0.129911,29
DDX11L10,VX-11e,All,ovary,-0.218635,0.254518,29
DDX11L10,sotrastaurin,All,ovary,-0.25037,0.19021,29
DDX11L10,fumagillol,All,ovary,-0.242549,0.23253,26
DDX11L10,bendamustine,All,ovary,-0.336474,0.0388721,38
DDX11L10,vorinostat:carboplatin (1:1 mol-mol),All,ovary,-0.211022,0.203461,38
DDX11L10,BRD-K24690302,All,ovary,-0.311224,0.0537859,39
DDX11L10,AGI-6780,All,ovary,0.277545,0.144924,29
DDX11L10,Ispinesib Mesylate,All,ovary,-0.409751,0.0303538,28
DDX11L10,Doxorubicin,All,ovary,-0.337229,0.0270068,43
DDX11L10,TAF1_5496,All,ovary,0.203379,0.376576,21
DDX11L10,PD173074,All,ovary,-0.200148,0.297876,29
DDX11L10,CPI-637,All,ovary,0.219852,0.301954,24
DDX11L10,Epothilone B,All,ovary,-0.297345,0.158223,24
DDX11L10,968,All,ovary,0.29697,0.404702,10
