gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
DEFA3,BRD-K19103580,All,ovary,0.217383,0.189853,38
DEFA3,BCL-LZH-4,All,ovary,-0.25205,0.346322,16
DEFA3,BRD-K03536150,All,ovary,0.262358,0.111548,38
DEFA3,Sphingosine Kinase 1 Inhibitor II,All,ovary,0.261116,0.0907828,43
DEFA3,CHEMBL1222381,All,ovary,-0.223814,0.149084,43
DEFA3,GMX-1778,All,ovary,0.24619,0.107195,44
DEFA3,BRD-K50799972,All,ovary,0.201793,0.217981,39
DEFA3,avrainvillamide,All,ovary,0.271694,0.11437,35
DEFA3,TGX-115,All,ovary,-0.333333,0.0960999,26
DEFA3,3-Cl-AHPC,All,ovary,0.245034,0.132717,39
DEFA3,JW-74,All,ovary,0.321634,0.0951143,28
DEFA3,necrosulfonamide,All,ovary,0.28,0.165929,26
DEFA3,pyrvinium pamoate,All,ovary,0.377964,0.100366,20
DEFA3,MK-591,All,ovary,-0.333333,0.0960999,26
DEFA3,CIL55A,All,ovary,0.29277,0.0928952,34
DEFA3,BRD6368,All,ovary,0.253333,0.21177,26
DEFA3,quinoclamine,All,ovary,-0.253333,0.21177,26
DEFA3,Daporinad,All,ovary,0.241417,0.106026,46
DEFA3,Compound 12,All,ovary,-0.306667,0.127563,26
DEFA3,ML150,All,ovary,-0.25713,0.236244,23
DEFA3,CBB-1007,All,ovary,-0.364073,0.165658,16
DEFA3,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,WT-161,All,ovary,-0.226667,0.265491,26
DEFA3,BRD4770,All,ovary,0.20425,0.262155,32
DEFA3,PF-3758309,All,ovary,0.25205,0.346322,16
DEFA3,alvocidib,All,ovary,-0.364073,0.165658,16
DEFA3,BRD-K45681478,All,ovary,-0.216206,0.186176,39
DEFA3,sparfosic acid,All,ovary,-0.226667,0.265491,26
DEFA3,BRD2572,All,ovary,-0.377964,0.100366,20
DEFA3,CIL55,All,ovary,0.222783,0.212699,33
DEFA3,tipifarnib-P1,All,ovary,0.23418,0.126011,44
DEFA3,Navitoclax,All,ovary,-0.241417,0.106026,46
DEFA3,BRD0713,All,ovary,-0.338179,0.144737,20
DEFA3,KX2-391,All,ovary,0.259448,0.110716,39
DEFA3,BRD-K90370028,All,ovary,0.420084,0.105228,16
DEFA3,methylstat,All,ovary,0.316228,0.0946761,29
DEFA3,"1S,3R-RSL-3",All,ovary,0.227172,0.153183,41
DEFA3,nimodipine,All,ovary,-0.433013,0.106908,15
DEFA3,Compound 7d-cis,All,ovary,0.264135,0.0909707,42
DEFA3,CAY10618,All,ovary,0.270501,0.0913759,40
DEFA3,PD 153035,All,ovary,-0.226335,0.246801,28
DEFA3,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,-0.216206,0.186176,39
DEFA3,SCH-79797,All,ovary,0.222171,0.147204,44
DEFA3,SID 26681509,All,ovary,-0.223814,0.149084,43
DEFA3,BRD7137,All,ovary,0.28,0.165929,26
DEFA3,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.262358,0.111548,38
DEFA3,BRD-K97651142,All,ovary,-0.27735,0.0918262,38
DEFA3,sotrastaurin,All,ovary,0.248465,0.193717,29
DEFA3,mitomycin,All,ovary,0.251251,0.10849,42
DEFA3,4-methylfasudil,All,ovary,-0.306667,0.127563,26
DEFA3,navitoclax:PLX-4032 (1:1 mol-mol),All,ovary,-0.280976,0.0920705,37
DEFA3,curcumin,All,ovary,0.201142,0.213294,40
DEFA3,L-685458,All,ovary,-0.223814,0.149084,43
DEFA3,PF-04217903,All,ovary,0.224989,0.302005,23
DEFA3,selumetinib:navitoclax (8:1 mol-mol),All,ovary,-0.259448,0.110716,39
DEFA3,navitoclax:sorafenib (1:1 mol-mol),All,ovary,-0.27735,0.0918262,38
DEFA3,tanespimycin:bortezomib (250:1 mol-mol),All,ovary,0.203391,0.234139,36
DEFA3,selumetinib:vorinostat (8:1 mol-mol),All,ovary,0.202391,0.222995,38
DEFA3,FQI-1,All,ovary,-0.275026,0.115438,34
DEFA3,vandetanib,All,ovary,0.202391,0.222995,38
DEFA3,compound 1B,All,ovary,-0.280976,0.0920705,37
DEFA3,AZD6482,All,ovary,-0.21138,0.173609,43
DEFA3,MLN2480,All,ovary,0.420084,0.105228,16
DEFA3,selumetinib:JQ-1 (4:1 mol-mol),All,ovary,0.202391,0.222995,38
DEFA3,AT7867,All,ovary,-0.21138,0.173609,43
DEFA3,7-nitroindazole,All,ovary,0.306667,0.127563,26
DEFA3,BRD4372,All,ovary,-0.377964,0.100366,20
DEFA3,hyperforin,All,ovary,-0.259448,0.110716,39
DEFA3,NVP-BSK805,All,ovary,0.262358,0.111548,38
DEFA3,ETP-46464,All,ovary,0.271052,0.154956,29
DEFA3,MI-2,All,ovary,0.25205,0.346322,16
DEFA3,SR1001,All,ovary,-0.232374,0.160348,38
DEFA3,decitabine:navitoclax (2:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,RS-23597-190,All,ovary,0.224989,0.302005,23
DEFA3,KPT185,All,ovary,-0.248465,0.193717,29
DEFA3,AZD4547,All,ovary,0.248682,0.107826,43
DEFA3,Compound 44,All,ovary,-0.226667,0.265491,26
DEFA3,Methotrexate,All,ovary,0.212597,0.176466,42
DEFA3,ABT-751,All,ovary,-0.28,0.165929,26
DEFA3,ML210,All,ovary,0.240535,0.129801,41
DEFA3,cyanoquinoline 11,All,ovary,0.262358,0.111548,38
DEFA3,Sunitinib,All,ovary,0.216206,0.186176,39
DEFA3,fluoropyruvate,All,ovary,-0.28,0.165929,26
DEFA3,Masitinib,All,ovary,0.213809,0.179502,41
DEFA3,JQ-1:navitoclax (2:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,BRD-K17060750,All,ovary,-0.245034,0.132717,39
DEFA3,STF-31,All,ovary,0.245034,0.132717,39
DEFA3,Dasatinib,All,ovary,0.248682,0.107826,43
DEFA3,erastin,All,ovary,0.267261,0.0911681,41
DEFA3,GSK4112,All,ovary,0.201793,0.217981,39
DEFA3,erlotinib:PLX-4032 (2:1 mol-mol),All,ovary,0.218537,0.193788,37
DEFA3,endo-IWR-1,All,ovary,-0.224989,0.302005,23
DEFA3,oligomycin A,All,ovary,-0.24619,0.107195,44
DEFA3,carboplatin:UNC0638 (2:1 mol-mol),All,ovary,0.217383,0.189853,38
DEFA3,CIL70,All,ovary,0.275026,0.115438,34
DEFA3,NVP-ADW742,All,ovary,0.248682,0.107826,43
DEFA3,bleomycin A2,All,ovary,0.280976,0.0920705,37
DEFA3,ML100,All,ovary,-0.321412,0.134787,23
DEFA3,Gefitinib,All,ovary,0.261116,0.0907828,43
DEFA3,ubistatin B,All,ovary,0.28,0.165929,26
DEFA3,JW-480,All,ovary,-0.23062,0.157807,39
DEFA3,Compound 23 citrate,All,ovary,0.261116,0.0907828,43
DEFA3,momelotinib,All,ovary,-0.280976,0.0920705,37
DEFA3,Merck60,All,ovary,0.23418,0.126011,44
DEFA3,KH-CB19,All,ovary,-0.225877,0.238724,29
DEFA3,A-804598,All,ovary,-0.316228,0.0946761,29
DEFA3,BRD-K26531177,All,ovary,0.23062,0.157807,39
DEFA3,fluvastatin,All,ovary,-0.245034,0.132717,39
DEFA3,10-DEBC,All,ovary,0.309295,0.261965,15
DEFA3,erastin-A8,All,ovary,-0.338179,0.144737,20
DEFA3,Thalidomide,All,ovary,0.433013,0.106908,15
DEFA3,darinaparsin,All,ovary,-0.222783,0.212699,33
DEFA3,Dinaciclib,All,ovary,-0.289631,0.120553,30
DEFA3,RG-108,All,ovary,0.23418,0.126011,44
DEFA3,navitoclax:piperlongumine (1:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,TTNBP,All,ovary,0.321412,0.134787,23
DEFA3,Bosutinib,All,ovary,0.236248,0.127205,43
DEFA3,Mdivi-1,All,ovary,0.23062,0.157807,39
DEFA3,Compound 4,All,ovary,-0.333333,0.0960999,26
DEFA3,WAY-362450,All,ovary,-0.217383,0.189853,38
DEFA3,GSK-2334470,All,ovary,-0.247436,0.373939,15
DEFA3,tamatinib,All,ovary,-0.23418,0.126011,44
DEFA3,Selisistat,All,ovary,-0.238366,0.128467,42
DEFA3,BRD63610,All,ovary,0.28,0.165929,26
DEFA3,fumonisin B1,All,ovary,0.242757,0.131216,40
DEFA3,PP-30,All,ovary,-0.226667,0.265491,26
DEFA3,HLI 373,All,ovary,0.24619,0.107195,44
DEFA3,avicin D,All,ovary,-0.420084,0.105228,16
DEFA3,piperlongumine:MST-312 (1:1 mol-mol),All,ovary,0.254713,0.139767,35
DEFA3,CID 2853753,All,ovary,0.25713,0.236244,23
DEFA3,Nelarabine,All,ovary,-0.215014,0.182732,40
DEFA3,epigallocatechin-3-monogallate,All,ovary,0.217383,0.189853,38
DEFA3,rotenone,All,ovary,-0.226667,0.265491,26
DEFA3,MPEP,All,ovary,-0.433013,0.106908,15
DEFA3,capsaicin,All,ovary,0.28,0.165929,26
DEFA3,BRD-K37390332,All,ovary,-0.201793,0.217981,39
DEFA3,serdemetan:SCH-529074 (1:1 mol-mol),All,ovary,0.216206,0.186176,39
DEFA3,BML-259,All,ovary,-0.224989,0.302005,23
DEFA3,I-BET151,All,ovary,0.238366,0.128467,42
DEFA3,kinetin riboside,All,ovary,0.28,0.165929,26
DEFA3,kahalalide F,All,ovary,-0.218822,0.353983,20
DEFA3,PNU-74654,All,ovary,0.353553,0.0979292,23
DEFA3,MI-1,All,ovary,-0.252205,0.137827,36
DEFA3,ML162,All,ovary,0.248682,0.107826,43
DEFA3,Temozolomide,All,ovary,-0.248682,0.107826,43
DEFA3,TGX221,All,ovary,-0.27735,0.0918262,38
DEFA3,alisertib:navitoclax (2:1 mol-mol),All,ovary,-0.284747,0.0923293,36
DEFA3,SB-431542,All,ovary,0.201793,0.217981,39
DEFA3,marinopyrrole A,All,ovary,-0.302148,0.125579,27
DEFA3,tivantinib,All,ovary,-0.247436,0.373939,15
DEFA3,BRD4479,All,ovary,0.371154,0.173193,15
DEFA3,BRD-K51831558,All,ovary,0.420084,0.105228,16
DEFA3,panduratin A,All,ovary,-0.306667,0.127563,26
DEFA3,necrostatin-7,All,ovary,0.273861,0.091595,39
DEFA3,navitoclax:pluripotin (1:1 mol-mol),All,ovary,-0.273861,0.091595,39
DEFA3,BRD4046,All,ovary,-0.298393,0.201291,20
DEFA3,Compound 110,All,ovary,-0.253333,0.21177,26
