gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
DYSF,N27922-53-1,All,ovary,-0.277452,0.189312,24
DYSF,dexamethasone,All,ovary,0.213075,0.164925,44
DYSF,tacedinaline,All,ovary,0.260536,0.180559,28
DYSF,PBD-288,All,ovary,0.277887,0.188591,24
DYSF,PFI-1,All,ovary,0.244611,0.200946,29
DYSF,BRD8097,All,ovary,0.437594,0.0536614,20
DYSF,BRD-K34222889,All,ovary,0.246621,0.130146,39
DYSF,SNS-032,All,ovary,0.338848,0.0432195,36
DYSF,BRD-K14844214,All,ovary,0.273705,0.106249,36
DYSF,150412,All,ovary,0.224099,0.328786,21
DYSF,BRD4132,All,ovary,-0.256644,0.114763,39
DYSF,skepinone-L,All,ovary,0.210449,0.434018,16
DYSF,GSK2830371,All,ovary,-0.508031,0.0133248,23
DYSF,niclosamide,All,ovary,0.354454,0.0290025,38
DYSF,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,0.322224,0.0485018,38
DYSF,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.251956,0.127005,38
DYSF,BRD-K55473186,All,ovary,0.509579,0.00560826,28
DYSF,BRD-K50799972,All,ovary,0.28003,0.0842349,39
DYSF,avrainvillamide,All,ovary,0.219343,0.20551,35
DYSF,Remodelin,All,ovary,0.227671,0.476676,12
DYSF,necrosulfonamide,All,ovary,0.506753,0.00824361,26
DYSF,FTI-277,All,ovary,0.310067,0.140334,24
DYSF,A-366,All,ovary,-0.214394,0.314413,24
DYSF,BRD-K70511574,All,ovary,0.244596,0.133432,39
DYSF,AZD5363,All,ovary,0.20372,0.289157,29
DYSF,Tozasertib,All,ovary,-0.229338,0.240419,28
DYSF,667880,All,ovary,0.449497,0.0409231,21
DYSF,navitoclax:birinapant (1:1 mol-mol),All,ovary,-0.201772,0.21803,39
DYSF,WT-161,All,ovary,-0.279316,0.167009,26
DYSF,Podophyllotoxin bromide,All,ovary,0.346866,0.123441,21
DYSF,AICA Ribonucleotide,All,ovary,-0.249076,0.201195,28
DYSF,PF-3758309,All,ovary,0.432671,0.0941517,16
DYSF,Dihydrorotenone,All,ovary,0.330627,0.143225,21
DYSF,Amuvatinib,All,ovary,0.431093,0.0220027,28
DYSF,alvocidib,All,ovary,0.445916,0.0834196,16
DYSF,BRD-K79669418,All,ovary,-0.244348,0.249856,24
DYSF,Idelalisib,All,ovary,0.234641,0.134725,42
DYSF,LY-2157299,All,ovary,-0.248485,0.488776,10
DYSF,SB216763,All,ovary,-0.305949,0.106508,29
DYSF,Shikonin,All,ovary,0.326158,0.119844,24
DYSF,Rucaparib,All,ovary,0.203393,0.256264,33
DYSF,cimetidine,All,ovary,0.442424,0.200423,10
DYSF,silmitasertib,All,ovary,-0.208336,0.215941,37
DYSF,tipifarnib-P1,All,ovary,0.213216,0.164639,44
DYSF,JW-7-24-1,All,ovary,0.465581,0.0125326,28
DYSF,KX2-391,All,ovary,0.26616,0.101466,39
DYSF,Cetuximab,All,ovary,0.258586,0.192794,27
DYSF,OF-1,All,ovary,0.357034,0.0867672,24
DYSF,methylstat,All,ovary,0.243133,0.203767,29
DYSF,GANT-58,All,ovary,0.360714,0.186554,15
DYSF,SCH772984,All,ovary,0.229339,0.231411,29
DYSF,HBX-41108,All,ovary,0.285749,0.132929,29
DYSF,TG-100-115,All,ovary,0.337535,0.0356028,39
DYSF,minoxidil,All,ovary,0.382143,0.159824,15
DYSF,BRD-K88742110,All,ovary,0.320473,0.0498071,38
DYSF,PT-630,All,ovary,0.241709,0.234201,26
DYSF,nimodipine,All,ovary,0.307143,0.265473,15
DYSF,FTY-720,All,ovary,0.274911,0.148936,29
DYSF,Capivasertib,All,ovary,0.2228,0.254456,28
DYSF,LRRK2-IN-1,All,ovary,0.280576,0.140404,29
DYSF,decitabine:carboplatin (1:1 mol-mol),All,ovary,0.381984,0.0179534,38
DYSF,Platin,All,ovary,0.244799,0.1331,39
DYSF,dalcetrapib,All,ovary,0.271111,0.180355,26
DYSF,Flutamide,All,ovary,0.343874,0.108136,23
DYSF,WYE-125132,All,ovary,0.236729,0.216305,29
DYSF,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.246161,0.141926,37
DYSF,BRD6825,All,ovary,0.341353,0.140765,20
DYSF,GSK650394,All,ovary,0.206567,0.332824,24
DYSF,ML160,All,ovary,0.389328,0.0663206,23
DYSF,PK-11195,All,ovary,0.209486,0.33739,23
DYSF,Epirubicin,All,ovary,0.256682,0.17891,29
DYSF,N25720-51-A1,All,ovary,0.533594,0.00724604,24
DYSF,Embelin,All,ovary,0.467058,0.0213898,24
DYSF,cytarabine hydrochloride,All,ovary,0.238603,0.14912,38
DYSF,BRD-K02492147,All,ovary,0.29862,0.0814195,35
DYSF,BRD-K13185470,All,ovary,-0.345455,0.328227,10
DYSF,Bleomycin,All,ovary,0.248206,0.211908,27
DYSF,fumagillol,All,ovary,0.233504,0.250951,26
DYSF,Sinularin,All,ovary,-0.235791,0.303496,21
DYSF,QL-X-138,All,ovary,0.241686,0.215329,28
DYSF,AGI-6780,All,ovary,0.284518,0.134681,29
DYSF,KU-60019,All,ovary,0.342572,0.0245299,43
DYSF,blebbistatin,All,ovary,-0.236151,0.172015,35
DYSF,SB-743921,All,ovary,0.265252,0.112591,37
DYSF,Ispinesib Mesylate,All,ovary,0.252361,0.195122,28
DYSF,TAF1_5496,All,ovary,0.357259,0.111856,21
DYSF,PF-04217903,All,ovary,0.41502,0.0489278,23
DYSF,Sabutoclax,All,ovary,0.347467,0.0961798,24
DYSF,PRT062607,All,ovary,-0.426614,0.0376218,24
DYSF,VTP-A,All,ovary,-0.376169,0.070037,24
DYSF,968,All,ovary,-0.321212,0.365468,10
DYSF,C-75,All,ovary,0.273925,0.150457,29
DYSF,BAM7,All,ovary,0.291415,0.125079,29
DYSF,DBeQ,All,ovary,0.210146,0.205388,38
DYSF,FS106,All,ovary,-0.282195,0.145692,28
DYSF,BRD2296,All,ovary,0.325,0.237225,15
DYSF,BRD6430,All,ovary,-0.23184,0.155559,39
DYSF,IWP-2,All,ovary,-0.258164,0.202891,26
DYSF,BRD-K13999467,All,ovary,0.2204,0.177574,39
DYSF,MN-64,All,ovary,-0.375299,0.0707395,24
DYSF,BX-912,All,ovary,0.37772,0.0475142,28
DYSF,THR-102,All,ovary,-0.335063,0.118084,23
DYSF,FQI-1,All,ovary,-0.334479,0.0531768,34
DYSF,50869,All,ovary,0.557973,0.00857735,21
DYSF,BRD5802,All,ovary,0.242105,0.303755,20
DYSF,BPD-00008900,All,ovary,-0.227441,0.285145,24
DYSF,GW843682X,All,ovary,-0.221047,0.154307,43
DYSF,QL-XII-61,All,ovary,0.22549,0.384197,17
DYSF,PF-00299804,All,ovary,0.301269,0.112248,29
DYSF,WZ3105,All,ovary,0.200082,0.307333,28
DYSF,TL-1-85,All,ovary,0.25154,0.196628,28
DYSF,CDK9_5576,All,ovary,0.250731,0.272963,21
DYSF,CCT245467,All,ovary,-0.276174,0.154856,28
DYSF,ifosfamide,All,ovary,-0.4417,0.0348501,23
DYSF,Ki8751,All,ovary,-0.229916,0.159114,39
DYSF,BRD9571,All,ovary,0.5,0.0576988,15
DYSF,VER-155008,All,ovary,-0.202502,0.187409,44
DYSF,BRD-K27224038,All,ovary,-0.393939,0.259998,10
DYSF,GSK591,All,ovary,0.336248,0.0745143,29
DYSF,selumetinib:PLX-4032 (8:1 mol-mol),All,ovary,-0.275981,0.0890124,39
DYSF,Ruxolitinib,All,ovary,-0.244619,0.113894,43
DYSF,BRD-A86708339,All,ovary,0.700626,0.00362276,15
DYSF,myriocin,All,ovary,0.325638,0.0738323,31
DYSF,BRD-K84807411,All,ovary,-0.648485,0.0425401,10
DYSF,ABT-751,All,ovary,-0.220513,0.279033,26
DYSF,BRD-K51490254,All,ovary,0.215237,0.188206,39
DYSF,CCT007093,All,ovary,-0.264811,0.16506,29
DYSF,AT13387,All,ovary,0.491538,0.0531484,16
DYSF,GW441756,All,ovary,0.225397,0.23975,29
DYSF,glutathione,All,ovary,-0.204596,0.349043,23
DYSF,palmostatin B,All,ovary,0.224166,0.242396,29
DYSF,Compound 10b,All,ovary,0.27453,0.174707,26
DYSF,GSK2606414,All,ovary,0.341379,0.102553,24
DYSF,Bicalutamide,All,ovary,-0.244611,0.200946,29
DYSF,BRD-K30019337,All,ovary,-0.393939,0.259998,10
DYSF,BRD-K86535717,All,ovary,0.50303,0.138334,10
DYSF,PL-DI,All,ovary,0.281549,0.0824955,39
DYSF,JW-55,All,ovary,0.318681,0.266785,14
DYSF,istradefylline,All,ovary,0.430742,0.108967,15
DYSF,Acetalax,All,ovary,0.214355,0.350789,21
DYSF,BRD-K96431673,All,ovary,-0.284848,0.425038,10
DYSF,ouabain,All,ovary,0.231221,0.168534,37
DYSF,CPI-613,All,ovary,0.40473,0.0294197,29
DYSF,tigecycline,All,ovary,-0.293913,0.163311,24
DYSF,VTP-B,All,ovary,-0.315721,0.132868,24
DYSF,GNE-317,All,ovary,-0.2084,0.277979,29
DYSF,QL-XII-47,All,ovary,0.333653,0.0827147,28
DYSF,ML323,All,ovary,0.246575,0.245428,24
DYSF,OSU-03012,All,ovary,0.241792,0.255,24
DYSF,lomeguatrib,All,ovary,0.255131,0.122128,38
DYSF,I-CBP112,All,ovary,0.297365,0.148852,25
DYSF,omacetaxine mepesuccinate,All,ovary,0.218992,0.253721,29
DYSF,CRT0160829,All,ovary,-0.218968,0.262928,28
DYSF,HG-5-88-01,All,ovary,-0.737745,0.000723825,17
DYSF,ML258,All,ovary,-0.269031,0.102408,38
DYSF,Carmustine,All,ovary,0.354011,0.115388,21
DYSF,GSK2801,All,ovary,0.291653,0.199566,21
DYSF,BRD-K26531177,All,ovary,0.234675,0.150425,39
DYSF,A-83-01,All,ovary,0.354231,0.0593847,29
DYSF,BX795,All,ovary,-0.248001,0.127942,39
DYSF,Trichostatin A,All,ovary,0.270723,0.155478,29
DYSF,BAY-MPS-combo-1 (paclitaxel 5 uM),All,ovary,0.327943,0.158078,20
DYSF,fluvastatin,All,ovary,0.271425,0.0946344,39
DYSF,RO4929097,All,ovary,0.487123,0.0556544,16
DYSF,CAY10566,All,ovary,0.302008,0.111327,29
DYSF,CZC24832,All,ovary,-0.347467,0.0961798,24
DYSF,BRD-K27188169,All,ovary,-0.26087,0.218238,24
DYSF,10-DEBC,All,ovary,0.339286,0.216029,15
DYSF,erastin-A8,All,ovary,0.345865,0.135252,20
DYSF,salermide,All,ovary,0.240548,0.192398,31
DYSF,BRD-K03911514,All,ovary,0.453043,0.0262021,24
DYSF,darinaparsin,All,ovary,0.208072,0.245249,33
DYSF,BAY-HDAC11_4,All,ovary,0.252351,0.213608,26
DYSF,Dinaciclib,All,ovary,0.297953,0.109782,30
DYSF,navitoclax:piperlongumine (1:1 mol-mol),All,ovary,0.201873,0.217794,39
DYSF,TTNBP,All,ovary,0.338933,0.113636,23
DYSF,LMB_AB3,All,ovary,0.263072,0.249252,21
DYSF,BMS-345541,All,ovary,0.256525,0.101032,42
DYSF,ELCPK,All,ovary,-0.277791,0.111681,34
DYSF,BAY-MPS-combo 2 (paclitaxel 1 uM),All,ovary,0.200827,0.395883,20
DYSF,Compound 4,All,ovary,0.203419,0.318912,26
DYSF,FGFR_3831,All,ovary,0.206651,0.291388,28
DYSF,AKT inhibitor VIII,All,ovary,0.485288,0.0088539,28
DYSF,Omipalisib,All,ovary,0.295607,0.126698,28
DYSF,fingolimod,All,ovary,0.249355,0.125806,39
DYSF,QL-VIII-58,All,ovary,0.259804,0.313917,17
DYSF,ETP-45835,All,ovary,-0.204459,0.287373,29
DYSF,IRAK4_4710,All,ovary,-0.202014,0.379856,21
DYSF,Obatoclax Mesylate,All,ovary,0.213811,0.17395,42
DYSF,BDOCA000347a,All,ovary,0.426762,0.0536871,21
DYSF,N24798-49-A1,All,ovary,0.276721,0.154006,28
DYSF,5-azacytidine,All,ovary,0.207871,0.329711,24
DYSF,BRD63610,All,ovary,0.200684,0.325601,26
DYSF,PX-12,All,ovary,0.271546,0.0900826,40
DYSF,penfluridol,All,ovary,0.303571,0.271356,15
DYSF,avicin D,All,ovary,0.339956,0.197641,16
DYSF,Dyrk1b_0191,All,ovary,0.334747,0.0816496,28
DYSF,ACY-1215,All,ovary,0.49883,0.00587886,29
DYSF,BAY-61-3606,All,ovary,0.261796,0.216548,24
DYSF,Venotoclax,All,ovary,0.26087,0.171677,29
DYSF,WHI-P97,All,ovary,0.232927,0.232934,28
DYSF,BAY AKT1,All,ovary,0.210292,0.302477,26
DYSF,NVP-BHG712,All,ovary,0.31504,0.102486,28
DYSF,ISOX:bortezomib (250:1 mol-mol),All,ovary,0.217589,0.189423,38
DYSF,LCL161,All,ovary,-0.270723,0.155478,29
DYSF,rotenone,All,ovary,-0.232821,0.252381,26
DYSF,Vincristine,All,ovary,0.253636,0.114287,40
DYSF,BMS-754807,All,ovary,-0.235875,0.11454,46
DYSF,BRD-K37390332,All,ovary,0.215439,0.187781,39
DYSF,serdemetan:SCH-529074 (1:1 mol-mol),All,ovary,0.211997,0.195103,39
DYSF,AZD5991,All,ovary,0.443001,0.0442999,21
DYSF,LFM-A13,All,ovary,0.222809,0.191497,36
DYSF,Sapitinib,All,ovary,0.20372,0.289157,29
DYSF,TL-2-105,All,ovary,0.309292,0.109253,28
DYSF,IMD-0354,All,ovary,0.211356,0.271065,29
DYSF,Kobe2602,All,ovary,0.331568,0.0789011,29
DYSF,MIM1,All,ovary,0.204705,0.28678,29
DYSF,LBW242,All,ovary,-0.387072,0.0559336,25
DYSF,Staurosporine,All,ovary,-0.22904,0.185676,35
DYSF,AT-7519,All,ovary,0.277268,0.15316,28
DYSF,ML312,All,ovary,-0.6,0.066688,10
DYSF,ML159,All,ovary,0.362648,0.0890061,23
DYSF,kahalalide F,All,ovary,0.333835,0.150299,20
DYSF,Bromosporine,All,ovary,-0.247483,0.27943,21
DYSF,729189,All,ovary,-0.234492,0.306245,21
DYSF,BRD-K48334597,All,ovary,0.418182,0.229113,10
DYSF,isoliquiritigenin,All,ovary,-0.310512,0.0836864,32
DYSF,AS605240,All,ovary,0.44779,0.0168706,28
DYSF,XMD14-99,All,ovary,0.616395,0.00047805,28
DYSF,R428,All,ovary,0.331737,0.084604,28
DYSF,cucurbitacin I,All,ovary,0.230321,0.158361,39
DYSF,Temozolomide,All,ovary,-0.233442,0.13192,43
DYSF,LMB_AB1,All,ovary,0.203962,0.375179,21
DYSF,alisertib:navitoclax (2:1 mol-mol),All,ovary,0.236241,0.165397,36
DYSF,BRD8418,All,ovary,0.299248,0.19994,20
DYSF,marinopyrrole A,All,ovary,0.509541,0.00663147,27
DYSF,tivantinib,All,ovary,0.570152,0.0264752,15
DYSF,P-0850,All,ovary,-0.213675,0.294585,26
DYSF,maraviroc,All,ovary,0.30735,0.126673,26
DYSF,THR-101,All,ovary,-0.421547,0.0451333,23
DYSF,BRD-K78574327,All,ovary,0.309091,0.384841,10
DYSF,Cabozantinib,All,ovary,0.258713,0.0980558,42
DYSF,Wee1 Inhibitor,All,ovary,-0.259638,0.173782,29
DYSF,BRD-K29086754,All,ovary,-0.369697,0.29305,10
DYSF,T0901317,All,ovary,0.200082,0.307333,28
DYSF,BMS-536924,All,ovary,-0.226856,0.13398,45
DYSF,Genentech Cpd 10,All,ovary,0.302723,0.117389,28
DYSF,GSK2110183B,All,ovary,0.294901,0.194375,21
DYSF,NPK76-II-72-1,All,ovary,0.237307,0.224015,28
DYSF,FSC231,All,ovary,-0.357576,0.310376,10
DYSF,FH535,All,ovary,0.252229,0.234422,24
DYSF,BRD4046,All,ovary,0.419549,0.0655483,20
DYSF,Compound 110,All,ovary,-0.241709,0.234201,26
DYSF,PF-4800567 hydrochloride,All,ovary,-0.228776,0.412137,15
DYSF,BRD-K16130065,All,ovary,-0.381818,0.276255,10
DYSF,Schweinfurthin A,All,ovary,0.285158,0.210223,21
DYSF,AGK-2,All,ovary,0.242721,0.104094,46
DYSF,Elesclomol,All,ovary,-0.35965,0.055332,29
DYSF,triacsin C,All,ovary,0.322393,0.108215,26
