gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
EML2,EPZ004777,All,ovary,-0.219704,0.252142,29
EML2,neopeltolide,All,ovary,-0.301401,0.078488,35
EML2,SZ4TA2,All,ovary,0.403571,0.135768,15
EML2,BRD-K55116708,All,ovary,-0.234234,0.162899,37
EML2,Mitomycin-C,All,ovary,0.297391,0.158154,24
EML2,etomoxir,All,ovary,-0.410903,0.00619791,43
EML2,PBD-288,All,ovary,0.375652,0.0704536,24
EML2,leucascandrolide A,All,ovary,-0.339487,0.0897476,26
EML2,PFI-1,All,ovary,0.272414,0.152813,29
EML2,BRD8097,All,ovary,0.463158,0.039725,20
EML2,Wnt-C59,All,ovary,-0.274877,0.148988,29
EML2,ML214,All,ovary,-0.610714,0.0155928,15
EML2,BRD-K52037352,All,ovary,-0.221289,0.201418,35
EML2,BDP-00009066,All,ovary,0.461739,0.0231241,24
EML2,BRD-K27986637,All,ovary,-0.248485,0.488776,10
EML2,150412,All,ovary,-0.363636,0.105149,21
EML2,BCL-LZH-4,All,ovary,0.264706,0.321804,16
EML2,HG6-64-1,All,ovary,0.318261,0.129609,24
EML2,BRD-K09344309,All,ovary,0.446154,0.109807,14
EML2,BRD4132,All,ovary,-0.302227,0.0614847,39
EML2,skepinone-L,All,ovary,0.276471,0.299942,16
EML2,OSW-1,All,ovary,-0.407863,0.0386078,26
EML2,PDMP,All,ovary,-0.209584,0.17212,44
EML2,CCT-018159,All,ovary,0.568965,0.00127824,29
EML2,triptolide,All,ovary,-0.296547,0.0506235,44
EML2,GSK2830371,All,ovary,-0.40415,0.0557918,23
EML2,CD-1530,All,ovary,-0.382966,0.0112534,43
EML2,CD-437,All,ovary,-0.243733,0.115251,43
EML2,niclosamide,All,ovary,0.234927,0.155674,38
EML2,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.2892,0.0782308,38
EML2,Panobinostat,All,ovary,0.210364,0.225144,35
EML2,XMD11-85h,All,ovary,0.718137,0.00116704,17
EML2,Luminespib,All,ovary,0.380788,0.041559,29
EML2,CAY10594,All,ovary,-0.252794,0.10194,43
EML2,Savolitinib,All,ovary,0.360099,0.0550068,29
EML2,KIN001-244,All,ovary,0.253421,0.193189,28
EML2,Remodelin,All,ovary,-0.342657,0.275567,12
EML2,776928,All,ovary,0.328571,0.14588,21
EML2,necrosulfonamide,All,ovary,-0.346325,0.0830662,26
EML2,pyrvinium pamoate,All,ovary,-0.401504,0.0793166,20
EML2,Gly-Gly-PALO,All,ovary,0.206838,0.31067,26
EML2,MK-591,All,ovary,-0.215726,0.289864,26
EML2,GSK-LSD1,All,ovary,-0.311688,0.169,21
EML2,CIL55A,All,ovary,-0.472574,0.00476951,34
EML2,BRD6368,All,ovary,-0.474188,0.0143905,26
EML2,Tozasertib,All,ovary,-0.238643,0.221341,28
EML2,667880,All,ovary,-0.220779,0.336188,21
EML2,BRD9658,All,ovary,-0.27218,0.245669,20
EML2,Compound 12,All,ovary,0.430427,0.0281659,26
EML2,N23918-95-7,All,ovary,0.242979,0.222003,27
EML2,PIK-75,All,ovary,-0.249231,0.219514,26
EML2,BRD-K49290616,All,ovary,-0.309091,0.384841,10
EML2,CBB-1007,All,ovary,0.205882,0.444285,16
EML2,bardoxolone methyl,All,ovary,-0.270013,0.11124,36
EML2,FGIN-1-27,All,ovary,-0.47654,0.00582766,32
EML2,JZL-184,All,ovary,-0.358632,0.0719986,26
EML2,WT-161,All,ovary,-0.294359,0.144375,26
EML2,BRD4770,All,ovary,-0.519062,0.00233426,32
EML2,Podophyllotoxin bromide,All,ovary,0.420779,0.0575051,21
EML2,PF-3758309,All,ovary,-0.302941,0.254067,16
EML2,LY-2157299,All,ovary,-0.236364,0.510885,10
EML2,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.527935,0.000552104,39
EML2,Shikonin,All,ovary,0.450435,0.0271871,24
EML2,CIL55,All,ovary,-0.417112,0.0157367,33
EML2,kb NB 142-70,All,ovary,0.336453,0.0743266,29
EML2,Rucaparib,All,ovary,0.385361,0.0267807,33
EML2,Avagacestat,All,ovary,0.375862,0.0444938,29
EML2,AZD-7545,All,ovary,-0.390275,0.00881799,44
EML2,cimetidine,All,ovary,-0.369697,0.29305,10
EML2,tipifarnib-P1,All,ovary,-0.201973,0.188588,44
EML2,NPC-26,All,ovary,-0.223265,0.166106,40
EML2,pandacostat,All,ovary,-0.321053,0.0462783,39
EML2,NSC319726,All,ovary,-0.215764,0.260964,29
EML2,BRD0713,All,ovary,0.324812,0.162323,20
EML2,semagacestat,All,ovary,0.222016,0.180354,38
EML2,O-6-benzylguanine,All,ovary,0.505882,0.0455816,16
EML2,cytochalasin B,All,ovary,-0.222974,0.145711,44
EML2,OF-1,All,ovary,-0.352174,0.0914583,24
EML2,Vinblastine,All,ovary,0.3815,0.0451603,28
EML2,GANT-58,All,ovary,-0.332143,0.226472,15
EML2,KHS101,All,ovary,-0.372214,0.0232936,37
EML2,minoxidil,All,ovary,0.389286,0.151512,15
EML2,nimodipine,All,ovary,0.321429,0.242719,15
EML2,Bax channel blocker,All,ovary,-0.358399,0.0197739,42
EML2,Compound 7d-cis,All,ovary,-0.263107,0.0922832,42
EML2,IGF1R_3801,All,ovary,0.318182,0.159827,21
