gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
ENTPD5,NSC-87877,All,ovary,-0.205217,0.336061,24
ENTPD5,UNC0321,All,ovary,-0.204878,0.204735,40
ENTPD5,BRD-K19103580,All,ovary,-0.258125,0.117658,38
ENTPD5,procarbazine,All,ovary,-0.316555,0.0528292,38
ENTPD5,Zibotentan,All,ovary,-0.325671,0.0908028,28
ENTPD5,myricetin,All,ovary,-0.24332,0.135534,39
ENTPD5,leucascandrolide A,All,ovary,0.243077,0.231484,26
ENTPD5,PFI-1,All,ovary,0.281281,0.139369,29
ENTPD5,Wnt-C59,All,ovary,0.285714,0.132978,29
ENTPD5,Carboplatin,All,ovary,-0.322065,0.0455558,39
ENTPD5,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.34902,0.0398825,35
ENTPD5,HC-067047,All,ovary,-0.253967,0.1239,38
ENTPD5,cerulenin,All,ovary,0.286922,0.0621154,43
ENTPD5,BRD-K27986637,All,ovary,-0.321212,0.365468,10
ENTPD5,150412,All,ovary,-0.436364,0.0479694,21
ENTPD5,Motesanib,All,ovary,-0.262562,0.168814,29
ENTPD5,GSK690693,All,ovary,-0.350301,0.0676237,28
ENTPD5,GMX-1778,All,ovary,-0.20155,0.189535,44
ENTPD5,skepinone-L,All,ovary,-0.335294,0.204255,16
ENTPD5,OSW-1,All,ovary,0.329231,0.100518,26
ENTPD5,carboplatin:etoposide (40:17 mol-mol),All,ovary,-0.245432,0.137484,38
ENTPD5,doxorubicin:navitoclax (2:1 mol-mol),All,ovary,-0.232082,0.160889,38
ENTPD5,GSK626616AC,All,ovary,0.235065,0.30503,21
ENTPD5,tosedostat,All,ovary,0.298802,0.0488111,44
ENTPD5,BRD-K55473186,All,ovary,-0.354132,0.0644735,28
ENTPD5,AZD1480,All,ovary,0.245968,0.174781,32
ENTPD5,avrainvillamide,All,ovary,0.204202,0.239336,35
ENTPD5,Remodelin,All,ovary,-0.307692,0.330589,12
ENTPD5,776928,All,ovary,0.487013,0.0251508,21
ENTPD5,FTI-277,All,ovary,-0.256522,0.226286,24
ENTPD5,Cyclophosphamide,All,ovary,-0.372798,0.0211606,38
ENTPD5,MK-591,All,ovary,0.220513,0.279033,26
ENTPD5,GSK-LSD1,All,ovary,-0.292208,0.198673,21
ENTPD5,BRD6368,All,ovary,0.264273,0.192029,26
ENTPD5,Tozasertib,All,ovary,0.422551,0.0250853,28
ENTPD5,667880,All,ovary,-0.274026,0.229352,21
ENTPD5,BRD2762,All,ovary,0.344361,0.137073,20
ENTPD5,BRD9658,All,ovary,-0.225564,0.338971,20
ENTPD5,CHIR-99021,All,ovary,0.243129,0.111773,44
ENTPD5,ML150,All,ovary,-0.23913,0.271805,23
ENTPD5,BRD-K49290616,All,ovary,-0.381818,0.276255,10
ENTPD5,UNC0638:navitoclax (1:1 mol-mol),All,ovary,-0.224899,0.168665,39
ENTPD5,AZD8835,All,ovary,-0.214559,0.272899,28
ENTPD5,WT-161,All,ovary,0.239658,0.238317,26
ENTPD5,AICA Ribonucleotide,All,ovary,0.243569,0.211666,28
ENTPD5,Amuvatinib,All,ovary,-0.301587,0.11884,28
ENTPD5,narciclasine,All,ovary,0.395448,0.0154131,37
ENTPD5,BRD-K79669418,All,ovary,0.227826,0.284307,24
ENTPD5,sirolimus:bortezomib (250:1 mol-mol),All,ovary,-0.235628,0.148728,39
ENTPD5,Shikonin,All,ovary,-0.227826,0.284307,24
ENTPD5,CIL55,All,ovary,0.279746,0.11486,33
ENTPD5,AGI-5198,All,ovary,-0.506404,0.00506151,29
ENTPD5,UNC1215,All,ovary,-0.218938,0.262995,28
ENTPD5,AZD6094,All,ovary,-0.482295,0.0108431,27
ENTPD5,cimetidine,All,ovary,-0.333333,0.346593,10
ENTPD5,"eEF2K Inhibitor, A-484954",All,ovary,-0.338424,0.0725405,29
ENTPD5,JW-7-24-1,All,ovary,-0.329502,0.086849,28
ENTPD5,semagacestat,All,ovary,-0.255498,0.121572,38
ENTPD5,Cetuximab,All,ovary,0.284493,0.150367,27
ENTPD5,GANT-58,All,ovary,0.357143,0.191275,15
ENTPD5,TG-100-115,All,ovary,-0.217611,0.183261,39
ENTPD5,minoxidil,All,ovary,-0.210714,0.450958,15
ENTPD5,BRD-K88742110,All,ovary,-0.381989,0.0179518,38
ENTPD5,Uprosertib,All,ovary,-0.322167,0.0883077,29
ENTPD5,BRD-K07442505,All,ovary,-0.252429,0.121056,39
ENTPD5,nimodipine,All,ovary,-0.582143,0.0227937,15
ENTPD5,Compound 7d-cis,All,ovary,0.241066,0.124068,42
ENTPD5,StemRegenin 1,All,ovary,0.488462,0.0016054,39
ENTPD5,m-3M3-FBS,All,ovary,0.265641,0.189653,26
ENTPD5,SGC-CBP30,All,ovary,-0.381818,0.0876405,21
ENTPD5,Capivasertib,All,ovary,-0.451013,0.0160041,28
ENTPD5,importazole,All,ovary,-0.300405,0.0631452,39
ENTPD5,PD 153035,All,ovary,0.22277,0.254523,28
ENTPD5,WYE-125132,All,ovary,-0.219212,0.253234,29
ENTPD5,BRD6150,All,ovary,-0.309774,0.183806,20
ENTPD5,GSK2636771,All,ovary,-0.332512,0.0780004,29
ENTPD5,neratinib,All,ovary,0.264834,0.0823324,44
ENTPD5,BRD6825,All,ovary,-0.261654,0.265124,20
ENTPD5,Cisplatin,All,ovary,-0.267652,0.168517,28
ENTPD5,GSK269962A,All,ovary,0.376847,0.043894,29
ENTPD5,BRD7137,All,ovary,0.236239,0.245283,26
ENTPD5,PK-11195,All,ovary,0.203557,0.351548,23
ENTPD5,cytarabine hydrochloride,All,ovary,-0.278477,0.0904602,38
ENTPD5,tretinoin:navitoclax (4:1 mol-mol),All,ovary,-0.338221,0.0378074,38
ENTPD5,BRD-K13185470,All,ovary,-0.212121,0.556306,10
ENTPD5,Sinularin,All,ovary,-0.302597,0.182441,21
ENTPD5,valdecoxib,All,ovary,0.213249,0.164572,44
ENTPD5,brivanib,All,ovary,-0.210526,0.198291,39
ENTPD5,AGI-6780,All,ovary,0.262069,0.169644,29
ENTPD5,KU-60019,All,ovary,0.219873,0.156564,43
ENTPD5,BRD-K71935468,All,ovary,0.388336,0.0159831,38
ENTPD5,Ispinesib Mesylate,All,ovary,-0.208539,0.286905,28
ENTPD5,TAF1_5496,All,ovary,-0.227273,0.3218,21
ENTPD5,PLX-4032,All,ovary,-0.283948,0.0840488,38
ENTPD5,PRT062607,All,ovary,0.213913,0.315527,24
ENTPD5,Ara-G,All,ovary,-0.327586,0.0827868,29
ENTPD5,Bortezomib,All,ovary,0.306321,0.0384093,46
ENTPD5,968,All,ovary,0.50303,0.138334,10
ENTPD5,BRD-K44224150,All,ovary,-0.515152,0.127553,10
ENTPD5,BDILV000379a,All,ovary,0.292208,0.198673,21
ENTPD5,CHEMBL374350,All,ovary,0.328118,0.0296729,44
ENTPD5,DBeQ,All,ovary,-0.218076,0.188408,38
ENTPD5,FS106,All,ovary,0.315818,0.101594,28
ENTPD5,zileuton,All,ovary,0.264273,0.192029,26
ENTPD5,BRD2296,All,ovary,-0.225,0.420105,15
ENTPD5,AZ-3146,All,ovary,-0.256374,0.120257,38
ENTPD5,azacitidine,All,ovary,0.222016,0.180354,38
