gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
EXOC3L2,EPZ004777,All,ovary,0.340871,0.0703685,29
EXOC3L2,neopeltolide,All,ovary,0.241935,0.161444,35
EXOC3L2,PHA-793887,All,ovary,0.248405,0.112685,42
EXOC3L2,SZ4TA2,All,ovary,0.415773,0.123231,15
EXOC3L2,BRD-K55116708,All,ovary,0.285845,0.0863378,37
EXOC3L2,Mitomycin-C,All,ovary,0.523196,0.00870372,24
EXOC3L2,PBD-288,All,ovary,0.601793,0.00186418,24
EXOC3L2,PFI-1,All,ovary,0.375838,0.0445083,29
EXOC3L2,965-D2,All,ovary,0.403446,0.0409728,26
EXOC3L2,"2,4-dideoxy-DC-45-A2",All,ovary,0.219817,0.280592,26
EXOC3L2,KU-55933,All,ovary,0.203301,0.191025,43
EXOC3L2,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,0.340702,0.0452002,35
EXOC3L2,BDP-00009066,All,ovary,0.250378,0.237989,24
EXOC3L2,Pilaralisib,All,ovary,0.544136,0.00227806,29
EXOC3L2,cerulenin,All,ovary,0.258619,0.0940266,43
EXOC3L2,BRD-K27986637,All,ovary,0.765961,0.00978704,10
EXOC3L2,150412,All,ovary,0.234485,0.306259,21
EXOC3L2,Serdemetan,All,ovary,0.225683,0.131537,46
EXOC3L2,BCL-LZH-4,All,ovary,0.61993,0.0104182,16
EXOC3L2,BRD-K03536150,All,ovary,0.291875,0.0753906,38
EXOC3L2,NVP-AUY922,All,ovary,0.343464,0.0858144,26
EXOC3L2,Lenalidomide,All,ovary,-0.365802,0.0202723,40
EXOC3L2,BRD-K33199242,All,ovary,-0.210006,0.199427,39
EXOC3L2,BRD4132,All,ovary,0.342925,0.0325845,39
EXOC3L2,skepinone-L,All,ovary,0.340962,0.196232,16
EXOC3L2,Vinorelbine,All,ovary,0.203516,0.289649,29
EXOC3L2,PDMP,All,ovary,0.252596,0.0980773,44
EXOC3L2,CCT-018159,All,ovary,0.264898,0.164916,29
EXOC3L2,triptolide,All,ovary,0.226515,0.139255,44
EXOC3L2,lonidamine,All,ovary,-0.21559,0.290177,26
EXOC3L2,carboplatin:etoposide (40:17 mol-mol),All,ovary,0.420532,0.00856645,38
EXOC3L2,GSK2830371,All,ovary,-0.233609,0.28336,23
EXOC3L2,CD-437,All,ovary,0.334327,0.0284364,43
EXOC3L2,niclosamide,All,ovary,0.293836,0.0733602,38
EXOC3L2,GSK626616AC,All,ovary,0.212439,0.355214,21
EXOC3L2,BAY-HDAC11_1,All,ovary,0.576351,0.00205838,26
EXOC3L2,XMD11-85h,All,ovary,0.229382,0.375823,17
EXOC3L2,BRD-K55473186,All,ovary,-0.289331,0.135346,28
EXOC3L2,AZD1480,All,ovary,0.224793,0.216111,32
EXOC3L2,NVP-231,All,ovary,0.363564,0.0229021,39
EXOC3L2,avrainvillamide,All,ovary,0.237931,0.16871,35
EXOC3L2,TGX-115,All,ovary,-0.266317,0.188488,26
EXOC3L2,KIN001-244,All,ovary,0.514989,0.0050431,28
EXOC3L2,Tubastatin A,All,ovary,-0.329482,0.0270941,45
EXOC3L2,3-Cl-AHPC,All,ovary,0.383275,0.0160203,39
EXOC3L2,N-oxalyl-D-phenylalanine,All,ovary,-0.20784,0.30828,26
EXOC3L2,barasertib,All,ovary,-0.250375,0.129488,38
EXOC3L2,pyrvinium pamoate,All,ovary,-0.211347,0.371067,20
EXOC3L2,Cyclophosphamide,All,ovary,-0.227124,0.170277,38
EXOC3L2,"Brivanib, BMS-540215",All,ovary,0.332066,0.078425,29
EXOC3L2,BRD-K70511574,All,ovary,0.491735,0.00147643,39
EXOC3L2,FQI-2,All,ovary,0.228897,0.150002,41
EXOC3L2,P22077,All,ovary,0.374077,0.0455968,29
EXOC3L2,GSK1070916,All,ovary,0.293919,0.128983,28
EXOC3L2,Voxtalisib,All,ovary,0.406781,0.0285303,29
EXOC3L2,Pelitinib,All,ovary,0.289716,0.134804,28
EXOC3L2,DC-45-A2,All,ovary,0.240953,0.235714,26
EXOC3L2,667880,All,ovary,0.272564,0.231947,21
EXOC3L2,BRD9658,All,ovary,-0.358817,0.120276,20
EXOC3L2,CHIR-99021,All,ovary,0.362438,0.0156159,44
EXOC3L2,BRD-K49290616,All,ovary,0.285716,0.423568,10
EXOC3L2,CBB-1007,All,ovary,0.377862,0.149023,16
EXOC3L2,bardoxolone methyl,All,ovary,0.383148,0.0210791,36
EXOC3L2,BRD-A02303741:navitoclax (2:1 mol-mol),All,ovary,0.211451,0.196282,39
EXOC3L2,BRD4770,All,ovary,0.21894,0.228625,32
EXOC3L2,SNX-2112,All,ovary,0.275828,0.063532,46
EXOC3L2,Podophyllotoxin bromide,All,ovary,0.592559,0.00464619,21
EXOC3L2,Fludarabine,All,ovary,0.354066,0.115328,21
EXOC3L2,Axitinib,All,ovary,0.259785,0.0966221,42
EXOC3L2,Dihydrorotenone,All,ovary,0.27056,0.235534,21
EXOC3L2,Amuvatinib,All,ovary,0.467636,0.0120976,28
EXOC3L2,alvocidib,All,ovary,0.380814,0.145614,16
EXOC3L2,narciclasine,All,ovary,0.378407,0.0209227,37
EXOC3L2,LY-2157299,All,ovary,-0.486324,0.15408,10
EXOC3L2,Shikonin,All,ovary,0.323925,0.122548,24
EXOC3L2,kb NB 142-70,All,ovary,0.576839,0.00105407,29
EXOC3L2,ML030,All,ovary,0.387005,0.00945377,44
EXOC3L2,AZD-7545,All,ovary,0.251024,0.100257,44
EXOC3L2,AZD6094,All,ovary,-0.412721,0.0323949,27
EXOC3L2,cimetidine,All,ovary,0.303953,0.393201,10
EXOC3L2,tipifarnib-P1,All,ovary,0.300329,0.047614,44
EXOC3L2,pandacostat,All,ovary,0.263256,0.105393,39
EXOC3L2,AZ6102,All,ovary,0.242006,0.205937,29
EXOC3L2,BRD0713,All,ovary,0.45897,0.0417915,20
EXOC3L2,KX2-391,All,ovary,0.444987,0.00453285,39
EXOC3L2,EHT-1864,All,ovary,0.378857,0.0426904,29
EXOC3L2,GSK3337463A,All,ovary,0.375443,0.0935137,21
EXOC3L2,Vinblastine,All,ovary,0.388366,0.0411215,28
EXOC3L2,chlorambucil,All,ovary,0.513303,0.000832498,39
EXOC3L2,XMD13-2,All,ovary,0.338469,0.0781074,28
EXOC3L2,KHS101,All,ovary,0.204412,0.224909,37
EXOC3L2,minoxidil,All,ovary,0.548273,0.0343324,15
EXOC3L2,Torin 2,All,ovary,0.536337,0.00270707,29
EXOC3L2,Bax channel blocker,All,ovary,0.211217,0.179357,42
EXOC3L2,5-Fluorouracil,All,ovary,0.383134,0.040217,29
EXOC3L2,StemRegenin 1,All,ovary,0.298343,0.0650667,39
EXOC3L2,XMD15-27,All,ovary,0.447463,0.0169607,28
EXOC3L2,SNX-2112:bortezomib (250:1 mol-mol),All,ovary,0.272234,0.093616,39
EXOC3L2,NU7441,All,ovary,0.309677,0.102096,29
EXOC3L2,Platin,All,ovary,0.372129,0.0196578,39
EXOC3L2,docetaxel:tanespimycin (2:1 mol-mol),All,ovary,0.351903,0.0280249,39
EXOC3L2,WYE-125132,All,ovary,0.452817,0.0136398,29
EXOC3L2,SCH-79797,All,ovary,0.343202,0.0225619,44
EXOC3L2,navitoclax:MST-312 (1:1 mol-mol),All,ovary,0.390475,0.0168775,37
EXOC3L2,Cisplatin,All,ovary,0.315982,0.101407,28
EXOC3L2,GSK650394,All,ovary,0.432496,0.0347908,24
EXOC3L2,nakiterpiosin,All,ovary,0.298971,0.0486772,44
EXOC3L2,BRD-K48477130,All,ovary,0.687828,0.00322941,16
EXOC3L2,GSK269962A,All,ovary,0.500615,0.00567679,29
EXOC3L2,Epirubicin,All,ovary,0.497848,0.00599266,29
EXOC3L2,N25720-51-A1,All,ovary,0.251264,0.236277,24
EXOC3L2,16-beta-bromoandrosterone,All,ovary,0.248198,0.108536,43
EXOC3L2,Embelin,All,ovary,0.305607,0.146433,24
EXOC3L2,cytarabine hydrochloride,All,ovary,0.399193,0.0130364,38
EXOC3L2,Bleomycin,All,ovary,0.426458,0.0265388,27
EXOC3L2,AZD4877,All,ovary,0.359412,0.0603204,28
EXOC3L2,sotrastaurin,All,ovary,0.282261,0.137937,29
EXOC3L2,YK-4-279,All,ovary,0.440742,0.00309597,43
EXOC3L2,bendamustine,All,ovary,0.408131,0.0109688,38
EXOC3L2,valdecoxib,All,ovary,0.203149,0.185974,44
EXOC3L2,BRD-K35604418,All,ovary,0.259438,0.11073,39
EXOC3L2,parbendazole,All,ovary,0.294684,0.0521613,44
EXOC3L2,BRD-K24690302,All,ovary,0.247364,0.128956,39
EXOC3L2,Ibrutinib,All,ovary,0.21391,0.217243,35
EXOC3L2,brivanib,All,ovary,0.219913,0.178557,39
EXOC3L2,BRD-K71935468,All,ovary,0.393495,0.0145196,38
EXOC3L2,Doxorubicin,All,ovary,0.367695,0.0152772,43
EXOC3L2,PF-4708671,All,ovary,0.468666,0.0103363,29
EXOC3L2,AZD5438,All,ovary,0.32155,0.0952051,28
EXOC3L2,PD173074,All,ovary,-0.256345,0.179501,29
EXOC3L2,VE821,All,ovary,0.455585,0.0130069,29
EXOC3L2,pyrazolanthrone,All,ovary,0.216921,0.18469,39
EXOC3L2,Sabutoclax,All,ovary,0.692084,0.00017909,24
EXOC3L2,BRD-K58730230,All,ovary,0.297874,0.403204,10
EXOC3L2,BDF00022089a,All,ovary,0.247178,0.280042,21
EXOC3L2,AZD8931,All,ovary,0.452398,0.0156432,28
EXOC3L2,navitoclax:sorafenib (1:1 mol-mol),All,ovary,0.248029,0.133238,38
EXOC3L2,Epothilone B,All,ovary,0.446794,0.0286112,24
EXOC3L2,OSI-027,All,ovary,0.311718,0.041866,43
EXOC3L2,BRD-K44224150,All,ovary,0.249241,0.48741,10
EXOC3L2,C-75,All,ovary,0.232698,0.224459,29
EXOC3L2,BRD-K41334119,All,ovary,0.291795,0.413327,10
EXOC3L2,BAM7,All,ovary,0.254081,0.183508,29
EXOC3L2,AZ-3146,All,ovary,0.210961,0.203596,38
EXOC3L2,azacitidine,All,ovary,0.484827,0.00203652,38
EXOC3L2,TTK_3146,All,ovary,0.425393,0.0240229,28
EXOC3L2,MK-1775,All,ovary,0.224369,0.133861,46
EXOC3L2,FEN1_3940,All,ovary,0.442654,0.0183315,28
EXOC3L2,FS112,All,ovary,0.253621,0.192826,28
EXOC3L2,50869,All,ovary,0.569178,0.00708263,21
EXOC3L2,AZD1208,All,ovary,0.312363,0.105598,28
EXOC3L2,GW843682X,All,ovary,0.370036,0.0145909,43
EXOC3L2,QL-XII-61,All,ovary,0.322137,0.207316,17
EXOC3L2,Crizotinib,All,ovary,0.230386,0.132443,44
EXOC3L2,PF-00299804,All,ovary,0.295841,0.119189,29
EXOC3L2,MLN2480,All,ovary,-0.628787,0.00907732,16
EXOC3L2,QL-XI-92,All,ovary,0.422246,0.0252015,28
EXOC3L2,Talazoparib,All,ovary,0.527532,0.00327337,29
