gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
FCGR2A,NSC-87877,All,ovary,-0.437325,0.0325957,24
FCGR2A,UNC0321,All,ovary,-0.273615,0.0875633,40
FCGR2A,neopeltolide,All,ovary,-0.201894,0.244803,35
FCGR2A,PHA-793887,All,ovary,0.478299,0.00135615,42
FCGR2A,procarbazine,All,ovary,-0.292242,0.0750077,38
FCGR2A,IPR-456,All,ovary,-0.294322,0.068948,39
FCGR2A,dexamethasone,All,ovary,-0.251902,0.0990356,44
FCGR2A,BRD-K55116708,All,ovary,0.227737,0.175221,37
FCGR2A,Zibotentan,All,ovary,-0.215757,0.270167,28
FCGR2A,PFI-1,All,ovary,0.387793,0.0376542,29
FCGR2A,IAP_7638,All,ovary,0.260458,0.189478,27
FCGR2A,ML214,All,ovary,0.393166,0.14712,15
FCGR2A,BRD-K34222889,All,ovary,0.303275,0.0605453,39
FCGR2A,SNS-032,All,ovary,0.386202,0.0199911,36
FCGR2A,navitoclax:gemcitabine (1:1 mol-mol),All,ovary,-0.217,0.210516,35
FCGR2A,BDP-00009066,All,ovary,0.249129,0.240416,24
FCGR2A,Pilaralisib,All,ovary,0.329957,0.0804555,29
FCGR2A,cerulenin,All,ovary,0.34326,0.0242253,43
FCGR2A,150412,All,ovary,-0.337682,0.134373,21
FCGR2A,BRD-K03536150,All,ovary,0.207704,0.210825,38
FCGR2A,HG6-64-1,All,ovary,0.331373,0.113697,24
FCGR2A,Motesanib,All,ovary,-0.313151,0.0981088,29
FCGR2A,BPTES,All,ovary,0.432517,0.0215206,28
FCGR2A,BRD-K09344309,All,ovary,-0.348789,0.221625,14
FCGR2A,BRD4132,All,ovary,-0.223312,0.171769,39
FCGR2A,GSK690693,All,ovary,-0.330498,0.0858425,28
FCGR2A,skepinone-L,All,ovary,-0.282769,0.288609,16
FCGR2A,OSW-1,All,ovary,0.214473,0.292743,26
FCGR2A,Vinorelbine,All,ovary,0.445875,0.0153415,29
FCGR2A,GSK2830371,All,ovary,-0.363098,0.0885811,23
FCGR2A,selumetinib:BRD-A02303741 (4:1 mol-mol),All,ovary,-0.204513,0.218076,38
FCGR2A,BAY-HDAC11_1,All,ovary,0.239754,0.238123,26
FCGR2A,VAF-347,All,ovary,-0.281968,0.172077,25
FCGR2A,XMD11-85h,All,ovary,0.253855,0.32552,17
FCGR2A,FMK,All,ovary,-0.364946,0.0795202,24
FCGR2A,BRD-K55473186,All,ovary,-0.246674,0.205718,28
FCGR2A,AZD1480,All,ovary,0.284166,0.114975,32
FCGR2A,BRD-K50799972,All,ovary,0.237248,0.145873,39
FCGR2A,avrainvillamide,All,ovary,0.2402,0.164565,35
FCGR2A,Tubastatin A,All,ovary,-0.294147,0.0498441,45
FCGR2A,Remodelin,All,ovary,0.404224,0.192484,12
FCGR2A,prochlorperazine,All,ovary,0.239792,0.141474,39
FCGR2A,776928,All,ovary,0.349416,0.120522,21
FCGR2A,JW-74,All,ovary,0.256215,0.18816,28
FCGR2A,necrosulfonamide,All,ovary,0.501202,0.00909908,26
FCGR2A,pyrvinium pamoate,All,ovary,0.313049,0.178973,20
FCGR2A,A-366,All,ovary,-0.277489,0.189251,24
FCGR2A,Cyclophosphamide,All,ovary,-0.370157,0.0221665,38
FCGR2A,"Brivanib, BMS-540215",All,ovary,0.327486,0.0828866,29
FCGR2A,P22077,All,ovary,0.220219,0.251006,29
